Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
21	入场	sequence	girl020a_02_tel_start	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_start.girl020a_02_tel_start'	
2	loopAstand	sequence	girl020a_02_tel_loopA_stand	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_loopA_stand.girl020a_02_tel_loopA_stand'	
3	loopA01花瓣	sequence	girl020a_02_tel_loopA_01	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_loopA_01.girl020a_02_tel_loopA_01'	
4	loopA02看书	sequence	girl020a_02_tel_loopA_02	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_loopA_02.girl020a_02_tel_loopA_02'	
5	loopB睡觉	sequence	girl020a_02_tel_loopB	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_loopB.girl020a_02_tel_loopB'	
6	切换到talk	sequence	girl020a_02_tel_loop_totalk	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_loop_totalk.girl020a_02_tel_loop_totalk'	
7	talkstand	sequence	girl020a_02_tel_talk_stand	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_stand.girl020a_02_tel_talk_stand'	
8	抽卡01	sequence	girl020a_02_tel_talk_chouka	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_chouka.girl020a_02_tel_talk_chouka'	
9	抽卡02	sequence	girl020a_02_tel_talk_chouka02	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_chouka02.girl020a_02_tel_talk_chouka02'	
10	抽卡03	sequence	girl020a_02_tel_talk_chouka03	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_chouka03.girl020a_02_tel_talk_chouka03'	
13	夹腿	sequence	girl020a_02_tel_talk_juantui	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_juantui.girl020a_02_tel_talk_juantui'	
15	嘘	sequence	girl020a_02_tel_talk_xu	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_xu.girl020a_02_tel_talk_xu'	
16	点头	sequence	girl020a_02_tel_talk_diantou	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_diantou.girl020a_02_tel_talk_diantou'	
17	慌张	sequence	girl020a_02_tel_talk_huang	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_huang.girl020a_02_tel_talk_huang'	
18	害羞	sequence	girl020a_02_tel_talk_haixiu	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_haixiu.girl020a_02_tel_talk_haixiu'	
19	挠头	sequence	girl020a_02_tel_talk_naotou	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_naotou.girl020a_02_tel_talk_naotou'	
20	切换到loop	sequence	girl020a_02_tel_talk_toloop	AnimSequence'/Game/Characters/Girl/girl020a_02/Anim/callme/girl020a_02_tel_talk_toloop.girl020a_02_tel_talk_toloop'	
					
					
					
					
					
					
97	左转	sequence	girl006_01_house_dialogue_turn_L	AnimSequence'/Game/Characters/Girl/girl006_01/Anim/house/girl006_01_house_dialogue_turn_L.girl006_01_house_dialogue_turn_L'	
98	右转	sequence	girl006_01_house_dialogue_turn_R	AnimSequence'/Game/Characters/Girl/girl006_01/Anim/house/girl006_01_house_dialogue_turn_R.girl006_01_house_dialogue_turn_R'	
99	呼吸叠加素材	sequence	girl006_01_house_dialogue_Tpose	AnimSequence'/Game/Characters/Girl/girl006_01/Anim/house/girl006_01_house_dialogue_Tpose.girl006_01_house_dialogue_Tpose'	
100	一次思考	custom_seq	10;11;12		
101	思考循环	custom_loop_last	10;11		
102	喝咖啡随后吧台坐	custom_loop_last	16;4		
103	一次叉腰	custom_seq	19;20;21		
104	叉腰循环	custom_loop_last	19;20		
105	陪伴入场	custom_seq	22;23		
