Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	宿舍站	sequence	girl002_01_house_stand01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_stand01.girl002_01_house_stand01'	
2	宿舍靠站	sequence	girl002_01_house_lean_stand01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_lean_stand01.girl002_01_house_lean_stand01'	
3	扶脸点头	sequence	girl002_01_house_thank01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_thank01.girl002_01_house_thank01'	
4	举咖啡靠站	sequence	girl002_01_house_stool_sit01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_stool_sit01.girl002_01_house_stool_sit01'	
5	站扔飞镖	sequence	girl002_01_house_dart_idle01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dart_idle01.girl002_01_house_dart_idle01'	
6	站看书	sequence	girl002_01_house_book_idle01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_book_idle01.girl002_01_house_book_idle01'	
7	站思考下棋	sequence	girl002_01_house_playchess_stand01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_playchess_stand01.girl002_01_house_playchess_stand01'	
8	坐操作屏幕	sequence	girl002_01_house_chair_idle01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_chair_idle01.girl002_01_house_chair_idle01'	
9	坐循环	sequence	girl002_01_house_chair_sit01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_chair_sit01.girl002_01_house_chair_sit01'	
10	侧卧睡觉	sequence	girl002_01_house_bed_sleep01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_bed_sleep01.girl002_01_house_bed_sleep01'	
11	靠躺休息	sequence	girl002_01_house_rest_idle01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_rest_idle01.girl002_01_house_rest_idle01'	
12	水中治疗循环	sequence	girl002_01_house_sluggish_stand	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_sluggish_stand.girl002_01_house_sluggish_stand'	
13	说话	sequence	girl002_01_house_talk01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_talk01.girl002_01_house_talk01'	
14	惊讶	sequence	girl002_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_amaze.girl002_01_house_dialogue_amaze'	
15	逃避	sequence	girl002_01_house_dialogue_touch	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_touch.girl002_01_house_dialogue_touch'	
16	抱胸	sequence	girl002_01_house_dialogue_armshug	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_armshug.girl002_01_house_dialogue_armshug'	
17	思考-前	sequence	girl002_01_house_dialogue_think_start	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_think_start.girl002_01_house_dialogue_think_start'	
18	思考-循环	sequence	girl002_01_house_dialogue_think_loop	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_think_loop.girl002_01_house_dialogue_think_loop'	
19	思考-后	sequence	girl002_01_house_dialogue_think_end	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_think_end.girl002_01_house_dialogue_think_end'	
20	打招呼	sequence	girl002_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_greet.girl002_01_house_dialogue_greet'	
21	肯定	sequence	girl002_01_house_dialogue_sure	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_sure.girl002_01_house_dialogue_sure'	
22	否定	sequence	girl002_01_house_dialogue_deny	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_deny.girl002_01_house_dialogue_deny'	
23	沙发坐	sequence	girl002_01_house_sofa_sit01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_sofa_sit01.girl002_01_house_sofa_sit01'	
24	抱胸-前	sequence	girl002_01_house_dialogue_armshug_start	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_armshug_start.girl002_01_house_dialogue_armshug_start'	
25	抱胸-循环	sequence	girl002_01_house_dialogue_armshug_loop	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_armshug_loop.girl002_01_house_dialogue_armshug_loop'	
26	抱胸-后1	sequence	girl002_01_house_dialogue_armshug_end01	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_armshug_end01.girl002_01_house_dialogue_armshug_end01'	
27	抱胸-后2	sequence	girl002_01_house_dialogue_armshug_end02	AnimSequence'/Game/Characters/Girl/girl002_01/Anim/house/girl002_01_house_dialogue_armshug_end02.girl002_01_house_dialogue_armshug_end02'	
