Id,不能变	说明	动画类型	动画名	路径	注释	套装80	套装5
Id	Explain	Type	Name	Path	Nul	Suit80	Suit5
1	待机	sequence	player002_house_loop_stand01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_loop_stand01.player002_house_loop_stand01'			
2	讲述	sequence	player002_house_dialogue_talk01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_talk01.player002_house_dialogue_talk01'			
3	惊讶	sequence	player002_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_amaze.player002_house_dialogue_amaze'			
4	思考-前	sequence	player002_house_dialogue_think_start	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_think_start.player002_house_dialogue_think_start'			
5	思考-循环	sequence	player002_house_dialogue_think_loop	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_think_loop.player002_house_dialogue_think_loop'			
6	思考-后	sequence	player002_house_dialogue_think_end	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_think_end.player002_house_dialogue_think_end'			
7	肯定	sequence	player002_house_dialogue_sure	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_sure.player002_house_dialogue_sure'			
8	否定	sequence	player002_house_dialogue_deny	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_dialogue_deny.player002_house_dialogue_deny'			
9	瑜伽动作	sequence	player002_house_follow_idle01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_follow_idle01.player002_house_follow_idle01'			
10	葛优瘫-前	sequence	player002_house_laydown_standsit01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_laydown_standsit01.player002_house_laydown_standsit01'			
11	葛优瘫-循环	sequence	player002_house_laydown_sit01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_laydown_sit01.player002_house_laydown_sit01'			
12	葛优瘫-后	sequence	player002_house_laydown_sitstand01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_laydown_sitstand01.player002_house_laydown_sitstand01'			
13	吧台坐	sequence	player002_house_pub_stand01	AnimSequence'/Game/Characters/Girl/player002/Anim/player002_house_pub_stand01.player002_house_pub_stand01'			
