Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	待机	sequence	girl014_01a_house_stand01	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_stand01.girl014_01a_house_stand01'	
2	惊讶	sequence	girl014_01a_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_amaze.girl014_01a_house_dialogue_amaze'	
3	感谢	sequence	girl014_01a_house_thank01	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_thank01.girl014_01a_house_thank01'	
4	拒绝	sequence	girl014_01a_house_dialogue_deny	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_deny.girl014_01a_house_dialogue_deny'	
5	肯定	sequence	girl014_01a_house_dialogue_sure	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_sure.girl014_01a_house_dialogue_sure'	
6	抚发	sequence	girl014_01a_house_dialogue_touch	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_touch.girl014_01a_house_dialogue_touch'	
7	抱胸-前	sequence	girl014_01a_house_dialogue_armshug_start	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_armshug_start.girl014_01a_house_dialogue_armshug_start'	
8	抱胸-循环	sequence	girl014_01a_house_dialogue_armshug_loop	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_armshug_loop.girl014_01a_house_dialogue_armshug_loop'	
9	抱胸-后	sequence	girl014_01a_house_dialogue_armshug_end	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_armshug_end.girl014_01a_house_dialogue_armshug_end'	
10	思考-前	sequence	girl014_01a_house_dialogue_think_start	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_think_start.girl014_01a_house_dialogue_think_start'	
11	思考-循环	sequence	girl014_01a_house_dialogue_think_loop	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_think_loop.girl014_01a_house_dialogue_think_loop'	
12	思考-后	sequence	girl014_01a_house_dialogue_think_end	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_think_end.girl014_01a_house_dialogue_think_end'	
13	悄悄话-前	sequence	girl014_01a_house_dialogue_whispe_start	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_whispe_start.girl014_01a_house_dialogue_whispe_start'	
14	悄悄话-循环	sequence	girl014_01a_house_dialogue_whispe_loop	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_whispe_loop.girl014_01a_house_dialogue_whispe_loop'	
15	悄悄话-后	sequence	girl014_01a_house_dialogue_whisp_end	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_dialogue_whisp_end.girl014_01a_house_dialogue_whisp_end'	
16	讲述	sequence	girl014_01a_house_talk01	AnimSequence'/Game/Characters/Girl/girl014_01a/Anim/house/girl014_01a_house_talk01.girl014_01a_house_talk01'	
					
					
100	一次抱胸	custom_seq	7;8;9		
101	抱胸循环	custom_loop_last	7;8		
102	一次思考	custom_seq	10;11;12		
103	思考循环	custom_loop_last	10;11		
104	一次悄悄话	custom_seq	13;14;15		
105	悄悄话循环	custom_loop_last	13;14		
