Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	待机	sequence	girl007_ui_stand01	AnimSequence'/Game/Characters/Girl/girl007/Anim/girl007_ui_stand01.girl007_ui_stand01'	
2	讲述	sequence	girl007_house_talk01	AnimSequence'/Game/Characters/Girl/girl007/Anim/house/girl007_house_talk01.girl007_house_talk01'	
3	感谢	sequence	girl007_house_thank01	AnimSequence'/Game/Characters/Girl/girl007/Anim/house/girl007_house_thank01.girl007_house_thank01'	
					
					
					
					
100	一次思考	custom_seq	11;12;13		
101	思考循环	custom_loop_last	11;12		
