装饰物编号	类型	图标	图素	收藏分
ID	Type	Icon	Image	Score
1	1	1603016	1602987	0
2	2	1603017	1602988	10
3	3	1603018	1602989	10
4	4	1603020	1602991	10
5	5	1603019	1602990	10
6	6	1603021	1602992	10
7	7	1603022	1602993	10
8	1	1603023	1602994	10
9	2	1603024	1602995	10
10	3	1603025	1602996	10
11	4	1603027	1602998	10
12	5	1603026	1602997	10
13	6	1603028	1602999	10
14	7	1603029	1603000	10
15	1	1603030	1603001	10
16	2	1603031	1603002	10
17	3	1603032	1603003	10
18	4	1603034	1603005	10
19	5	1603033	1603004	10
20	6	1603035	1603006	10
21	7	1603036	1603007	10
