ID	备注	开启时间	结束时间	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	队伍规则	Boss概念图	关卡概念图	任务资源	最大伤害值	关卡描述	索引到具体BOSS
ID	Comments	StartTime	EndTime	Type	MapID	FightID	Condition	Monster	LevelStrength	ShowListType	RecommendPower	RecommendLevelOffset	TeamRuleID	PictureBoss	PictureLevel	TaskPath	MaxDamage	LevelDes	BossID
9000	DLC3第一期单机关卡1	[202311271000]	[202312130400]	0	9000	1		{{6001302,40}}	4						1803038	MultiTask/RandomTest/MultTask_9000.MultTask_9000	176601	ui.TxtOnlineBossDes1	
9001	DLC3第一期单机关卡2	[202311280400]	[202312130400]	0	9000	1	{{2,9000}}	{{6001302,50}}	4						1803038	MultiTask/RandomTest/MultTask_9001.MultTask_9001	305395	ui.TxtOnlineBossDes1	
9002	DLC3第一期单机关卡3	[202311290400]	[202312130400]	0	9000	1	{{2,9001}}	{{6001302,60}}	4						1803038	MultiTask/RandomTest/MultTask_9002.MultTask_9002	491443	ui.TxtOnlineBossDes1	
9003	DLC3第一期单机关卡4	[202311300400]	[202312130400]	0	9000	1	{{2,9002}}	{{6001302,70}}	4						1803038	MultiTask/RandomTest/MultTask_9003.MultTask_9003	736531	ui.TxtOnlineBossDes1	
																			
9010	DLC4第二期单机关卡1	[202312201000]	[202401030400]	0	9010	1		{{6001302,40}}	4						1801017	MultiTask/RandomTest/MultTask_9010.MultTask_9010	119022	chapter.level_des_9010	
9011	DLC4第二期单机关卡2	[202312210400]	[202401030400]	0	9010	1	{{2,9010}}	{{6001302,50}}	4						1801017	MultiTask/RandomTest/MultTask_9011.MultTask_9011	205823	chapter.level_des_9011	
9012	DLC4第二期单机关卡3	[202312220400]	[202401030400]	0	9010	1	{{2,9011}}	{{6001302,60}}	4						1801017	MultiTask/RandomTest/MultTask_9012.MultTask_9012	331212	chapter.level_des_9012	
9013	DLC4第二期单机关卡4	[202312230400]	[202401030400]	0	9010	1	{{2,9012}}	{{6001302,70}}	4						1801017	MultiTask/RandomTest/MultTask_9013.MultTask_9013	496391	chapter.level_des_9013	
																			
9020	DLC5第三期单机关卡1	[202401221000]	[202402050400]	0	9020	1		{{6001206,40}}	4						1801018	MultiTask/RandomTest/MultTask_9020.MultTask_9020	81739	chapter.level_des_9020	
9021	DLC5第三期单机关卡2	[202401230400]	[202402050400]	0	9020	1	{{2,9020}}	{{6001206,50}}	4						1801018	MultiTask/RandomTest/MultTask_9021.MultTask_9021	141351	chapter.level_des_9021	
9022	DLC5第三期单机关卡3	[202401240400]	[202402050400]	0	9020	1	{{2,9021}}	{{6001206,60}}	4						1801018	MultiTask/RandomTest/MultTask_9022.MultTask_9022	227463	chapter.level_des_9022	
9023	DLC5第三期单机关卡4	[202401250400]	[202402050400]	0	9020	1	{{2,9022}}	{{6001206,70}}	4						1801018	MultiTask/RandomTest/MultTask_9023.MultTask_9023	340901	chapter.level_des_9023	
																			
9030	DLC6第四期单机关卡1	[202403111000]	[202403250400]	0	9030	1		{{6001207,40}}	4						1801020	MultiTask/RandomTest/MultTask_9030.MultTask_9030	260610	chapter.level_des_9030	
9031	DLC6第四期单机关卡2	[202403120400]	[202403250400]	0	9030	1	{{2,9030}}	{{6001207,50}}	4						1801020	MultiTask/RandomTest/MultTask_9031.MultTask_9031	450670	chapter.level_des_9031	
9032	DLC6第四期单机关卡3	[202403130400]	[202403250400]	0	9030	1	{{2,9031}}	{{6001207,60}}	4						1801020	MultiTask/RandomTest/MultTask_9032.MultTask_9032	725220	chapter.level_des_9032	
