期数id	奖励Id	伤害	奖励内容
ActId	Id	Damage	Rewards
1	1	100000	{{4,3,2,1,20},{4,1,10,2,10}}
1	2	400000	{{5,5,1,1,5},{4,3,1,1,3000}}
1	3	700000	{{4,3,2,1,20},{4,1,10,2,10}}
1	4	1000000	{{5,5,1,1,5},{4,3,1,1,3000}}
1	5	1300000	{{4,3,2,1,20},{4,1,10,2,10}}
1	6	1600000	{{5,5,1,1,5},{4,3,1,1,4000}}
1	7	2000000	{{4,3,2,1,30},{4,1,10,2,10}}
1	8	2400000	{{5,5,1,1,5},{4,3,1,1,5000}}
1	9	2800000	{{5,5,1,2,3},{4,1,10,2,10}}
1	10	3400000	{{5,5,1,2,3},{4,3,1,1,5000}}
1	11	4000000	{{5,5,1,2,4}}
1	12	4800000	{{4,3,1,1,10000}}
1	13	5600000	{{4,3,1,1,20000}}
			
2	1	100000	{{4,3,2,1,20},{4,3,1,1,3000}}
2	2	300000	{{5,5,1,1,5},{4,3,1,1,3000}}
2	3	500000	{{4,3,2,1,20},{4,3,1,1,3000}}
2	4	700000	{{5,5,1,1,5},{4,3,1,1,3000}}
2	5	900000	{{4,3,2,1,20},{4,3,1,1,4000}}
2	6	1100000	{{5,5,1,1,5},{4,3,1,1,4000}}
2	7	1300000	{{4,3,2,1,30},{4,3,1,1,4000}}
2	8	1500000	{{5,5,1,1,5},{4,3,1,1,5000}}
2	9	1800000	{{5,5,1,2,3},{4,3,1,1,5000}}
2	10	2200000	{{5,5,1,2,3},{4,3,1,1,5000}}
2	11	2600000	{{5,5,1,2,4}}
2	12	3000000	{{4,3,1,1,10000}}
2	13	3500000	{{4,3,1,1,20000}}
			
3	1	80000	{{4,3,2,1,20},{4,3,1,1,3000}}
3	2	220000	{{5,5,1,1,5},{4,3,1,1,3000}}
3	3	330000	{{4,3,2,1,20},{4,3,1,1,3000}}
3	4	450000	{{5,5,1,1,5},{4,3,1,1,3000}}
3	5	620000	{{4,3,2,1,20},{4,3,1,1,4000}}
3	6	790000	{{5,5,1,1,5},{4,3,1,1,4000}}
3	7	920000	{{4,3,2,1,30},{4,3,1,1,4000}}
3	8	1050000	{{5,5,1,1,5},{4,3,1,1,5000}}
3	9	1200000	{{5,5,1,2,3},{4,3,1,1,5000}}
3	10	1450000	{{5,5,1,2,3},{4,3,1,1,5000}}
3	11	1700000	{{5,5,1,2,4}}
3	12	2000000	{{4,3,1,1,10000}}
3	13	2300000	{{4,3,1,1,20000}}
			
4	1	260000	{{4,3,2,1,20},{4,3,1,1,3000}}
4	2	700000	{{5,5,1,1,5},{4,3,1,1,3000}}
4	3	1000000	{{4,3,2,1,20},{4,3,1,1,3000}}
4	4	1400000	{{5,5,1,1,5},{4,3,1,1,3000}}
4	5	1900000	{{4,3,2,1,20},{4,3,1,1,4000}}
4	6	2500000	{{5,5,1,1,5},{4,3,1,1,4000}}
4	7	3000000	{{4,3,2,1,30},{4,3,1,1,4000}}
4	8	3500000	{{5,5,1,1,5},{4,3,1,1,5000}}
4	9	4000000	{{5,5,1,2,3},{4,3,1,1,5000}}
4	10	5000000	{{5,5,1,2,3},{4,3,1,1,5000}}
4	11	6000000	{{5,5,1,2,4}}
4	12	7000000	{{4,3,1,1,10000}}
4	13	8000000	{{4,3,1,1,20000}}
			
5	1	190000	{{4,3,2,1,20},{4,3,1,1,3000}}
5	2	540000	{{5,5,1,1,5},{4,3,1,1,3000}}
5	3	800000	{{4,3,2,1,20},{4,3,1,1,3000}}
5	4	1000000	{{5,5,1,1,5},{4,3,1,1,3000}}
5	5	1400000	{{4,3,2,1,20},{4,3,1,1,4000}}
5	6	1900000	{{5,5,1,1,5},{4,3,1,1,4000}}
5	7	2200000	{{4,3,2,1,30},{4,3,1,1,4000}}
5	8	2600000	{{5,5,1,1,5},{4,3,1,1,5000}}
5	9	3000000	{{5,5,1,2,3},{4,3,1,1,5000}}
5	10	3500000	{{5,5,1,2,3},{4,3,1,1,5000}}
5	11	4000000	{{5,5,1,2,4}}
5	12	4500000	{{4,3,1,1,10000}}
5	13	5000000	{{4,3,1,1,20000}}
			
6	1	180000	{{4,3,2,1,20},{4,3,1,1,3000}}
6	2	500000	{{5,5,1,1,5},{4,3,1,1,3000}}
6	3	750000	{{4,3,2,1,20},{4,3,1,1,3000}}
6	4	1000000	{{5,5,1,1,5},{4,3,1,1,3000}}
6	5	1350000	{{4,3,2,1,20},{4,3,1,1,4000}}
6	6	1700000	{{5,5,1,1,5},{4,3,1,1,4000}}
6	7	2100000	{{4,3,2,1,30},{4,3,1,1,4000}}
6	8	2500000	{{5,5,1,1,5},{4,3,1,1,5000}}
6	9	2900000	{{5,5,1,2,3},{4,3,1,1,5000}}
6	10	3500000	{{5,5,1,2,3},{4,3,1,1,5000}}
6	11	4000000	{{5,5,1,2,4}}
6	12	4500000	{{4,3,1,1,10000}}
6	13	5000000	{{4,3,1,1,20000}}
			
7	1	550000	{{4,3,2,1,20},{4,3,1,1,3000}}
7	2	1500000	{{5,5,1,1,5},{4,3,1,1,3000}}
7	3	2250000	{{4,3,2,1,20},{4,3,1,1,3000}}
7	4	3000000	{{5,5,1,1,5},{4,3,1,1,3000}}
7	5	4000000	{{4,3,2,1,20},{4,3,1,1,4000}}
7	6	5300000	{{5,5,1,1,5},{4,3,1,1,4000}}
7	7	6400000	{{4,3,2,1,30},{4,3,1,1,4000}}
7	8	7500000	{{5,5,1,1,5},{4,3,1,1,5000}}
7	9	8600000	{{5,5,1,2,3},{4,3,1,1,5000}}
7	10	10000000	{{5,5,1,2,3},{4,3,1,1,5000}}
7	11	11500000	{{5,5,1,2,4}}
7	12	13000000	{{4,3,1,1,10000}}
7	13	15000000	{{4,3,1,1,20000}}
			
8	1	180000	{{4,3,2,1,20},{4,3,1,1,3000}}
