ID	//备注（关卡名称文本、挑战规则文本走chapter.txt配置）	图标	前置关卡	关卡类型(1常规,2挑战)	关卡解锁时间(格式：年月日时分秒,如201601010200或20160101（时分秒可省略）	关卡关闭时间(格式：年月日时分秒,如201601010200或20160101（时分秒可省略）	可选buff（填写climbtower_buff表ID）	关卡下方是否显示解锁时间（0=不显示，1=显示）	对应关卡ID（填写climbtower_level表ID）	试用角色ID（填写trial_card表ID）
ID	Comment	Icon	LastId	Type	OpenTime	CloseTime	Buffs	NeedLockTime	Level	TryCard
1	常1	1701234		1	[202512041000]	[202512180400]	{4,7,9}	1	8861	{104007,104008,104009}
2	常2	1701234	1	1	[202512041000]	[202512180400]	{4,7,9}		8862	{104007,104008,104009}
3	常3	1701234	2	1	[202512041000]	[202512180400]	{4,7,9}		8863	{104007,104008,104009}
4	挑战1	1701237	3	2	[202512041000]	[202512180400]	{4,7,9}		8864	{104007,104008,104009}
5	常4	1701234	3	1	[202512050400]	[202512180400]	{3,6,10}	1	8865	{104010,104011,104012}
6	常5	1701234	5	1	[202512050400]	[202512180400]	{3,6,10}		8866	{104010,104011,104012}
7	常6	1701234	6	1	[202512050400]	[202512180400]	{3,6,10}		8867	{104010,104011,104012}
8	挑战2	1701237	7	2	[202512050400]	[202512180400]	{3,6,10}		8868	{104010,104011,104012}
9	常7	1701234	7	1	[202512060400]	[202512180400]	{2,8,9}	1	8869	{104013,104014,104015}
10	常8	1701234	9	1	[202512060400]	[202512180400]	{2,8,9}		8870	{104013,104014,104015}
11	常9	1701234	10	1	[202512060400]	[202512180400]	{2,8,9}		8871	{104013,104014,104015}
12	挑战3	1701237	11	2	[202512060400]	[202512180400]	{2,8,9}		8872	{104013,104014,104015}
13	常10	1701234	11	1	[202512070400]	[202512180400]	{1,5,10}	1	8873	{104013,104014,104015}
14	常11	1701234	13	1	[202512070400]	[202512180400]	{1,5,10}		8874	{104013,104014,104015}
15	常12	1701234	14	1	[202512070400]	[202512180400]	{1,5,10}		8875	{104013,104014,104015}
16	挑战4	1701237	15	2	[202512070400]	[202512180400]	{1,5,10}		8876	{104013,104014,104015}
17	常13	1701234	15	1	[202512080400]	[202512180400]	{4,6,9}	1	8877	{104016,104017,104018}
18	常14	1701234	17	1	[202512080400]	[202512180400]	{4,6,9}		8878	{104016,104017,104018}
19	常15	1701234	18	1	[202512080400]	[202512180400]	{4,6,9}		8879	{104016,104017,104018}
20	挑战5	1701237	19	2	[202512080400]	[202512180400]	{4,6,9}		8880	{104016,104017,104018}
21	常16	1701234	19	1	[202512090400]	[202512180400]	{3,7,10}	1	8881	{104016,104017,104018}
22	常17	1701234	21	1	[202512090400]	[202512180400]	{3,7,10}		8882	{104016,104017,104018}
23	常18	1701234	22	1	[202512090400]	[202512180400]	{3,7,10}		8883	{104016,104017,104018}
24	挑战6	1701237	23	2	[202512090400]	[202512180400]	{3,7,10}		8884	{104016,104017,104018}
