词缀ID	描述	类名	参数	参数说明	文本key	图标
Id	Desc	ClassName	Args	Desc2	key	icon
1	online.Forbidzone_SkillDesc5	Cooldown	{50}	online.Forbidzone_SkillName5	online.Forbidzone_SkillName5	1001419
2	online.Forbidzone_SkillDesc6	UseCount	{1}	online.Forbidzone_SkillName6	online.Forbidzone_SkillName6	1001421
3	online.Forbidzone_SkillDesc7	PlayerDamage	{25}	online.Forbidzone_SkillName7	online.Forbidzone_SkillName7	1001423
4	online.Forbidzone_SkillDesc8	ItemDamage	{25}	online.Forbidzone_SkillName8	online.Forbidzone_SkillName8	1001425
5	online.Forbidzone_SkillDesc9	Deployment	{2}	online.Forbidzone_SkillName9	online.Forbidzone_SkillName9	1001427
6	online.Forbidzone_SkillDesc1			online.Forbidzone_SkillName1	online.Forbidzone_SkillName1	1001417
7	online.Forbidzone_SkillDesc2			online.Forbidzone_SkillName2	online.Forbidzone_SkillName2	1001411
8	online.Forbidzone_SkillDesc3			online.Forbidzone_SkillName3	online.Forbidzone_SkillName3	1001415
9	online.Forbidzone_SkillDesc4			online.Forbidzone_SkillName4	online.Forbidzone_SkillName4	1001413
