字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H芬妮		早啊分析员~	0	
page0.2	H主角		早啊，今天不是休息日吗？	0	
page0.3	H主角		起得这么早是有事？	0	
page0.4	H芬妮		没有。我听天气预报说今天天气不错，准备出去逛街。	0	
choice1			我刚刚看外面太阳很舒服的样子。	0	
page1.1	H芬妮		是嘛，那就正好。分析员你要是没什么安排的话，就陪我一起去吧？	0	
page1.2	H主角		我？我就算了吧……	0	
page1.3	H主角		再说了，我没啥要买的东西。	0	
page1.4	H芬妮		哎呀，逛街逛的是气氛，不一定要买东西。再说了，你没有要买的东西，我有想给你买的东西。	0	
page1.5	H芬妮		走啦，走啦，别逼我架着你走哦~	0	
page1.6	H主角		我还没吃东西呢！	0	
page1.7	H芬妮		一会儿你要吃什么我都包了。	0	
choice2			等一下，天气预报刚更新了。	0	
page2.1	H主角		一会儿就有局部小雨，你记得带把伞。	0	
page2.2	H芬妮		啊……那我不出门了。	0	
page2.3	H主角		为什么？就小雨，实在不喜欢，等雨停了我陪你出去逛街？	0	
page2.4	H芬妮		这就是分析员你不明白的地方了。逛街只是休息日放松的一部分，没有好天气的话也没有心情了哦。	0	
page2.5	H主角		那你接下来换什么安排呢？	0	
page2.6	H芬妮		呼……再说吧。	0	
