字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H主角		猫汐尔，你在看什么？	0	
page0.2	H猫汐尔		看扫地机器人喵。	0	
page0.3	H主角		嗯？它有什么不正常的地方吗？	0	
page0.4	H猫汐尔		它和你们人类没什么区别，都只会按照预设的指令行动。	0	
page0.5	H主角		你一脸平静地说出了很骇人听闻的话啊。	0	
page0.6	H猫汐尔		在卫城学院读书的时候，她们就经常讨论这个。	0	
page0.7	H猫汐尔		“自由意志是否存在？”	0	
page0.8	H主角		至少我认为是存在的，比如我下午打算去外面买点薯条。	0	
page0.9	H猫汐尔		你相信你是自由的，但摄入食物是人类的本能。	0	
page0.10	H猫汐尔		另一方面，如果你不工作，拿不到工资，你就吃不上你的薯条了。	0	
page0.11	H猫汐尔		总而言之，到底是什么驱动着你做出决定呢？	0	
page0.12	H主角		你说得对，但我还是决定去买点薯条。	0	
page0.13	H猫汐尔		你们人类还真是难懂喵。	0	
