字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H肴		哎分析员！正好遇到你了，快帮我想想这个周末有什么适合去放松的地方。	0	
page0.2	H主角		难得听你说想出门，你平时周末不都是在宿舍里面躺着吗？	0	
page0.3	H肴		咳咳，我偶尔也会有出去走走的想法好吧！	0	
page0.4	H主角		既然这样，我想想。	0	
page0.5	H主角		芬妮之前说附近的商业街最近促销。	0	
page0.6	H主角		芙提雅给我推荐过几家口碑很好的特色餐厅。	0	
page0.7	H主角		还有几部热门的全息电影，我把排片时间发你终端上了。	0	
page0.8	H肴		哇，没想到分析员你这么懂啊，谢谢你啦！	0	
page0.9	H主角		毕竟我休假时候就是被队员们拖着去各种地方。	0	
page0.10	H肴		那我先走啦，回来的时候给你带好吃的。	0	
aside01	aside		第二天	0	
page0.11	H主角		早上好啊肴，你的周末过的怎么样？	0	
page0.12	H肴		嗯，这个嘛……	0	
page0.13	H肴		我觉得，还是在宿舍躺着适合我。	0	
page0.14	H主角		意料之中。	0	
