字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H芙提雅		嗨，分析员今天也有空呢~	0	
page0.2	H主角		遇到小老师也很难得啊。	0	
page0.3	H主角		今天不泡在研究室了吗？	0	
page0.4	H芙提雅		嗐，根据人工智能计算，再不运动一下，身体机能就会下降到无法通过下次体能检测呢……真糟糕。	0	
page0.5	H芙提雅		我可绝对不会让这种事情发生。	0	
page0.6	H主角		要一起练吗？	0	
page0.7	H芙提雅		哼哼，很大胆嘛分析员，你能跟上我的速度吗？	0	
page0.8	H主角		试试吧。	0	
aside1			十分钟后	0	
page0.9	H芙提雅		呼……哈……呼……哈……	0	
page0.10	H芙提雅		可恶，今天的量……有点不对劲。	0	
page0.11	H主角		要休息吗？	0	
page0.12	H芙提雅		休息？芙提雅老师可没有这么脆弱……	0	
page0.13	H芙提雅		但……分析员要是实在受不了，我也不是不可以……	0	
page0.14	H主角		我还好啊。	0	
page0.15	H芙提雅		啊……对了对了，突然想到有个新的运动饮料，我想研究一下它的功能性数据是否属实。	0	
page0.16	H芙提雅		分析员好像是个不错的实验对象呢……	0	
page0.17	H芙提雅		别练了别练了，走吧，我请你。	0	
