字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H芙提雅		啊……分析员，为什么每次见到你都很匆忙啊……	0	
page0.2	H芙提雅		要不要停下来陪我一起闻闻这里的绿植呢？	0	
page0.3	H主角		现在可是工作时间吧？	0	
page0.4	H芙提雅		嗯，工作……当然！这也是工作的一部分。	0	
page0.5	H芙提雅		可不要小看了周遭环境气味对工作效率的影响哦。	0	
page0.51	H芙提雅		我对宿舍内部的香氛都不太满意，想自己来调制一种呢。	0	
page0.6	H芙提雅		分析员你有什么比较喜欢的香味吗？	0	
page0.7	H主角		柠檬……？	0	
page0.8	H芙提雅		和我猜得一样！	0	
page0.9	H芙提雅		柠檬香有助于减少工作中的失误，不过，现在使用的柠檬香大多都是工业香精。	0	
page0.10	H主角		真的吗？长见识了……	0	
page0.11	H芙提雅		当然分析员你的意见我也会参考的，可以在最终试剂里加上21.8%的柠檬精华。	0	
page0.12	H主角		听起来挺像回事的嘛。	0	
page0.13	H芙提雅		当然。	0	
page0.14	H芙提雅		可别小瞧了芙提雅老师的发明，到时候一定会拿出一个让分析员也能心旷神怡的超级香氛！	0	
page0.15	H芙提雅		所以分析员要一起来闻闻，给点建议吗……	0	
page0.16	H主角		你慢慢研究吧，我尽量不把你摸鱼的事情说出去，就是对你最大的支持了……	0	
