字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H瑟瑞斯		分析员你好呀。	0	
page0.2	H主角		看起来很高兴呀。	0	
page0.3	H瑟瑞斯		因为刚吃了好吃的点心！	0	
page0.4	H瑟瑞斯		就是那些“热带飓风纸杯蛋糕”。	0	
page0.5	H主角		你说的，该不会是早上那些红艳艳的点心吧？	0	
page0.6	H瑟瑞斯		没错！是琴诺特别烤制的，上次我吃了一个很好吃，特意拜托她又烤了一些。	0	
page0.7	H瑟瑞斯		分析员你要不要尝一个看看？很好吃的呢。	0	
page0.8	H主角		呃……我之前尝了一口，那种富有冲击性的辣，令人印象深刻。	0	
page0.9	H瑟瑞斯		咦，不应该呀，我只觉得有淡淡的辣味刺激味蕾，很清爽的感觉……	0	
page0.10	H瑟瑞斯		分析员不习惯辣的话，要不试试琴诺特制的“深海熔岩气泡水”？	0	
page0.11	H瑟瑞斯		分析员？！你怎么不说话了？	0	
