字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H恩雅		分析员喜欢听什么样的音乐？	0	
page0.2	H主角		没什么特别的喜好，硬说的话，流行什么就会听什么，怎么了吗？	0	
page0.3	H恩雅		我想在休息区申请放一些有利于身心舒缓的轻音乐。	0	
page0.4	H恩雅		但是考虑到可能有人会觉得轻音乐让人昏昏欲睡，就想着先调查看看。	0	
page0.5	H主角		如果能趁机小憩一会儿也不是不行。	0	
page0.6	H恩雅		但是，也有人不喜欢把睡觉当成休息方式哦。	0	
page0.7	H恩雅		如果强行放一些催眠的音乐会适得其反。	0	
page0.8	H主角		说的也是。	0	
page0.9	H恩雅		那我就先给分析员的意见记个“尚不明确”好了。	0	
page0.10	H主角		我能看看现在的意见情况吗？	0	
page0.11	H恩雅		这个嘛。目前的话，“重金属”、“华尔兹”、“流行乐”、“复古动漫金曲”……没有一个重复选择。	0	
page0.12	H主角		恩雅你呢？	0	
page0.13	H恩雅		我？我听大家最后的选择就好。	0	
page0.14	H主角		意料之中啊。	0	
