字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	听得到吗？喂？能听见吗？	聽得到嗎？喂？能聽見嗎？	聞こえる？もしもし？聞こえる？	들려? 여보세요? 들려?	Can you hear me? Hello? Is this coming through?						0	3.2版本新序章
2	现在好多了。泰坦物质的浓度已经到临界点了，这应该是最后一次通讯。	現在好多了。泰坦物質的濃度已經到臨界點了，這應該是最後一次通訊。	さっきより聞こえているよ。タイタン物質の濃度が臨界点に達したから、これが最後の通信になりそうだ。	이제 좀 낫네. 타이탄 물질 농도가 임계치에 도달했어. 아마 이게 마지막 통신이 될 거야.	Coming in clearer now. Titagen levels just hit critical — this'll likely be our last transmission.						0	3.2版本新序章
3	噢……知道了。你们打得怎么样？	噢……知道了。你們打得怎麼樣？	そう……わかった。そっちはどう？	아… 알겠어. 전투는 어땠어?	...Understood. How's it going on your end?						0	3.2版本新序章
4	还算顺利。清除了泰坦之后，直到现在都没再遇见过敌人。	還算順利。清除了泰坦之後，直到現在都沒再遇到過敵人。	順調だ。タイタンを排除してから、まだ敵に遭遇していない。	순조로운 편이야. 타이탄을 제거하고 나서 지금까지 적과 마주치지 않았어.	Rather smoothly. We haven't encountered any enemies since we took down the Titan.						0	3.2版本新序章
5	好了，坐标已经传给你了。	好了，座標已經傳給你了。	座標も送っておいた。	자, 좌표 보냈어.	I've sent you our coordinates.						0	3.2版本新序章
6	好。我这边的雪也很大了，发射之后我就出发。	好。我這邊的雪也很大了，發射之後我就出發。	うん。こっちも結構吹雪いてきたから、発射させたら出発するね。	응. 이쪽도 눈이 많이 오네. 발사 후에 바로 출발할게.	Snow's heavy here too. I'll move out once I send the airdrop.						0	3.2版本新序章
7	收到了。正在校准位置。	收到了。正在校準位置。	座標、受け取ったよ。位置修正中。	받았어. 위치 조정 중이야.	Coordinates received — calibrating now.						0	3.2版本新序章
8	空投物资已发射，预计五分钟后到达。	空投物資已發射，預計五分鐘後抵達。	物資発射完了、5分くらいで到着すると思う。	공수 물자 발사 완료. 5분 후 도착 예정이야.	Payload is airborne. ETA five minutes.						0	3.2版本新序章
9	嗯。我们会就地补给，你到达目标位置之后发射信号弹，我们会就地扎营，然后回应信号弹。	嗯。我們會就地補給，你到達目標位置之後發射信號彈，我們會就地紮營，然後回應信號彈。	ああ。ここでしばらく休憩するから、目標地点に着いたら信号弾をあげてくれ。そしたらキャンプ地を建てて、信号弾に答える。	응. 현장에서 바로 보급할게. 네가 목표 지점에 도착해서 신호탄을 발사하면, 우리는 그 자리에서 야영하고 신호탄으로 응답할게.	We'll resupply on the spot. Once you get near the target location, pop a flare — we'll make camp and respond in kind.						0	3.2版本新序章
10	收到。预计……当地时间晚上六点到达坐标位置。	收到。預計……當地時間晚上六點到達座標位置。	了解。だいたい…現地時間の午後6時に座標位置に到着する予定だ。	알겠어. 예상 시간은… 현지 시각 오후 6시에 좌표 위치로 도착할 거야.	Copy. ETA... 18:00 local.						0	3.2版本新序章
11	好。	好。	了解。	알겠어.	Copy that. Stay sharp.						0	3.2版本新序章
12	略微迟疑，但还是挂掉了通讯。	略微遲疑，但還是掛掉了通訊。	私は少し戸惑ったが、通信を切ることにした。	나는 잠시 망설이다가 통신을 끊었다.	I paused for a moment, then cut the transmission.						0	3.2版本新序章
13	上一场遭遇战之后，就几乎没再看见过异化人和泰坦了。雪时深时浅，乌云却始终横在前头，怎么绕也绕不过去。	上一場遭遇戰之後，就幾乎就沒再看到過異化人和泰坦了。雪時深時淺，烏雲卻始終橫在前面，怎麼繞都繞不過去。	前回敵に襲われて以降、変異者とタイタンには一切遭遇していない。雪は積もり続けているが、暗雲は終始目の前に浮かんでおり、どれだけ進んでも変わらなかった。	지난 교전 이후로 변이자와 타이탄을 거의 보지 못했다. 눈은 깊어졌다 얕아졌다 하는데, 먹구름은 계속 앞을 가로막고 있어 아무리 돌아가도 피할 수 없었다.	Since the last engagement, there hadn't been another sighting of the Changed or Titans. Snow came and went in waves, but those heavy clouds never lifted. There was no getting around them.						0	3.2版本新序章
14	“树”好像收缩起了所有力量。大风渐起，远远看去，“树”的外围正凝聚着一道风暴。如果前进，走哪条路也都一样了。	「樹」好像收縮起了所有力量。大風漸起，遠遠看去，「樹」的外圍正凝聚著一道風暴。如果前進，走哪條路也都一樣了。	「デンドロン」は力を温存しているようだ。いつの間にか風が吹き始め、遠くを眺めると、「デンドロン」の周りは嵐のようだ。進むと決めたら、どのルートも同じなのかもしれない。	 '나무'가 모든 힘을 수축한 것 같았다. 바람이 점점 거세지고, 멀리서 보니 '나무' 주변에 폭풍이 몰아치고 있었다. 앞으로 나아간다면 어느 길을 택해도 똑같을 것이다.	In the distance, the Tree seemed to be concentrating its strength. A windstorm had gathered at its perimeter. No matter which path we took, it would be the same hell.						0	3.2版本新序章
15	降落伞挂着空投箱慢慢落下。原地补给好物资，我们继续前进。	降落傘掛著空投箱慢慢落下。原地補給好物資，我們繼續前進。	物資のパラシュートがゆっくりと落ちてくる。その場で物資を素早く補給し、また進みはじめた。	낙하산에 매달린 공수 물자 상자가 천천히 내려왔다. 우리는 그 자리에서 물자를 보급하고 계속 전진했다.	The parachute drifted down slowly, cargo crate in tow. We resupplied on the spot and pressed on.						0	3.2版本新序章
16	雪没过了小腿。走在最前面的人用身体分开一条道路，后面的人搭着肩膀，沿着走出的路前进。	雪沒過了小腿。走在最前面的人用身體分開出一條道路，後面的人搭著肩膀，沿著走出的路前進。	雪は膝の下まで積もっている。先頭を歩く人は体で路を作り、後ろを歩く人はお互いの肩に手を置き、その路に沿って歩く。	눈이 종아리까지 찼다. 선두에 선 사람이 몸으로 길을 열고, 뒤따르는 사람들은 어깨를 잡은 채 그 길을 따라 나아갔다.	The snow was up to our calves. Whoever took point had to break trail with their body — the others close behind, hand to shoulder, single file.						0	3.2版本新序章
17	每过一个小时，最前面的人就要退下来休息。等雪没过膝盖，这个时间就又缩短了。	每過一個小時，最前面的人就要退下來休息。等雪沒過膝蓋，這個時間就又縮短了。	そして、1時間置きに先頭を交代し、休ませる。膝が埋まるほど雪が高くなると、早めに交代するようにした。	선두에 선 사람은 한 시간마다 쉬어야 했다. 눈이 무릎까지 차오르자, 그 간격은 더 짧아졌다.	Every hour, we rotated. The lead dropped to the back for a breather. Once the snow hit our lap, we had to switch even faster.						0	3.2版本新序章
18	深一脚浅一脚。雪埋住了地形，每一脚都要坚定无比地踏下去，踩实、踩死，然后才能迈出下一步。	深一腳淺一腳。雪埋住了地形，每一腳都要堅定無比地踏下去，踩實、踩死，然後才能邁出下一步。	我々は、ふらつきながらも、雪で見えない地形の上を歩くうち、思いっきり雪を踏まなければ、次の一歩を踏み出せなくなっていた。	발걸음도 깊어졌다 얕아졌다 했다. 눈이 지형을 덮어버려, 모든 발걸음을 확실히 내디뎌야만 다음 걸음을 뗄 수 있었다.	Step by step, half-blind. The snow had erased the terrain. Every footfall had to be planted hard, crushed down solid — only then could we push forward.						0	3.2版本新序章
19	风更大了。时而迎面而来，要伏着身子才不会被掀翻过去。时而背后袭来，要躺在风里，用上百斤的装备来压住身形。	風更大了。時而迎面而來，要伏著身體才不會被掀翻過去。時而背後襲來，要躺在風裡，用上百斤的裝備來壓住身形。	風がさらに強くなってきた。身をかがめなければ、吹き飛ばされてしまいそうになる。ときには後ろから襲い掛かり、装備の重さで身体を押さえつけなければならなかった。	바람이 더 거세졌다. 때로는 정면에서 불어오는 바람에 몸을 숙여야 휘청이지 않을 수 있었고, 때로는 뒤에서 불어와 수백 킬로그램의 장비로 몸을 눌러야 했다.	The wind kept picking up. In headwinds, we had to hunch low to keep from toppling. In tailwinds, the hundred-pound gear strapped on our backs was our only anchor.						0	3.2版本新序章
20	想交谈都成了困难。一张嘴，风便混着雪灌进嘴里。喊出声，也会在半米内便淹没在怒号的风声中。	想交談都成了困難。一張開嘴，風便混著雪灌進嘴裡。喊出聲，也會在半公尺內便淹沒在怒號的風聲中。	こんな状況では会話もろくにできない。不注意にも口を開ければ、雪が風とともに口に入って来てしまい、大声で叫んでも、すぐに風にかき消されてしまう。	대화조차 힘들어졌다. 입을 열면 바람 섞인 눈이 입안으로 들어왔고, 크게 외쳐도 반 미터도 못 가 매서운 바람 소리에 묻혀버렸다.	Talking was pointless. Open your mouth, and snow-laced wind rushed straight in. Shout, and your voice died in the gale before it left your lips.						0	3.2版本新序章
21	“树”凛然站在终点，奋力挥舞着它的雪连枷，一圈又一圈加快，不知疲倦。	「樹」凜然站在終點，奮力揮舞著它的雪連枷，一圈又一圈加快，不知疲倦。	それはまるで、「デンドロン」は私たちの終着点に佇み、必死に雪をまき散らしているようだ。	 '나무'가 종착점에 우뚝 서서 세찬 눈보라를 휘몰아치며, 지칠 줄도 모르고 점점 더 빠르게 돌고 있었다.	The Tree loomed at the end of our path, like it was swinging bludgeons made of snowstorm — each sweep faster, heavier, more brutal.						0	3.2版本新序章
22	站在最前面的我停了下来，回过头。	站在最前面的我停了下來，回過頭。	私は立ち止まり、振り返って見た。	선두에 선 나는 멈춰 서서 뒤를 돌아보았다.	As I was leading, I halted and turned around.						0	3.2版本新序章
