字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				世界树公司的研发车间，一个始终灯火通明，难以区分昼夜的地方。	0	2.7版本玩法
2		0				但此刻的车间却暗得反常，唯一的光亮来自于正在旋转的全息投影。	0	2.7版本玩法
3		0				投影内容是名为“悸响”的战术套装，也是研发部门最新的科技成果。	0	2.7版本玩法
4		6	芙提雅驰掣			怎么样~很酷吧？这可是有芙提雅老师参与的又一力作！	0	2.7版本玩法
5		0				背对着众人的芙提雅转过半边身子，扬起下巴，嘴角带着几分得意。又慢条斯理地举起手，给自己比了一个大拇指。	0	2.7版本玩法
6		0	分析员			嗯……挺酷的。	0	2.7版本玩法
7		0	分析员			不过关于“悸响”，大家都了解的差不多了。这次开会，应该是研发部门又搞了些新花样吧？	0	2.7版本玩法
8		6	芙提雅驰掣			没错~	0	2.7版本玩法
9		0				随着芙提雅指尖一动，眼前投影立刻化为粒子散开，又很快组成复杂的立方体。	0	2.7版本玩法
10		6	芙提雅驰掣			新花样就是它啦！搭载在战术套装上的全新模组~	0	2.7版本玩法
11		6	芙提雅驰掣			新模组会更契合天启者的身体特性、行为模式……	0	2.7版本玩法
12		0				芙提雅一边介绍，一边还不忘“路过”妮塔的身后，期待地拍了拍妮塔的肩膀。	0	2.7版本玩法
13		0				在场人的目光刚开始也跟着芙提雅移动，最后竟不约而同地聚焦在了妮塔身上。	0	2.7版本玩法
14		0				察觉到气氛有些古怪，妮塔眉头一皱，身子一歪，附在我的耳边问道。	0	2.7版本玩法
15		6	妮塔			分析员，你们怎么都看着我？	0	2.7版本玩法
16		0	分析员			你们？你是问我，还是问其他人。	0	2.7版本玩法
17		6	妮塔			有什么区别吗？	0	2.7版本玩法
18		0	分析员			当然有，我看妮塔是因为……	0	2.7版本玩法
b-1	b-1	0					0	2.7版本玩法
19	b-1-1	0				妮塔今天很漂亮	0	2.7版本玩法
20	b-1-1-0	6	妮塔			啥……啥……我今天洗了个脸就出门了，明明很普通啊。	0	2.7版本玩法
21	b-1-1-1	0	分析员			就是素颜才好看嘛。	0	2.7版本玩法
22	b-1-1-2	6	妮塔			突然说这话……搞得人怪不好意思的。	0	2.7版本玩法
23	b-1-2	0				嘴角有零食屑哦	0	2.7版本玩法
24	b-1-2-0	6	妮塔			不……不是吧？左边还是右边？	0	2.7版本玩法
25	b-1-2-1	0	分析员			骗你的。	0	2.7版本玩法
26	b-1-2-2	6	妮塔			分析员！干嘛捉弄我！	0	2.7版本玩法
27		0				就在妮塔把手贴在脸颊上，试图抵消热意、褪去绯色的时候，芙提雅的点名吓得她身子轻颤了一下。	0	2.7版本玩法
28		4	芙提雅驰掣			针对以上，妮塔有什么想说的吗？	0	2.7版本玩法
29		5	妮塔			我？我对模组什么的一窍不通……没什么想说的啊？	0	2.7版本玩法
30		4	芙提雅驰掣			别呀！有什么想法都大胆提，研发部门一定会尊重你的意见。	0	2.7版本玩法
31		4	芙提雅驰掣			毕竟这可是为“悸响”专门设计的模组呢~	0	2.7版本玩法
32		5	妮塔			悸响……	0	2.7版本玩法
33		5	妮塔			等等，是用在我的装甲上？？？！！！	0	2.7版本玩法
34		0				惊呼在并不算大的车间内回响，贴在墙上的资料纷纷扬起边角，杯中的水面也起了涟漪。	0	2.7版本玩法
35		4	芙提雅驰掣			搞了半天，妮塔还不知道啊，那你就没觉得今天被叫来开会有点奇怪吗?	0	2.7版本玩法
36		5	妮塔			嘿……有和分析员一起开会的机会，还纠结啥会议内容。	0	2.7版本玩法
37		5	妮塔			再说了，有新装甲就已经挺意外的了，加装新模组啥的，我想都不敢想。	0	2.7版本玩法
38		5	妮塔			唉……其实公司也犯不着这么破费，我的“四手”虽然有点旧了，但在战场上照样嘎嘎乱杀！	0	2.7版本玩法
39		5	妮塔			省下来的经费，干点啥不好！	0	2.7版本玩法
40		0				说着，妮塔刻意操控着装甲的关节活动了几下，想要证明“四手”依然状态良好。	0	2.7版本玩法
41		0				然而装甲却在转动时发出了微不可闻的嘎吱声。	0	2.7版本玩法
42		0				声音虽小，却还是让妮塔脸上满足的笑容略显僵硬，眼神中不禁流露出几分心虚和尴尬。	0	2.7版本玩法
43		6	妮塔			好吧，它负责嘎嘎，我负责乱杀……哈……哈哈……	0	2.7版本玩法
44		0				看她脸上写满了无忧无惧的单纯，我忍不住用指节轻轻敲在了她的额头上。	0	2.7版本玩法
45		6	妮塔			哎哟！	0	2.7版本玩法
46		0	分析员			我们连未来战场什么样都不知道，还嘎嘎乱杀呢。	0	2.7版本玩法
47		6	妮塔			嗯？分析员也不知道吗？	0	2.7版本玩法
48		0				她揉了揉额头，一脸迷茫地看向我。	0	2.7版本玩法
49		0	分析员			我又不是能预知的水晶球，当然不知道了。	0	2.7版本玩法
50		0	分析员			正因为我们不知道，所以满足现状就像在给手枪上膛。	0	2.7版本玩法
51		0	分析员			等哪天我们自以为冲出重围，脱离险境的时候，致命的子弹可就惊喜送达了。	0	2.7版本玩法
52		0				尽管我说的风轻云淡，但似乎车间里的每个人，都透过我的话看到了那个危机四伏的明天，从而被沉重的寂静吞没。	0	2.7版本玩法
53		0				片刻之后，妮塔坚定的声音才划破沉寂。	0	2.7版本玩法
54		6	妮塔			现在的一切的确都让我感到满足，但如分析员所说，为了未来不再被命运夺走些什么……	0	2.7版本玩法
55		6	妮塔			我不能再退让了！	0	2.7版本玩法
56		0				妮塔的拳头在胸前攥紧，眼底燃起了无声而猛烈的火焰。	0	2.7版本玩法
57		6	妮塔			“悸响”和新模组我都要！	0	2.7版本玩法
58		6	妮塔			芙提雅，把“悸响”端上来！！！我已经迫不及待穿上它战斗了！	0	2.7版本玩法
59		6	芙提雅驰掣			什么呀！	0	2.7版本玩法
60		6	芙提雅驰掣			模组还没搭载完成呢，别想让我现在就端上来！	0	2.7版本玩法
61		0				不知道从哪里冒出的、短促又微妙的“呼”声滑过耳畔。	0	2.7版本玩法
62		0				刚燃起的火焰就这样被遗憾扑灭了。	0	2.7版本玩法
63		5	妮塔			啊？是这样吗？	0	2.7版本玩法
64		4	芙提雅驰掣			哎呀，都是因为你们打岔，芙提雅老师还没来得及说到这里呢。	0	2.7版本玩法
