字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		终于搞完了……		
page1.2	H安卡希雅		辛苦了。		
page1.3	H主角		我可以走了吧？已经帮你测出这么多bug了。		
page1.4	H安卡希雅		再等下。		
page1.5	H主角		又怎么了？		
page1.6	H安卡希雅		你作为这个游戏的第一位玩家，觉得这个游戏怎么样？		
page1.7	H主角		你在征求意见的时候可以表情友好点吗？		
page1.8	H安卡希雅		别在意，我不会生气的。		
page1.9	H主角		行吧，目前游戏的基础玩法我大致都了解了，不知道为什么既视感有点强。		
page1.10	H安卡希雅		别怕，玩法是申请不了专利的。		
page1.11	H主角		你这发言一如既往问题很大啊……		
page1.12	H安卡希雅		还有其他问题吗？		
page1.13	H主角		你能不能扩充下人手，界面甚至有错别字，能抓的敌人也很少，地图也很单调。		
page1.14	H安卡希雅		那你来帮我招人吧？海姆达尔部队的分析员的号召力肯定很强。		
page1.15	H主角		你等会儿，怎么又把我给安排了。		
page1.16	H安卡希雅		那拜托你了，人事部主管。		
page1.17	H主角		你好好听人说话啊……		
