字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H肴		唉……		
page1.2	H主角		……		
page1.3	H肴		果然会有这种，连续加班后什么都不想做的时候啊。		
page1.4	H主角		同感。		
page1.5	H肴		我觉得，应该和公司申请加装按摩椅。		
page1.6	H主角		同感。		
page1.7	H肴		那就分析员去申请吧。		
page1.8	H主角		往后再说吧。		
page1.9	H肴		也是哦，现在只要躺着就很幸福了。		
page1.10	H主角		同感。		
page1.11	H肴		不过，今天还有不少事情要做啊，分析员也是吧。		
page1.12	H主角		我的事情已经做完了。		
page1.13	H肴		哎？		
page1.14	H肴		也就是说只有我是有很多事情还在摸鱼？		
page1.15	H主角		听起来是这样的。		
page1.16	H肴		可恶啊……		
