期数id	等级	普通奖励{g,d,p,l,n}	是否是特殊奖励	普通奖励显示优先级(越小越靠前)	进阶奖励{g,d,p,l,n}	是否是特殊奖励	进阶奖励显示优先级(越小越靠前)	地区限制目前可填：0国内外,1国内,2海外
ID	Level	NormalAward	NormalSp	NormarlPriority	AdvanceAward	AdvanceSp	AdvancePriority	Coverage
1	1	{5,1,1,2,3}		1	{5,1,1,3,5}			
1	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
1	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
1	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
1	5	{4,2,1,4,1}	1	5	{4,2,1,4,2}	1	4	
1	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
1	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
1	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
1	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
1	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
1	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
1	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
1	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
1	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
1	15	{5,9,1,3,1}	1	15	{5,9,1,3,1}	1	3	
1	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
1	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
1	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
1	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
1	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
1	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
1	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
1	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
1	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
1	25	{4,2,1,4,1}	1	25	{4,2,1,4,2}	1	4	
1	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
1	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
1	28	{4,3,1,1,3000}		28	{4,3,1,1,12000}			
1	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
1	30	{5,21,1,4,1}	1	30	{5,21,1,5,1}	1	2	
1	31	{5,1,1,3,3}		31	{5,1,1,3,12}			
1	32	{5,2,1,3,3}		32	{5,2,1,3,12}			
1	33	{4,3,1,1,4500}		33	{4,3,1,1,18000}			
1	34	{5,3,1,3,3}		34	{5,3,1,3,12}			
1	35	{5,9,1,3,1}	1	35	{5,9,1,3,1}	1	3	
1	36	{5,1,1,3,3}		36	{5,1,1,3,12}			
1	37	{5,2,1,3,3}		37	{5,2,1,3,12}			
1	38	{4,3,1,1,4500}		38	{4,3,1,1,18000}			
1	39	{5,3,1,3,3}		39	{5,3,1,3,12}			
1	40	{5,21,1,4,1}	1	40	{5,21,1,5,1}	1	2	
1	41	{5,1,1,3,3}		41	{5,1,1,3,12}			
1	42	{5,2,1,3,3}		42	{5,2,1,3,12}			
1	43	{4,3,1,1,4500}		43	{4,3,1,1,18000}			
1	44	{5,3,1,3,3}		44	{5,3,1,3,12}			
1	45	{5,5,1,4,1}	1	45	{4,2,1,4,2}	1	4	
1	46	{5,1,1,3,4}		46	{5,1,1,3,16}			
1	47	{5,2,1,3,4}		47	{5,2,1,3,16}			
1	48	{4,3,1,1,6000}		48	{4,3,1,1,24000}			
1	49	{5,3,1,3,4}		49	{5,3,1,3,16}			
1	50	{5,21,1,4,1}	1	50	{4,3,2,1,680}	1	1	
								
2	1	{5,1,1,2,3}	1	1	{4,3,2,1,680}	1	1	
2	2	{5,2,1,2,3}		2	{5,2,1,3,5}			
2	3	{4,3,1,1,2000}		3	{4,3,1,1,8000}			
2	4	{5,3,1,2,3}		4	{5,3,1,3,5}			
2	5	{4,2,1,4,1}	1	5	{4,2,1,4,2}	1	4	
2	6	{5,1,1,2,3}		6	{5,1,1,3,5}			
2	7	{5,2,1,2,3}		7	{5,2,1,3,5}			
2	8	{4,3,1,1,2000}		8	{4,3,1,1,8000}			
2	9	{5,3,1,2,3}		9	{5,3,1,3,5}			
2	10	{5,21,1,4,1}	1	10	{5,21,1,5,1}	1	2	
2	11	{5,1,1,2,3}		11	{5,1,1,3,5}			
2	12	{5,2,1,2,3}		12	{5,2,1,3,5}			
2	13	{4,3,1,1,2000}		13	{4,3,1,1,8000}			
2	14	{5,3,1,2,3}		14	{5,3,1,3,5}			
2	15	{5,9,1,3,1}	1	15	{5,9,1,3,1}	1	3	
2	16	{5,1,1,3,2}		16	{5,1,1,3,8}			
2	17	{5,2,1,3,2}		17	{5,2,1,3,8}			
2	18	{4,3,1,1,3000}		18	{4,3,1,1,12000}			
2	19	{5,3,1,3,2}		19	{5,3,1,3,8}			
2	20	{5,21,1,4,1}	1	20	{5,21,1,5,1}	1	2	
2	21	{5,1,1,3,2}		21	{5,1,1,3,8}			
2	22	{5,2,1,3,2}		22	{5,2,1,3,8}			
2	23	{4,3,1,1,3000}		23	{4,3,1,1,12000}			
2	24	{5,3,1,3,2}		24	{5,3,1,3,8}			
2	25	{4,2,1,4,1}	1	25	{4,2,1,4,2}	1	4	
2	26	{5,1,1,3,2}		26	{5,1,1,3,8}			
2	27	{5,2,1,3,2}		27	{5,2,1,3,8}			
2	28	{4,3,1,1,3000}		28	{4,3,1,1,12000}			
2	29	{5,3,1,3,2}		29	{5,3,1,3,8}			
