任务组分页ID	开始时间	结束时间
GroupID	StartTime	EndTime
1	[202308070400]	[202309210400]
2	[202308210400]	[202309210400]
3	[202308070400]	[202309210400]
4	[202308140400]	[202309210400]
5	[202309211000]	[202311020400]
6	[202309211000]	[202311020400]
7	[202309211000]	[202311020400]
8	[202309211000]	[202311020400]
9	[202309211000]	[202311020400]
10	[202311021000]	[202312140400]
12	[202311021000]	[202312140400]
13	[202311021000]	[202312140400]
14	[202311021000]	[202312140400]
15	[202311021000]	[202312140400]
16	[202311021000]	[202312140400]
17	[202312141000]	[202401180400]
18	[202312141000]	[202401180400]
19	[202312141000]	[202401180400]
20	[202312141000]	[202401180400]
21	[202312141000]	[202401180400]
22	[202401181000]	[202403070400]
23	[202401181000]	[202403070400]
24	[202401181000]	[202403070400]
25	[202401181000]	[202403070400]
26	[202401181000]	[202403070400]
27	[202403071000]	[202404180400]
28	[202403071000]	[202404180400]
29	[202403071000]	[202404180400]
30	[202403071000]	[202404180400]
31	[202403071000]	[202404180400]
32	[202403071000]	[202404180400]
33	[202404181000]	[202405300400]
34	[202404181000]	[202405300400]
35	[202404181000]	[202405300400]
36	[202404181000]	[202405300400]
37	[202404181000]	[202405300400]
38	[202405301000]	[202407110400]
39	[202405301000]	[202407110400]
40	[202405301000]	[202407110400]
41	[202405301000]	[202407110400]
42	[202405301000]	[202407110400]
43	[202405301000]	[202407110400]
44	[202407110400]	[202408220400]
45	[202407110400]	[202408220400]
46	[202407110400]	[202408220400]
47	[202407110400]	[202408220400]
48	[202407110400]	[202408220400]
49	[202407110400]	[202408220400]
50	[202407110400]	[202408220400]
51	[202407110400]	[202408220400]
52	[202408221000]	[202409260400]
53	[202408221000]	[202409260400]
54	[202408221000]	[202409260400]
55	[202408221000]	[202409260400]
56	[202408221000]	[202409260400]
57	[202409260400]	[202411070400]
58	[202409260400]	[202411070400]
59	[202409260400]	[202411070400]
60	[202409260400]	[202411070400]
61	[202409260400]	[202411070400]
62	[202409260400]	[202411070400]
63	[202409260400]	[202411070400]
64	[202411071000]	[202412190400]
65	[202411071000]	[202412190400]
66	[202411071000]	[202412190400]
67	[202411071000]	[202412190400]
68	[202411071000]	[202412190400]
69	[202411071000]	[202412190400]
70	[202411071000]	[202412190400]
71	[202412191000]	[202501230400]
72	[202412191000]	[202501230400]
73	[202412191000]	[202501230400]
74	[202412191000]	[202501230400]
75	[202412191000]	[202501230400]
76	[202412191000]	[202501230400]
77	[202501230400]	[202503060400]
78	[202501230400]	[202503060400]
79	[202501230400]	[202503060400]
80	[202501230400]	[202503060400]
81	[202501230400]	[202503060400]
82	[202501230400]	[202503060400]
83	[202501230400]	[202503060400]
84	[202501230400]	[202503060400]
85	[202503061000]	[202504170400]
86	[202503061000]	[202504170400]
87	[202503061000]	[202504170400]
88	[202503061000]	[202504170400]
89	[202503061000]	[202504170400]
90	[202503061000]	[202504170400]
91	[202503061000]	[202504170400]
92	[202503061000]	[202504170400]
93	[202504170400]	[202505290400]
94	[202504170400]	[202505290400]
95	[202504170400]	[202505290400]
96	[202504170400]	[202505290400]
97	[202504170400]	[202505290400]
98	[202504170400]	[202505290400]
99	[202504170400]	[202505290400]
100	[202504170400]	[202505290400]
101	[202505291000]	[202507100400]
102	[202505291000]	[202507100400]
103	[202505291000]	[202507100400]
104	[202505291000]	[202507100400]
105	[202505291000]	[202507100400]
106	[202505291000]	[202507100400]
107	[202505291000]	[202507100400]
108	[202505291000]	[202507100400]
109	[202507100400]	[202508210400]
110	[202507100400]	[202508210400]
111	[202507100400]	[202508210400]
112	[202507100400]	[202508210400]
113	[202507100400]	[202508210400]
114	[202507100400]	[202508210400]
115	[202507100400]	[202508210400]
116	[202507100400]	[202508210400]
117	[202508211000]	[202509250400]
118	[202508211000]	[202509250400]
119	[202508211000]	[202509250400]
120	[202508211000]	[202509250400]
121	[202508211000]	[202509250400]
122	[202508211000]	[202509250400]
123	[202508211000]	[202509250400]
124	[202509250400]	[202511060400]
125	[202509250400]	[202511060400]
126	[202509250400]	[202511060400]
127	[202509250400]	[202511060400]
128	[202509250400]	[202511060400]
129	[202509250400]	[202511060400]
130	[202509250400]	[202511060400]
131	[202509250400]	[202511060400]
132	[202511060400]	[202512180400]
133	[202511060400]	[202512180400]
134	[202511060400]	[202512180400]
135	[202511060400]	[202512180400]
136	[202511060400]	[202512180400]
137	[202511060400]	[202512180400]
138	[202511060400]	[202512180400]
139	[202512180400]	[202601290400]
140	[202512180400]	[202601290400]
141	[202512180400]	[202601290400]
142	[202512180400]	[202601290400]
143	[202512180400]	[202601290400]
144	[202512180400]	[202601290400]
145	[202601290400]	[202603120400]
146	[202601290400]	[202603120400]
147	[202601290400]	[202603120400]
148	[202601290400]	[202603120400]
149	[202601290400]	[202603120400]
150	[202601290400]	[202603120400]
151	[202601290400]	[202603120400]
152	[202601290400]	[202603120400]
153	[202605080400]	[202606190400]
154	[202605080400]	[202606190400]
155	[202605080400]	[202606190400]
156	[202605080400]	[202606190400]
157	[202605080400]	[202606190400]
158	[202605080400]	[202606190400]
159	[202605080400]	[202606190400]
160	[202605080400]	[202606190400]
161	[202604230400]	[202606040400]
162	[202604230400]	[202606040400]
163	[202604230400]	[202606040400]
164	[202604230400]	[202606040400]
165	[202604230400]	[202606040400]
166	[202604230400]	[202606040400]
167	[202604230400]	[202606040400]
168	[202604230400]	[202606040400]
