商店ID	//备注	商店名称	开启时间	结束时间	界面开启时间	界面关闭时间	每次展示商品数（大于等于99表示全部展示）	解锁条件	使用的代币	排序	版本号	地区限制目前可填：0国内外,1国内,2海外	跳转商店
ShopId	Common	GroupName	StartTime	EndTime	EnterStartTime	CloseEndTime	Columns	Condition	ShopMoneyType	Sort	Version	Coverage	JumpUI
101		ui.DLC1shop1	[202308070400]	[202308230400]	[202308070400]	[202308230400]	18		{{5,23,1,2},{5,23,1,1}}	1	1		Dlc1Shop
102		ui.DLC1shop2	[202308070400]	[202308230400]	[202308070400]	[202308230400]			{{5,23,1,1}}	2	1		Dlc1Shop
103		ui.DLC1shop1	[202309211000]	[202311020400]	[202309211000]	[202311020400]	99		{{4,1,6,2},{4,1,6,3}}	1	1		Dlc2Shop
104		ui.DLC1shop2	[202309211000]	[202311020400]	[202309211000]	[202311020400]			{{4,1,6,3}}	2	1		Dlc2Shop
105		ui.DLC1shop1	[202311021000]	[202312140400]	[202311021000]	[202312140400]	99		{16,22}	1	1		Dlc3Shop
106		ui.DLC1shop2	[202311021000]	[202312140400]	[202311021000]	[202312140400]	99		{16,22}	2	1		Dlc3Shop
107		ui.DLC1shop1	[202312141000]	[202401180400]	[202312141000]	[202401180400]	99		{{5,29,1,1},{5,29,1,2}}	1	1		Dlc4Shop
108		ui.DLC1shop2	[202312141000]	[202401180400]	[202312141000]	[202401180400]	99		{{5,29,1,1},{5,29,1,2}}	2	3		Dlc4Shop
109		ui.DLC1shop1	[202401181000]	[202403070400]	[202401181000]	[202403070400]	99		{{5,29,2,1},{5,29,2,2}}	1	1		Dlc5Shop
110		ui.DLC1shop2	[202401181000]	[202403070400]	[202401181000]	[202403070400]	99		{{5,29,2,1},{5,29,2,2}}	2	1		Dlc5Shop
111		ui.DLC6shop1	[202403071000]	[202404270400]	[202403071000]	[202404270400]	99		{{5,30,2,3},{5,30,2,4}}	3	1		Dlc6Shop
112		ui.DLC6shop2	[202403071000]	[202404270400]	[202403071000]	[202404270400]	99		{{5,30,2,3},{5,30,2,4}}	4	1		Dlc6Shop
113		ui.DLC1shop1	[202404181000]	[202405300400]	[202404181000]	[202405300400]	99		{{5,29,3,1},{5,29,3,2}}	1	1		Dlc7Shop
114		ui.DLC1shop2	[202404181000]	[202405300400]	[202404181000]	[202405300400]	99		{{5,29,3,1},{5,29,3,2}}	2	1		Dlc7Shop
115		ui.DLC1shop1	[202405301000]	[202407110400]	[202405301000]	[202407110400]	99		{{5,29,4,1},{5,29,4,2}}	1	1		Dlc8Shop
116		ui.DLC1shop2	[202405301000]	[202407110400]	[202405301000]	[202407110400]	99		{{5,29,4,1},{5,29,4,2}}	2	1		Dlc8Shop
117		ui.DLC1shop1	[202407110400]	[202408220400]	[202407110400]	[202408220400]	99		{{5,29,5,1},{5,29,5,2}}	1	1		Dlc9Shop
118		ui.DLC1shop2	[202407110400]	[202408220400]	[202407110400]	[202408220400]	99		{{5,29,5,1},{5,29,5,2}}	2	2		Dlc9Shop
119		ui.DLC1shop1	[202408221000]	[202409260400]	[202408221000]	[202409260400]	99		{{5,29,6,1},{5,29,6,2}}	1	1		Dlc10Shop
120		ui.DLC1shop2	[202408221000]	[202409260400]	[202408221000]	[202409260400]	99		{{5,29,6,1},{5,29,6,2}}	2	1		Dlc10Shop
121		ui.DLC1shop1	[202409260400]	[202411070400]	[202409260400]	[202411070400]	99		{{5,29,7,1},{5,29,7,2}}	1	1		Dlc11Shop
122		ui.DLC1shop2	[202409260400]	[202411070400]	[202409260400]	[202411070400]	99		{{5,29,7,1},{5,29,7,2}}	2	1		Dlc11Shop
123		ui.DLC1shop1	[202411071000]	[202412190400]	[202411071000]	[202412190400]	99		{{5,29,8,1},{5,29,8,2}}	1	1		Dlc23Shop
124		ui.DLC1shop2	[202411071000]	[202412190400]	[202411071000]	[202412190400]	99		{{5,29,8,1},{5,29,8,2}}	2	1		Dlc23Shop
125		ui.DLC1shop1	[202412191000]	[202501230400]	[202412191000]	[202501230400]	99		{{5,29,9,1},{5,29,9,2}}	1	1		Dlc24Shop
126		ui.DLC1shop2	[202412191000]	[202501230400]	[202412191000]	[202501230400]	99		{{5,29,9,1},{5,29,9,2}}	2	1		Dlc24Shop
127		ui.DLC1shop1	[202412191000]	[202503060400]	[202412191000]	[202503060400]	99		{{5,29,10,1},{5,29,10,2}}	1	1		Dlc25Shop
128		ui.DLC1shop2	[202412191000]	[202503060400]	[202412191000]	[202503060400]	99		{{5,29,10,1},{5,29,10,2}}	2	1		Dlc25Shop
129		ui.DLC1shop1	[202503061000]	[202504170400]	[202503061000]	[202504170400]	99		{{5,29,11,1},{5,29,11,2}}	1	1		Dlc26Shop
130		ui.DLC1shop2	[202503061000]	[202504170400]	[202503061000]	[202504170400]	99		{{5,29,11,1},{5,29,11,2}}	2	1		Dlc26Shop
131		ui.DLC1shop1	[202504170400]	[202505290400]	[202504170400]	[202505290400]	99		{{5,29,12,1},{5,29,12,2}}	1	1		Dlc27Shop
132		ui.DLC1shop2	[202504170400]	[202505290400]	[202504170400]	[202505290400]	99		{{5,29,12,1},{5,29,12,2}}	2	1		Dlc27Shop
133		ui.DLC1shop1	[202505291000]	[202507100400]	[202505291000]	[202507100400]	99		{{5,29,13,1},{5,29,13,2}}	1	1		Dlc28Shop
134		ui.DLC1shop2	[202505291000]	[202507100400]	[202505291000]	[202507100400]	99		{{5,29,13,1},{5,29,13,2}}	2	1		Dlc28Shop
135		ui.DLC1shop1	[202507100400]	[202508210400]	[202507100400]	[202508210400]	99		{{5,29,14,1},{5,29,14,2}}	1	1		Dlc30Shop
136		ui.DLC1shop2	[202507100400]	[202508210400]	[202507100400]	[202508210400]	99		{{5,29,14,1},{5,29,14,2}}	2	1		Dlc30Shop
137		ui.DLC1shop1	[202508211000]	[202509250400]	[202508211000]	[202509250400]	99		{{5,29,15,1},{5,29,15,2}}	1	1		Dlc31Shop
138		ui.DLC1shop2	[202508211000]	[202509250400]	[202508211000]	[202509250400]	99		{{5,29,15,1},{5,29,15,2}}	2	1		Dlc31Shop
139		ui.DLC1shop1	[202509250400]	[202511060400]	[202509250400]	[202511060400]	99		{{5,29,16,1},{5,29,16,2}}	1	1		Dlc32Shop
140		ui.DLC1shop2	[202509250400]	[202511060400]	[202509250400]	[202511060400]	99		{{5,29,16,1},{5,29,16,2}}	2	1		Dlc32Shop
141		ui.DLC1shop1	[202511060400]	[202512180400]	[202511060400]	[202512180400]	99		{{5,29,17,1},{5,29,17,2}}	1	1		Dlc33Shop
142		ui.DLC1shop2	[202511060400]	[202512180400]	[202511060400]	[202512180400]	99		{{5,29,17,1},{5,29,17,2}}	2	1		Dlc33Shop
143		ui.DLC1shop1	[202512180400]	[202601290400]	[202512180400]	[202601290400]	99		{{5,29,18,1},{5,29,18,2}}	1	1		Dlc34Shop
144		ui.DLC1shop2	[202512180400]	[202601290400]	[202512180400]	[202601290400]	99		{{5,29,18,1},{5,29,18,2}}	2	1		Dlc34Shop
145		ui.DLC1shop1old	[202601290400]	[202605150400]	[202601290400]	[202605150400]	99		{{5,29,19,1},{5,29,19,2}}	3	1		Dlc36Shop
146		ui.DLC1shop2old	[202601290400]	[202605150400]	[202601290400]	[202605150400]	99		{{5,29,19,1},{5,29,19,2}}	4	1		Dlc36Shop
147		ui.DLC1shop1new	[202605080400]	[202606190400]	[202605080400]	[202606190400]	99		{{5,29,20,1},{5,29,20,2}}	1	1		Dlc36Shop
148		ui.DLC1shop2new	[202605080400]	[202606190400]	[202605080400]	[202606190400]	99		{{5,29,20,1},{5,29,20,2}}	2	1		Dlc36Shop
149		ui.DLC1shop1	[202606190400]	[202608040400]	[202606190400]	[202608040400]	99		{{5,29,21,1},{5,29,21,2}}	1	1		Dlc37Shop
150		ui.DLC1shop2	[202606190400]	[202608040400]	[202606190400]	[202608040400]	99		{{5,29,21,1},{5,29,21,2}}	2	1		Dlc37Shop
