商店栏目类	商品ID	GDPLN	额外赠送	备注	固定位置	权重	后置商品ID（需要按ID顺序解锁时配）	解锁条件	购买逻辑	计算方式（1:售价1或售价2 2:售价1和售价2）	售价1{代币,价格}	售价2{代币,价格}	限购类型(1刷新 2每日 3每周 4每月 5活动期间)	限购数量	背包拥有超过上限显示已售罄	拥有数量限制（超过则不可购买）	超过限购提示（1或不配显示售罄标签，2显示下次刷新倒计时）	折扣类型（1按比例，2超值）	折扣{{概率,比例或超值}...}	上线时间	下线时间	是否隐藏限时标签	是否提示防沉迷	是否显示后勤专属角色角标（1=显示，0或不配=不显示）	扩展参数
ShopId	GoodsId	GDPLN	Extra	nil	PosIndex	Weight	NextID	Condition	Class	Calculation	Price1	Price2	LimitType	LimitNum	ShowSoldOut	LimitHaveNum	Tips	DiscountType	Discount	Begin	End	HideLimit	Addiction	ShowSupportHead	tbParam
2	201	{3,1,1,1,1}		临时后勤1号		10			ordinary		{5,24,1,1,20}		3	1											
2	202	{3,2,1,1,1}		临时后勤2号		10			ordinary		{5,24,1,1,20}		3	1											
2	203	{3,3,1,1,1}		临时后勤3号		10			ordinary		{5,24,1,1,20}		3	1											
2	204	{3,1,2,1,1}		临时后勤4号		10			ordinary		{5,24,1,1,20}		3	1											
2	205	{3,2,2,1,1}		临时后勤5号		10			ordinary		{5,24,1,1,20}		3	1											
2	206	{3,3,2,1,1}		临时后勤6号		10			ordinary		{5,24,1,1,20}		3	1											
																									
3	301	{5,1,1,1,10}		角色经验1	1	10			ordinary		{2,100}		1	5											
3	302	{5,1,1,2,10}		角色经验2		10			ordinary		{2,100}		1	5											
3	303	{5,1,1,3,10}		角色经验3		10			ordinary		{2,100}		1	5											
3	304	{5,2,1,1,10}		武器经验素材1	2	10			ordinary		{2,100}		1	5											
3	305	{5,2,1,2,10}		武器经验素材2		10			ordinary		{2,100}		1	5											
3	306	{5,2,1,3,10}		武器经验素材3		10			ordinary		{2,100}		1	5											
3	307	{5,3,1,1,10}		后勤经验素材1		10			ordinary		{2,100}		1	5											
3	308	{5,3,1,2,10}		后勤经验素材2		10			ordinary		{2,100}		1	5											
3	309	{5,3,1,3,10}		后勤经验素材3		10			ordinary		{2,100}		1	5											
3	310	{5,4,1,3,10}		星期三碎片	3	10			ordinary	2	{2,100}		1	10											
3	311	{5,4,2,3,10}		丽达碎片		10			ordinary	2	{2,100}		1	10											
3	312	{5,4,3,3,10}		普罗米碎片		10			ordinary	2	{2,100}		1	10											
3	313	{5,4,4,3,10}		茉莉安碎片		10			ordinary	2	{2,100}		1	10											
3	314	{5,5,1,1,10}		武器突破素材	4	10			ordinary		{2,100}		1	10											
3	315	{5,5,1,2,10}		武器突破素材		10			ordinary		{2,100}		1	10											
3	316	{5,6,1,1,10}		后勤突破材料B	5	10			ordinary		{2,100}		1	10											
3	317	{5,6,1,2,10}		后勤突破材料A		10			ordinary		{2,100}		1	10											
3	318	{5,6,1,3,10}		后勤突破材料S		10			ordinary		{2,100}		1	10											
3	319	{5,7,1,1,10}		B级后勤技能素材	6	10			ordinary	1	{2,100}		1	10											
3	320	{5,7,1,2,10}		A级后勤技能素材		10			ordinary	1	{2,100}		1	10											
3	321	{5,7,1,3,10}		S级后勤技能素材		10			ordinary	1	{2,100}		1	10											
																									
4	401	{2,3,1,1,1}		丽达基础枪		10			ordinary		{2,100}		1	3											
4	402	{2,2,1,1,1}		普罗米修斯基础枪		10			ordinary		{2,100}		1	3											
4	403	{2,2,3,1,1}		芙缇雅测试短剑		10			ordinary		{2,100}		1	3											
4	404	{2,4,1,1,1}		茉莉安基础枪		10			ordinary		{2,100}		1	3											
4	405	{2,4,2,1,1}		雨燕基础枪		10			ordinary		{2,100}		1	3											
4	406	{2,5,1,1,1}		提尔基础枪		10			ordinary		{2,100}		1	3											
4	407	{2,1,4,1,1}		琴诺基础枪		10			ordinary		{2,100}		1	3											
																									
5	501	{6,1,1,1,1}		枪口A		10			ordinary		{2,31}		1	10											
