a	//描述	资源路径															
ID	Des	path															
1001000	联机_攻击力	Icon/FightBuff/Frames/icon_online_buff01_png.icon_online_buff01_png															
1001001	联机_暴击	Icon/FightBuff/Frames/icon_online_buff02_png.icon_online_buff02_png															
1001002	联机_增加技能攻击力	Icon/FightBuff/Frames/icon_online_buff03_png.icon_online_buff03_png															
1001003	联机_普通射击	Icon/FightBuff/Frames/icon_online_buff04_png.icon_online_buff04_png															
1001004	联机_元素伤害	Icon/FightBuff/Frames/icon_online_buff05_png.icon_online_buff05_png															
1001005	联机_防御力	Icon/FightBuff/Frames/icon_online_buff06_png.icon_online_buff06_png															
1001006	联机_恢复能力	Icon/FightBuff/Frames/icon_online_buff07_png.icon_online_buff07_png															
1001007	联机_辅助的能力	Icon/FightBuff/Frames/icon_online_buff08_png.icon_online_buff08_png															
1001008	联机_闪避触发的能力	Icon/FightBuff/Frames/icon_online_buff09_png.icon_online_buff09_png															
1001009	联机_特殊机制的能力	Icon/FightBuff/Frames/icon_online_buff10_png.icon_online_buff10_png															
1001010	肉鸽打折增益-幸运特惠	Icon/FightBuff/Frames/icon_online_buff13_png.icon_online_buff13_png															
1001011	肉鸽战斗多拿钱增益-优秀奖励	Icon/FightBuff/Frames/icon_online_buff11_png.icon_online_buff11_png															
1001012	肉鸽商店买行动力图标	Icon/FightBuff/Frames/icon_online_buff12_png.icon_online_buff12_png															
1001013	巴别塔技能伤害提升	Icon/DLC2buff/Frames/icon_repression01_buff001_png.icon_repression01_buff001_png															
1001014	巴别塔常规能量回复	Icon/DLC2buff/Frames/icon_repression01_buff002_png.icon_repression01_buff002_png															
1001015	巴别塔范围伤害提升	Icon/DLC2buff/Frames/icon_repression01_buff003_png.icon_repression01_buff003_png															
1001016	巴别塔低温爆炸	Icon/DLC2buff/Frames/icon_repression01_buff004_png.icon_repression01_buff004_png															
1001017	巴别塔射击速度提升	Icon/DLC2buff/Frames/icon_repression01_buff005_png.icon_repression01_buff005_png															
1001018	巴别塔电击伤害类型提升	Icon/DLC2buff/Frames/icon_repression01_buff006_png.icon_repression01_buff006_png															
1001019	巴别塔射中回血	Icon/DLC2buff/Frames/icon_repression01_buff007_png.icon_repression01_buff007_png															
1001020	巴别塔杀敌回血	Icon/DLC2buff/Frames/icon_repression01_buff008_png.icon_repression01_buff008_png															
1001021	巴别塔能量获取提升	Icon/DLC2buff/Frames/icon_repression01_buff009_png.icon_repression01_buff009_png															
1001022	巴别塔高温伤害提升	Icon/DLC2buff/Frames/icon_repression01_buff010_png.icon_repression01_buff010_png															
1001023	巴别塔效果命中提升	Icon/DLC2buff/Frames/icon_repression01_buff011_png.icon_repression01_buff011_png															
1001024	巴别塔灼烧boss易伤	Icon/DLC2buff/Frames/icon_repression01_buff012_png.icon_repression01_buff012_png															
1001025	巴别塔怪物低血增伤	Icon/DLC2buff/Frames/icon_repression02_buff001_png.icon_repression02_buff001_png															
1001026	巴别塔怪物狂暴	Icon/DLC2buff/Frames/icon_repression02_buff002_png.icon_repression02_buff002_png															
1001027	巴别塔怪物共享伤害	Icon/DLC2buff/Frames/icon_repression02_buff003_png.icon_repression02_buff003_png															
1001028	dlc4巴别塔控制易伤	Icon/DLC4buff/Frames/icon_repression02_buff005_png.icon_repression02_buff005_png															
1001029	dlc4巴别塔弹匣提升	Icon/DLC4buff/Frames/icon_repression02_buff006_png.icon_repression02_buff006_png															
