ID（1R 2SR 3SSR+XXXX：编号+1立绘1 2卡牌1  3头像1  4裁剪卡牌1 5立绘2 6卡牌2 7头像2 8裁剪卡牌2）	备注	资源ID	SpineID	偏移{x,y}	缩放
ID	Comment	ResID	SpID	Offset	Scale
1001		1700001		{10,1}	
1004		1700001		{19,1}	22
					
1200100	埃及	1200100			
1200101	北欧	1200101			
1200102	凯尔特	1200102			
1200103	日本	1200103			
1200104	斯拉夫	1200104			
1200105	希腊	1200105			
1200106	印度	1200106			
					
					
1400300	南向工业_小	1400300			
1400301	南向工业_大	1400301			
1400302	李氏防务_小	1400302			
1400303	李氏防务_大	1400303			
1400304	奇普集团_小	1400304			
1400305	奇普集团_大	1400305			
1400306	阴极科技_小	1400306			
1400307	阴极科技_大	1400307			
1400308	希尔伯特-阿瑟责任有限公司_小	1400308			
1400309	希尔伯特-阿瑟责任有限公司_大	1400309			
1400310	光子女妖_小	1400310			
1400311	光子女妖_大	1400311			
1400312	前线工委_小	1400312			
1400313	前线工委_大	1400313			
1400314	逍遥钢铁_小	1400314			
1400315	逍遥钢铁_大	1400315			
					
					
1201051	科尼·内萨立绘a	1201051		{0,0}	1
1201052	科尼·内萨卡牌a	1201052			
1201053	科尼·内萨头像a	1201053			
1201051	科尼·内萨剪裁卡牌a	1201051			
1201048	梅芙立绘a	1201048		{0,0}	1
1201049	梅芙卡牌a	1201049			
1201050	梅芙头像a	1201050			
1201048	梅芙剪裁卡牌a	1201048			
1201045	弗格斯立绘a	1201045		{0,0}	1
1201046	弗格斯卡牌a	1201046			
1201047	弗格斯头像a	1201047			
1201045	弗格斯剪裁卡牌a	1201045			
1201042	H-613立绘a	1201042		{0,0}	1
1201043	H-613卡牌a	1201043			
1201044	H-613头像a	1201044			
1201042	H-613剪裁卡牌a	1201042			
1201036	多尼尔立绘a	1201036		{0,0}	1
1201037	多尼尔卡牌a	1201037			
1201038	多尼尔头像a	1201038			
1201036	多尼尔剪裁卡牌a	1201036			
1201039	里奥立绘a	1201039		{0,0}	1
1201040	里奥卡牌a	1201040			
1201041	里奥头像a	1201041			
1201039	里奥剪裁卡牌a	1201039			
1201009	桃子立绘a	1201009		{0,0}	1
1201010	桃子卡牌a	1201010			
1201011	桃子头像a	1201011			
1201009	桃子剪裁卡牌a	1201009			
1201012	香蒲立绘a	1201012		{0,0}	1
1201013	香蒲卡牌a	1201013			
1201014	香蒲头像a	1201014			
1201012	香蒲剪裁卡牌a	1201012			
1201015	灼立绘a	1201015		{0,0}	1
1201016	灼卡牌a	1201016			
1201017	灼头像a	1201017			
1201015	灼剪裁卡牌a	1201015			
1201018	里西亚立绘a	1201018		{0,0}	1
1201019	里西亚卡牌a	1201019			
1201020	里西亚头像a	1201020			
1201018	里西亚剪裁卡牌a	1201018			
1201021	瓦茜立绘a	1201021		{0,0}	1
1201022	瓦茜卡牌a	1201022			
1201023	瓦茜头像a	1201023			
1201021	瓦茜剪裁卡牌a	1201021			
1201024	维斯瓦米立绘a	1201024		{0,0}	1
1201025	维斯瓦米卡牌a	1201025			
1201026	维斯瓦米头像a	1201026			
1201024	维斯瓦米剪裁卡牌a	1201024			
1201027	玛蒂娜立绘a	1201027		{0,0}	1
1201028	玛蒂娜卡牌a	1201028			
1201029	玛蒂娜头像a	1201029			
1201027	玛蒂娜剪裁卡牌a	1201027			
1201030	塞奎特立绘a	1201030		{0,0}	1
1201031	塞奎特卡牌a	1201031			
1201032	塞奎特头像a	1201032			
1201030	塞奎特剪裁卡牌a	1201030			
1201033	海法立绘a	1201033		{0,0}	1
1201034	海法卡牌a	1201034			
1201035	海法头像a	1201035			
1201033	海法剪裁卡牌a	1201033			
1201000	格娜立绘a	1201000		{0,0}	1
1201001	格娜卡牌a	1201001			
1201002	格娜头像a	1201002			
1201000	格娜剪裁卡牌a	1201000			
1201006	阿花立绘a	1201006		{0,0}	1
1201007	阿花卡牌a	1201007			
1201008	阿花头像a	1201008			
1201006	阿花剪裁卡牌a	1201006			
1201003	瓦力立绘a	1201003		{0,0}	1
1201004	瓦力卡牌a	1201004			
1201005	瓦力头像a	1201005			
1201003	瓦力剪裁卡牌a	1201003			
					
1201216	洛迦立绘a	1201216		{0,0}	1
1201217	洛迦卡牌a	1201217			
1201218	洛迦头像a	1201218			
1201217	洛迦剪裁卡牌a	1201217			
1201219	洛迦立绘b	1201219		{0,0}	1
1201220	洛迦卡牌b	1201220			
1201221	洛迦头像b	1201221			
1201220	洛迦剪裁卡牌b	1201220			
1201222	寻香立绘a	1201222		{0,0}	1
1201223	寻香卡牌a	1201223			
1201224	寻香头像a	1201224			
1201223	寻香剪裁卡牌a	1201223			
1201225	寻香立绘b	1201225		{0,0}	1
1201226	寻香卡牌b	1201226			
1201227	寻香头像b	1201227			
1201226	寻香剪裁卡牌b	1201226			
1201228	莎罗立绘a	1201228		{0,0}	1
1201229	莎罗卡牌a	1201229			
1201230	莎罗头像a	1201230			
1201229	莎罗剪裁卡牌a	1201229			
1201231	莎罗立绘b	1201231		{0,0}	1
1201232	莎罗卡牌b	1201232			
1201233	莎罗头像b	1201233			
1201232	莎罗剪裁卡牌b	1201232			
1201174	蕾西亚立绘a	1201174		{0,0}	1
1201175	蕾西亚卡牌a	1201175			
1201176	蕾西亚头像a	1201176			
1201175	蕾西亚剪裁卡牌a	1201175			
1201177	蕾西亚立绘b	1201177		{0,0}	1
1201178	蕾西亚卡牌b	1201178			
1201179	蕾西亚头像b	1201179			
1201178	蕾西亚剪裁卡牌b	1201178			
1201084	缇坦尼娅立绘a	1201084		{0,0}	1
1201085	缇坦尼娅卡牌a	1201085			
1201086	缇坦尼娅头像a	1201086			
1201085	缇坦尼娅剪裁卡牌a	1201085			
1201087	缇坦尼娅立绘b	1201087		{0,0}	1
1201088	缇坦尼娅卡牌b	1201088			
1201089	缇坦尼娅头像b	1201089			
1201088	缇坦尼娅剪裁卡牌b	1201088			
1201114	白猎立绘a	1201114		{0,0}	1
1201115	白猎卡牌a	1201115			
1201116	白猎头像a	1201116			
1201115	白猎剪裁卡牌a	1201115			
1201117	白猎立绘b	1201117		{0,0}	1
1201118	白猎卡牌b	1201118			
1201119	白猎头像b	1201119			
1201118	白猎剪裁卡牌b	1201118			
1201120	“鸽子”立绘a	1201120		{0,0}	1
1201121	“鸽子”卡牌a	1201121			
1201122	“鸽子”头像a	1201122			
1201121	“鸽子”剪裁卡牌a	1201121			
1201123	“鸽子”立绘b	1201123		{0,0}	1
1201124	“鸽子”卡牌b	1201124			
1201125	“鸽子”头像b	1201125			
1201124	“鸽子”剪裁卡牌b	1201124			
1201126	“乐手”立绘a	1201126		{0,0}	1
1201127	“乐手”卡牌a	1201127			
1201128	“乐手”头像a	1201128			
1201127	“乐手”剪裁卡牌a	1201127			
1201129	“乐手”立绘b	1201129		{0,0}	1
1201130	“乐手”卡牌b	1201130			
1201131	“乐手”头像b	1201131			
1201130	“乐手”剪裁卡牌b	1201130			
1201132	“箭头”立绘a	1201132		{0,0}	1
1201133	“箭头”卡牌a	1201133			
1201134	“箭头”头像a	1201134			
1201133	“箭头”剪裁卡牌a	1201133			
1201135	“箭头”立绘b	1201135		{0,0}	1
1201136	“箭头”卡牌b	1201136			
1201137	“箭头”头像b	1201137			
1201136	“箭头”剪裁卡牌b	1201136			
1201150	“炉子”立绘a	1201150		{0,0}	1
