字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H芙提雅		啊……呼……		
page0.2	H主角		是没睡好吗？一直在打呵欠。		
page0.3	H芙提雅		嗯，最近有几个课题遇到了瓶颈，不过马上就要突破了。		
page0.4	H主角		科研固然重要，但身体更重要。		
page0.5	H主角		我陪你一起进行体能训练吧，身体的疲劳应该会让你的睡眠质量好一些。		
page0.6	H芙提雅		呃、这……好吧。		
page0.7	H芙提雅		不、不行了……分析员……		
page0.8	H主角		没想到，真的有人能站在这里睡着。		
page0.9	H芙提雅		我现在做梦都梦到和你加练，睡得更不好了。		
page0.10	H主角		这样吧，我去医疗部一趟。		
page0.11	H主角		结合你的睡眠报告，给你定制一套睡眠计划。		
page0.12	H芙提雅		别、别去！我精神差其实……是因为我最近又小熬了几个通宵。		
page0.13	H芙提雅		反正只要有能量饮品，芙提雅老师就可以有无限能量！		
page0.14			三天后		
page0.15	H芙提雅		是谁给芙提雅老师的能量饮品柜加了锁？！		
