字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H主角		小琴诺，你是不是很久没休假了？		
page0.2	H琴诺		啊不……没……也不是很久。		
page0.3	H主角		（虽然有莫尔索替她战斗，但身体的劳累还是会累积……）		
page0.4	H主角		走，我请你吃顿好的，再帮你申请几天假期。		
page0.5	H琴诺		啊，真的可以吗！		
page0.6	H主角		当然，身为你的分析员，这些还是做得到的。		
page0.7			两小时后		
page0.8	H琴诺		呼……谢、谢谢……		
page0.9	H琴诺		分、分析员请我吃了我最喜欢的东西！		
page0.10	H主角		不用谢，难得小琴诺答应和我一起外出吃饭。		
page0.11	H主角		不过，没想到小琴诺对食物的品味这么高，能选到这么优秀的餐厅。		
page0.12	H主角		（然而料理的水平却那么……）		
page0.13	H琴诺		嘿嘿……不过，琴诺还是想亲手给分析员做一顿饭。		
page0.14	H琴诺		恩雅姐说，亲手做的更能体现心意。		
page0.15	H主角		还是不用麻烦了，小琴诺的心意我领到了！		
