经验阈值	货架的刷新次数	游戏的初始金币	游戏初始随机的奇物数量,不填就是1	奖励列表	是否为重要节点	树屋界面的图片	玩法界面的树屋图片
EX	ShelfFlushCount	BaseMoney	BaseRandomMagicItemCount	Rewards	IsImportant	TreeImg	TreeImgForPlay
0	1	300	0			1602720	
10000	1	300	1	{{5,5,1,3,2},{5,2,1,3,2},{4,3,1,1,5000}}		1602720	
20000	2	300	1	{{4,1,6,5,50},{5,2,1,3,2},{4,3,1,1,5000}}		1602720	
30000	2	400	1	{{2,3,31,1,1},{5,2,1,3,2},{4,3,1,1,5000}}	1	1602721	
40000	2	500	1	{{4,3,2,1,50},{5,2,1,3,2},{4,3,1,1,5000}}		1602722	
50000	3	500	1	{{5,5,1,4,1},{5,2,1,3,2},{4,3,1,1,5000}}		1602722	
60000	3	500	2	{{2,3,31,1,1},{5,2,1,3,2},{4,3,1,1,5000}}	1	1602723	
70000	3	600	2	{{5,6,1,2,1},{5,3,1,3,2},{4,3,1,1,5000}}		1602723	
80000	3	700	2	{{3,1,48,2,1},{5,3,1,3,2},{4,3,1,1,5000}}	1	1602724	
90000	4	700	2	{{4,1,6,5,50},{5,3,1,3,2},{4,3,1,1,5000}}		1602724	
100000	4	800	2	{{3,2,48,2,1},{5,3,1,3,2},{4,3,1,1,5000}}	1	1602725	
110000	4	900	2	{{4,3,2,1,50},{5,3,1,3,2},{4,3,1,1,5000}}		1602725	
120000	6	1000	2	{{3,3,48,2,1},{5,3,1,3,2},{4,3,1,1,5000}}	1	1602726	
130000	6	1000	2	{{5,32,1,1,1},{5,1,1,3,2},{4,3,1,1,5000}}	1	1602726	
140000	6	1000	2	{{5,32,1,1,1},{5,1,1,3,2},{4,3,1,1,5000}}	1	1602727	
150000	6	1000	2	{{5,32,1,1,1},{5,1,1,3,2},{4,3,1,1,5000}}	1	1602727	
160000	6	1000	2	{{5,32,1,1,1},{5,1,1,3,2},{4,3,1,1,5000}}	1	1602727	
170000	6	1000	2	{{11,1,39,1,1},{5,1,1,3,2},{4,3,1,1,5000}}	1	1602727	
180000	6	1000	2	{{5,9,1,3,1},{5,1,1,3,2},{4,3,1,1,5000}}	1	1602727	
