组合模式	组合Action	关联的action
key_mode	action	relation_action
0	Skill3	{'SupportSkillL','SupportSkillR'}
0	SupportSuperSkillL	{'SupportSkillL','Dodge'}
0	SupportSuperSkillR	{'SupportSkillR','Dodge'}
1	Skill3	{'SupportSkillL','SupportSkillR'}
1	SupportSuperSkillL	{'SupportSkillL','Dodge'}
1	SupportSuperSkillR	{'SupportSkillR','Dodge'}
2	Skill3	{'SupportSkillL','SupportSkillR'}
2	SupportSuperSkillL	{'SupportSkillL','Dodge'}
2	SupportSuperSkillR	{'SupportSkillR','Dodge'}
3	Skill3	{'SpecialKey1','SpecialKey2'}
3	BackSkill1	{'SpecialKey1','Switch_F'}
3	BackSkill2	{'SpecialKey1','Switch_B'}
3	BackSkill3	{'SpecialKey1','Switch_C'}
3	BackSuperSkill1	{'SpecialKey2','Switch_F'}
3	BackSuperSkill2	{'SpecialKey2','Switch_B'}
3	BackSuperSkill3	{'SpecialKey2','Switch_C'}
