大类（1-战斗 2-画面 3-声音3 4-其他）	条目类型（1类当前用至58	细分小标题(1-基础设置内枪械设置 2-PC端游戏性设置【*】  3-操作设置内常规操作设定  4-操作设置内特殊操作设定  5-全局灵敏度  6-转向模式  7-镜头灵敏度 8-开火灵敏度 9-陀螺仪灵敏度 10-陀螺仪开火灵敏度  11-PC鼠标设置 12pc灵敏度设置  13-移动端基础设置【*】  20-画面设置   ）	双端显示：不填-双端都有 1-仅PC 2-仅移动端	备注	标题文本（对应language/setting中的字段）	选项key	选项key的PC差异化	默认选项（默认为PC，如果双端显示仅移动端时，此时才会是移动端默认值）	手机端默认值。不填与PC同步（仅双端同时存在时，做出PC与移动端差异使用）	组件类型(0toggle  1下拉框  2进度条 3 按钮 4 异形屏特殊控件)	组件类型的PC差异化(0toggle  1下拉框  2进度条)	最小值(默认0)	最大值(默认值100)	是否可以复选	可见（填1不可见）	继承关联（选项|关联项），配置后，选择当前选项时，会屏蔽关联项	禁用时提示	参照项	预设标准	跳转url	海外url	外部跳转	仅海外可见	自定义回调	不填是通用1表示pc端,2表示移动端	详细说明	海外详细说明	DLC3.2新用户默认配置
sid	type	category	platform	comment	name	items	pcitems	default	default_mobile	class_type	pcclass_type	min	max	multi	hidden	connect	bantip	reference	standard	url	overseaurl	external	oversea	customChange	adapter	detail	overseaDetail	data_dlc32
1	64	1	2	宝宝巴士模式	BBBS_mode	BBBStype1,BBBStype2		0								0|9,0|21,0|33,0|63,0|101												
1	9	1	2	辅助瞄准	aim_assist_strength			1																				
1	21	1	2	自动射击	shoot_auto			1								0|33,0|63,0|101												
1	63	1	2	掩体内是否允许自动开火	shoot_auto_bunker			0																				
1	33	1	2	自动射击枪械类型	shoot_auto_guntype	guntype1,guntype2,guntype3,guntype4,guntype5,guntype6,guntype7,guntype8,guntype9,guntype10		0101100111		1				1														
1	101	1	2	支持可破坏物自动开火	shoot_auto_explosive			0																				
1	72	1	2	全自动开火模式	Auto_Fire			1								1|23,1|24,1|25												
1	23	1	2	狙击枪击发方式	sniper_fire	press_fire,release_fire		0																				
1	24	1	2	霰弹枪击发方式	shot_gun_fire	press_fire,release_fire		0																				
1	25	1	2	手枪击发方式	pisto_fire	press_fire,release_fire		0																				
1	27	1	2	显示左手开火	left_hand_fire	normal_show,aim_show,bunker_show		110		1				1														
1	26	1	2	混合射击按钮	mix_aim	null,after_aim,meantime_aim,mix		3		1							ui.mix_aim											
																												
1	34	13	2	奔跑方式	run_type	run_type1,run_type2,run_type3		2		1																		
1	96	13	2	自动进入疾跑（移动）	autorush_model			1									ui.AutoRush_ModelTips											
1	22	2,13		智能施法	smart_casting			1								0|12,1|20												
1	20	2,13		技能范围提示方式	skill_tip	click,press		0																				
1	12	2,13		技能锁定提示	skill_frame			0																				
1	65	2,13		联机是否显示队友特效	mutiskillshield	mutiskillshield_effectopen,mutiskillshield_effectclosed		1																				
1	67	2,13		联机隐藏队友生命值	hpbarshield			0																				
1	71	2		全自动开火模式	Auto_Fire			1																				
1	17	2,13		显示伤害文本（原显示伤害数字	damage_txt_show	damage_txt_show1,damage_txt_show2,damage_txt_show3,damage_txt_show4		1		1				1	1													
1	90	2,13		显示伤害文本（原显示伤害数字	damage_txt_show			1								0|91,0|92,0|93,0|94												
1	91	2,13			damage_txt_show1			1																				
1	92	2,13			damage_txt_show2			1																				
1	93	2,13			damage_txt_show3			1																				
1	94	2,13			damage_txt_show4			1																				
1	66	2,13		爆发演出方式	ultimate_perform	everytime,fightone,onlynew,noperform		1		1							ui.TxtSkillshowTips											
1	35	2,13		显示跳弹提示	deflection			0							1													
1	32	2,13		显示炸药桶预警	boomwarn			1																				
1	59	2,13		快捷爆发后离场	Quick_Burst	Quick_Burst_Set1,Quick_Burst_Set2		1							1									1				
1	31	2	1	疾跑方式	rush_model	rush_press,rush_switch		1																				
1	97	2	1	自动进入疾跑（PC）	autorush_model			0									ui.AutoRush_ModelTips											
																												
																												
																												
																												
																												
																												
																												
1	19	3	2	固定摇杆	joystic_fixed			1																				
																												
1	29	4,2		瞄准方式（移动）	aim_model	click_switch_aim,long_press_aim,mix_effect	click_switch_aim,long_press_aim	1	0	1	0																	
																												
1	61	2,13		自动进入掩体	auto_enterBlintage			0	0						1													
1	62	2,13		自动翻越掩体	auto_climbBlintage			0							1													
																												
																												
1	36	4	2	瞄准射击转动视角	shoot_view1			1																				
1	37	4	2	普通射击转动视角	shoot_view2			1																				
1	38	4	2	混合射击转动视角	shoot_view3			1																				
1	14	4	2	陀螺仪模式	gyroscope_aim	close,only_aim_open,always_open		0		1																		
1	15	4	2	陀螺仪反转	gyroscope_invert	close,invertX,invertY,invertXY		0		1																		
																												
																												
1	39	5	2	灵敏度设置	sensitivity			2																				{{"default",3}}
																												
1	30	6	2	转向加速度	turning_accelerate			1								0|7												
1	7	6	2	转向加速度值	acc			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	56	6	2	纵向滑动比值	verticalslide			50		2		1	120				ui.verticalslide	39	30,50,80									{{"standard",{30,50,75}}}
																												
1	40	7	2	镜头灵敏度-不开镜	sensitivity1			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	41	7	2	镜头灵敏度-开镜	sensitivity2			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	42	7	2	镜头灵敏度-狙击枪开镜	sensitivity3			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
																												
1	43	8	2	开火灵敏度-不开镜	sensitivity1			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	44	8	2	开火灵敏度-开镜	sensitivity2			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	45	8	2	开火灵敏度-狙击枪开镜	sensitivity3			50		2		1	120		1			39	30,50,80									{{"standard",{30,50,75}}}
																												
1	46	9	2	陀螺仪灵敏度-不开镜	sensitivity1			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	47	9	2	陀螺仪灵敏度-开镜	sensitivity2			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	48	9	2	陀螺仪灵敏度-狙击枪开镜	sensitivity3			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
																												
1	49	10	2	陀螺仪开火灵敏度-不开镜	sensitivity1			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	50	10	2	陀螺仪开火灵敏度-开镜	sensitivity2			50		2		1	120					39	30,50,80									{{"standard",{30,50,75}}}
1	51	10	2	陀螺仪开火灵敏度-狙击枪开镜	sensitivity3			50		2		1	120		1			39	30,50,80									{{"standard",{30,50,75}}}
																												
																												
1	18	11	1	鼠标反转	pc_mouse_invert	close,invertX,invertY,invertXY		0		1																		
1	52	11	1	原始数据输入	datainput			1							1													
																												
1	53	12	1	PC鼠标灵敏度-不开镜	sensitivity1			50		2		1																
1	54	12	1	PC鼠标灵敏度-开镜	sensitivity2			50		2		1																
1	55	12	1	PC鼠标灵敏度-狙击枪开镜	sensitivity3			50		2		1																
1	57		2	操作模式	actionmode			1							1	3|19												{{"default",3}}
																												
																												
1	1		2	摇杆类型				1							1													
1	2	2		转向灵敏度	slide			50		2		1			1													
1	3			瞄准开火	aim_fire			35							1													
1	4	2		瞄准灵敏度	aim			25		2		1			1													
1	5			开火	fire			35							1													
1	6			技能	skill			35							1													
1	8	2		狙击开镜灵敏度	awm_aim_slide			25		2					1													
1	10	2	2	准心吸附	crosshair_adsorb			1							1													
1	11	2	2	开火按钮转向	fire_swerve			1							1													
1	13	2	1	鼠标灵敏度	pc_slide			50		2		1			1													
1	16	2	2	陀螺仪灵敏度	gyroscope_scale			50		2					1													
1	28	2	2	瞄准按钮转向	aim_swerve			1		2					1													
																												
																												
																												
3	5	30		品质	sounds_game_quality	low,high,extra_high		2	1	1							ui.TxtOperationSet.Sound1											
3	6	30		总音量	sounds_game_volume			100		2																		
3	2	30		音乐	music_game			{100,0}		2																		
3	3	30		音效	sounds_game			{100,0}		2																		
3	1	30		语音	sound_role			{100,0}		2																		
3	7	30		低音量效果	sounds_game_effects			1									ui.TxtOperationSet.Sound2											
3	4	30		语音语言选择	language_select			0							1													
																												
4	1	50		font_size	font_size			0							1													
4	3	50	2	UI安全区缩放	ui_safe_scale			{-1,180}		4																		
4	4	50		公告免打扰	notice_disturb	notice_login,notice_new		1							1													
4	2	50		战斗中是否显示跑马灯	fight_broadcast			1																				
4	17	50		屏蔽好友申请	block_friend_request			0																				
4	5	50		客户服务	customer_service	contact				3																		
4	6	50		兑换码	exchange_code	exchange_go				3																		
																												
4	7	51		游戏使用协议	protocolBtn5	protocolCtrl				3										setting.useUrl.domestic	setting.useUrl	1						
4	8	51		隐私政策	protocolBtn7	protocolCtrl				3										setting.protocolURL.domestic	setting.protocolURL	1						
4	9	51		SDK列表	protocolBtn6	protocolCtrl				3										https://www.project-snow.com/show-6974-50-1.html		1	2					
4	102	51		資金決済法	protocolBtn9	protocolCtrl				3											https://snowbreak.amazingseasun.com/show-679-10-1.html	1	1					
4	103	51		特定商取引法	protocolBtn10	protocolCtrl				3											https://snowbreak.amazingseasun.com/show-679-11-1.html	1	1					
4	11	52		官方账号	Account1	relevancy,1003045,mail				5													1					
4	12	52		推特账号	Account2	relevancy,1003046,twitter				5													1					
