ID	操作模式	模板编号	比例(1=16：9, 2=4:3)	模板数据	DLC3.2新用户默认配置
id	action	templateID	ratio	data	data_dlc32
1	1	1	1	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]	[[-15,-140,0.85,1.0,1,0,1,1,1],[155,200,0.75,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-165,-30,1.0,1.0,1,0,1,1,1],[65,-120,1.25,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-150,10,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[385,-20,1.2,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-220,-110,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-270,140,1.45,1.0,1,1,1,1,1],[0,50,1.45,1.0,1,1,1,1,1],[-10,-100,1.5,1.0,1,1,1,1,1],[115,35,1.2,1.0,0,1,1,1,1],[115,-15,1.0,1.0,0,1,0,0,1],[0,0,1.0,1.0,0,1,0,0,0],[-75,-30,1.0,1.0,1,1,1,1,1]]
2	1	1	2	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]	[[-15,-140,0.85,1.0,1,0,1,1,1],[155,200,0.75,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-165,-30,1.0,1.0,1,0,1,1,1],[65,-120,1.25,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-150,10,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[385,-20,1.2,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-220,-110,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-270,140,1.45,1.0,1,1,1,1,1],[0,50,1.45,1.0,1,1,1,1,1],[-10,-100,1.5,1.0,1,1,1,1,1],[115,35,1.2,1.0,0,1,1,1,1],[115,-15,1.0,1.0,0,1,0,0,1],[0,0,1.0,1.0,0,1,0,0,0],[-75,-30,1.0,1.0,1,1,1,1,1]]
3	1	2	1	[[-60,-140,1.3,1,1,1,1,1,1],[-150,0,1.1,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[2,55,1,1,1,0,1,1,1],[0,0,1,1,0,1,1,1,1],[0,-115,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-600,80,1.3,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-290,-384,1.15,1,1,1,1,1,1],[-660,-384,1.15,1,1,1,1,1,1],[-10,-45,1.3,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[30,-45,1.1,1,1,1,1,1,1]]	[[-60,-140,1.3,1,1,1,1,1,1],[-150,0,1.1,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[2,55,1,1,1,0,1,1,1],[0,0,1,1,0,1,1,1,1],[0,-115,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-600,80,1.3,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-290,-384,1.15,1,1,1,1,1,1],[-660,-384,1.15,1,1,1,1,1,1],[-10,-45,1.3,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[30,-45,1.1,1,1,1,1,1,1]]
4	1	2	2	[[-60,-140,1.3,1,1,1,1,1,1],[-150,0,1.1,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[2,55,1,1,1,0,1,1,1],[0,0,1,1,0,1,1,1,1],[0,-115,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-600,80,1.3,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-290,-384,1.15,1,1,1,1,1,1],[-660,-384,1.15,1,1,1,1,1,1],[-10,-45,1.3,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[30,-45,1.1,1,1,1,1,1,1]]	[[-60,-140,1.3,1,1,1,1,1,1],[-150,0,1.1,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[2,55,1,1,1,0,1,1,1],[0,0,1,1,0,1,1,1,1],[0,-115,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-600,80,1.3,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-290,-384,1.15,1,1,1,1,1,1],[-660,-384,1.15,1,1,1,1,1,1],[-10,-45,1.3,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[30,-45,1.1,1,1,1,1,1,1]]
5	1	3	1	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]
6	1	3	2	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]
7	2	1	1	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]	[[-15,-140,0.85,1.0,1,0,1,1,1],[155,200,0.75,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-165,-30,1.0,1.0,1,0,1,1,1],[65,-120,1.25,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-150,10,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[385,-20,1.2,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-220,-110,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-270,140,1.45,1.0,1,1,1,1,1],[0,50,1.45,1.0,1,1,1,1,1],[-10,-100,1.5,1.0,1,1,1,1,1],[115,35,1.2,1.0,0,1,1,1,1],[115,-15,1.0,1.0,0,1,0,0,1],[0,0,1.0,1.0,0,1,0,0,0],[-75,-30,1.0,1.0,1,1,1,1,1]]
8	2	1	2	[[-40,10,1,1,1,1,1,1,1],[-40,28,0.95,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[-165,-145,1.2,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,10,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,1,1,1,1,1],[0,0,1,1,1,1,1,1,1],[65,-50,1.5,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[-15,-35,1,1,1,1,1,1,1]]	[[-15,-140,0.85,1.0,1,0,1,1,1],[155,200,0.75,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-165,-30,1.0,1.0,1,0,1,1,1],[65,-120,1.25,1.0,1,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-150,10,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[385,-20,1.2,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-220,-110,1.0,1.0,0,1,1,1,1],[0,0,1.0,1.0,0,1,1,1,1],[-270,140,1.45,1.0,1,1,1,1,1],[0,50,1.45,1.0,1,1,1,1,1],[-10,-100,1.5,1.0,1,1,1,1,1],[115,35,1.2,1.0,0,1,1,1,1],[115,-15,1.0,1.0,0,1,0,0,1],[0,0,1.0,1.0,0,1,0,0,0],[-75,-30,1.0,1.0,1,1,1,1,1]]
9	2	2	1	[[-60,-140,1.3,1,1,1,1,1,1],[-150,0,1.1,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[2,55,1,1,1,0,1,1,1],[0,0,1,1,0,1,1,1,1],[0,-115,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-600,80,1.3,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-290,-384,1.15,1,1,1,1,1,1],[-660,-384,1.15,1,1,1,1,1,1],[-10,-45,1.3,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[30,-45,1.1,1,1,1,1,1,1]]	[[-60,-140,1.3,1,1,1,1,1,1],[-150,0,1.1,1,1,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-150,-23,1,1,1,1,1,1,1],[2,55,1,1,1,0,1,1,1],[0,0,1,1,0,1,1,1,1],[0,-115,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[373,-27,1.2,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-600,80,1.3,1,0,1,1,1,1],[0,0,1,1,0,1,1,1,1],[-290,-384,1.15,1,1,1,1,1,1],[-660,-384,1.15,1,1,1,1,1,1],[-10,-45,1.3,1,1,1,1,1,1],[115,35,1.2,1,0,1,1,1,1],[115,-135,1,1,0,1,0,0,1],[0,0,1,1,0,1,0,0,0],[30,-45,1.1,1,1,1,1,1,1]]
