角色Id	声音id	备注	语音（2条用逗号隔开，分号后面配置权重，满值1000）	文本（2条用逗号隔开）
Id	AudioID	Des	Voice	LangKey
1	1001	分析员入场	Play_Vo_rich_player_01	season_talk.TxtRichManFXY9
1	1002	分析员破产	Play_Vo_rich_player_01	season_talk.TxtRichManFXY10
1	1003	分析员好事件	Play_Vo_rich_player_01	season_talk.TxtRichManFXY7
1	1004	分析员坏事件	Play_Vo_rich_player_01	season_talk.TxtRichManFXY8
1	1005	分析员攻击他人	Play_Vo_rich_player_01	season_talk.TxtRichManFXY5
1	1006	分析员收到攻击	Play_Vo_rich_player_01	season_talk.TxtRichManFXY6
1	1007	分析员使用道具	Play_Vo_rich_player_01	season_talk.TxtRichManFXY18
1	1008	分析员金钱增加2条	Play_Vo_rich_player_01,Play_Vo_rich_player_01	season_talk.TxtRichManFXY1,season_talk.TxtRichManFXY2
1	1009	分析员金币减少2条	Play_Vo_rich_player_01,Play_Vo_rich_player_01	season_talk.TxtRichManFXY3,season_talk.TxtRichManFXY4
1	1010	分析员一起加油2条	Play_Vo_rich_player_01,Play_Vo_rich_player_01	season_talk.TxtRichManFXY11,season_talk.TxtRichManFXY12
1	1011	分析员boss战退场	Play_Vo_rich_player_01	season_talk.TxtRichManFXY13
1	1012	分析员投票反馈-少	Play_Vo_rich_player_01,Play_Vo_rich_player_01	season_talk.TxtRichManFXY14,season_talk.TxtRichManFXY15
1	1013	分析员投票反馈-多	Play_Vo_rich_player_01,Play_Vo_rich_player_01	season_talk.TxtRichManFXY16,season_talk.TxtRichManFXY17
				
2	1001	猫兮尔入场	Play_Vo_rich_girl012_09	season_talk.TxtRichManMXR9
2	1002	猫兮尔破产	Play_Vo_rich_girl012_10	season_talk.TxtRichManMXR10
2	1003	猫兮尔好事件	Play_Vo_rich_girl012_07	season_talk.TxtRichManMXR7
2	1004	猫兮尔坏事件	Play_Vo_rich_girl012_08	season_talk.TxtRichManMXR8
2	1005	猫兮尔攻击他人	Play_Vo_rich_girl012_05	season_talk.TxtRichManMXR5
2	1006	猫兮尔收到攻击	Play_Vo_rich_girl012_06	season_talk.TxtRichManMXR6
2	1007	猫兮尔使用道具	Play_Vo_rich_girl012_14	season_talk.TxtRichManMXR18
2	1008	猫兮尔金钱增加2条	Play_Vo_rich_girl012_01,Play_Vo_rich_girl012_02	season_talk.TxtRichManMXR1,season_talk.TxtRichManMXR2
2	1009	猫兮尔金币减少2条	Play_Vo_rich_girl012_03,Play_Vo_rich_girl012_04	season_talk.TxtRichManMXR3,season_talk.TxtRichManMXR4
2	1010	猫兮尔一起加油2条	Play_Vo_rich_girl012_11,Play_Vo_rich_girl012_12	season_talk.TxtRichManMXR11,season_talk.TxtRichManMXR12
2	1011	猫兮尔boss战退场	Play_Vo_rich_girl012_13	season_talk.TxtRichManMXR13
