ID	多语言	//备注
Id	Lang	Des
1	rmol.StarCondition01	获得胜利
2	rmol.StarCondition02	以“破产”的方式，获得胜利
3	rmol.StarCondition03	以“分数达成”的方式，获得胜利
4	rmol.StarCondition04	以“单边垄断”的方式，获得胜利
5	rmol.StarCondition05	以“三色垄断”的方式，获得胜利
6	rmol.StarCondition06	获胜时，资金大于{1}
7	rmol.StarCondition07	获胜时，持有{1}个地标
8	rmol.StarCondition08	至少使用过{1}张随机卡牌
9	rmol.StarCondition09	至少投掷出{1}次成双
10	rmol.StarCondition10	购置建筑{1}次
11	rmol.StarCondition11	升级地标{1}次
12	rmol.StarCondition12	摧毁敌方建筑{1}次
13	rmol.StarCondition13	达成单色垄断{1}次
14	rmol.StarCondition14	旅行{1}次
15	rmol.StarCondition15	使用主动技能{1}次
16	rmol.StarCondition16	触发被动技能{1}次
17	rmol.StarCondition17	防御对手技能{1}次
18	rmol.StarCondition18	使对手进入无人岛{1}次
