格子Id	名字	提示	格子背景	文字颜色	名字	描述	图标Id	类型(1地形,2物件)	层级，最大支持3	显示在第几页，默认1	类名	高度偏移	缩放	格子大小	地块类型(walkable/block)	直接购买价格	升级价格	收取过路费	特效id(填特效表中的id)	默认旋转	是否可以交互	标签(start:起点)，可以有多个	参数	状态0	状态1	模型路径	正常材质	灰模材质
Id	Name	GroundHint	Background	TxtColor	LangName	Desc	Icon	Type	Layer	PageIndex	ClassName	Offset	Scale	Size	LandType	Price	PriceLv	PriceToll	ParticleId	Rotate	Interaction	Tags	TagParam	State0	State1	ModelPath	NormalMat	GreyMat
1	资源丢失		{0,0,0}	{255,255,255}																								
																												
2000	透明地面		{45,45,45,255}	{200,200,200}				1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_empty.RMOL_empty_C		
2001	地产格子1		{45,45,45,255}	{200,200,200}	rmol.BuildName01			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_1.RMOL_ground_1_C		
2002	地产格子2		{45,45,45,255}	{200,200,200}	rmol.BuildName02			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_2.RMOL_ground_2_C		
2003	地产格子3		{45,45,45,255}	{200,200,200}	rmol.BuildName03			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_3.RMOL_ground_3_C		
2004	地产格子4		{45,45,45,255}	{200,200,200}	rmol.BuildName04			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_4.RMOL_ground_4_C		
2005	地产格子5		{45,45,45,255}	{200,200,200}	rmol.BuildName05			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_5.RMOL_ground_5_C		
2006	地产格子6		{45,45,45,255}	{200,200,200}	rmol.BuildName06			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_6.RMOL_ground_6_C		
2007	地产格子7		{45,45,45,255}	{200,200,200}	rmol.BuildName07			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_7.RMOL_ground_7_C		
2008	地产格子8		{45,45,45,255}	{200,200,200}	rmol.BuildName08			1					{1,1,1}	{1,1}	walkable											/Game/Mod/RMOL/Blueprints/Items/RMOL_ground_8.RMOL_ground_8_C		
																												
2010	随机卡牌		{45,45,45,255}	{200,200,0}				1					{1,1,1}	{1,1}	walkable							randcard				/Game/Mod/RMOL/Blueprints/Items/RMOL_event.RMOL_event_C		
																												
