Id	角色Id	技能列表
Id	GirlId	Skills
1	6	{217,216,218,228}
2	7	{210,215,227,221}
3	8	{209,212,220,222}
4	9	{213,224,228,214}
5	2	{226,211,229,203}
6	3	{204,220,213,214}
7	6	{203,226,229,202}
8	5	{213,221,220,224}
9	8	{203,227,228,230}
10	1	{216,218,217,224}
11	2	{224,204,226,201}
12	3	{224,226,201,218}
13	4	{203,224,226,229}
14	4	{201,203,224,226}
15	4	{201,203,226,229}
16	5	{216,218,224,226}
17	5	{201,203,224,226}
18	6	{217,221,227,230}
19	7	{208,210,219,222}
20	7	{209,210,219,220}
21	8	{203,205,210,212}
22	9	{210,224,226,228}
