字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	密室AI		请输入信息安全密码。	0	dlc30蓝图岛对话
page1.2			略加思索，我输入了安卡希雅最常使用的密码。	0	dlc30蓝图岛对话
page1.3			“呼，累了，想摸鱼。录一段胡思乱想的片段来纪念这个为分析员开发的游戏好了。”	0	dlc30蓝图岛对话
page1.4			“有人说游戏里的你，再强大也是假的。”	0	dlc30蓝图岛对话
page1.5			“有人说游戏里的完美结局，再温柔也是假的。”	0	dlc30蓝图岛对话
page1.6			电梯将我运送至一个黢黑的房间，一台终端安置在桌前，上面只留下一个播放按钮。	0	dlc30蓝图岛对话
page1.7	T安卡希雅		“当手柄放下，银幕被关闭……游戏里的‘我’是否仍在某个世界继续存在？”	0	dlc30蓝图岛对话
page1.8	T安卡希雅		“在我还是那个游戏的玩家的时候，这个问题也让我思考了很久……”	0	dlc30蓝图岛对话
page1.9	T安卡希雅		“仰仗着设定的加持，游戏里的我大放光彩，无所不能。”	0	dlc30蓝图岛对话
page1.10	T安卡希雅		“然而，真正的我其实又是个懒惰而且一事无成的女孩子。”	0	dlc30蓝图岛对话
page1.11	T安卡希雅		“这样的落差很大啦，而且很容易让人自暴自弃。特别是在旁人煽风点火的时候，仿佛旁人所说的懒惰啊什么的才是真实的。”	0	dlc30蓝图岛对话
page1.12	T安卡希雅		“可是，一旦体会过无所不能的感觉，我就再也不想接受那个懒惰的自己了。我还能做到更多，也还想做到更多。”	0	dlc30蓝图岛对话
page1.13	T安卡希雅		“要是能找在意的人见证就更好了。”	0	dlc30蓝图岛对话
page1.14	T安卡希雅		“唔，就好像，眼下的我，想的就只是……让分析员在蓝图岛开心就好。”	0	dlc30蓝图岛对话
page1.15	T安卡希雅		“真是头疼呀……真的要和分析员一起实现这些愿景的话，想必还很漫长呢。”	0	dlc30蓝图岛对话
page1.16	T安卡希雅		“要不要设计一个让分析员永远无法通关的事件呢……嗯，第五个都市传说，来自安卡希雅的大手~”	0	dlc30蓝图岛对话
page1.17	T安卡希雅		“抽卡系统可以简略但不能没有，做个聚宝盆给分析员准备金手指吧……”	0	dlc30蓝图岛对话
page1.18	T安卡希雅		“音乐也是必不可少的，但是要把全部风格加到一个实体身上，代码也太难写了吧……”	0	dlc30蓝图岛对话
page1.19	T安卡希雅		“既不想分析员通关太快，又希望分析员能享受游戏，怎么规划内容好呢，好纠结啊……”	0	dlc30蓝图岛对话
page1.20			我拿着光盘去找安卡希雅，但是怎么都找不到。	0	dlc30蓝图岛对话
page1.21			在岛上兜兜转转，终于在海边找到了抱着腿有些自闭的她。	0	dlc30蓝图岛对话
page1.22	H主角		喂——喂——安卡希雅，听得到吗。	0	dlc30蓝图岛对话
page1.23	T安卡希雅		听不到。叮咚，暗示，对话权限已锁定，需要口令密钥……	0	dlc30蓝图岛对话
choice01			我给安卡希雅买一星期冰棍。	0	dlc30蓝图岛对话
choice02			你是最棒的美少女制作人！	0	dlc30蓝图岛对话
page2.1	T安卡希雅		解锁成功。	0	dlc30蓝图岛对话
page2.2	T安卡希雅		当着分析员的面一起听自己的心声什么的，现在的我还办不到，我只能告诉你这些，嗯。	0	dlc30蓝图岛对话
page2.3	H主角		明明安卡希雅也不想让我错过我“不小心”发现的彩蛋？	0	dlc30蓝图岛对话
page2.4	T安卡希雅		呜……咔邦！听不懂，听不懂听不懂听不懂。叮咚，暗示，需要口令密钥……	0	dlc30蓝图岛对话
choice03			姑且再回去和我一起听一遍自己的心声吧~	0	dlc30蓝图岛对话
page3.1	T安卡希雅		哔，哔~安卡希雅被你激怒了，即将进入战斗模式。	0	dlc30蓝图岛对话
page3.2	H主角		好啦好啦，给你提供分析员按摩服务一星期怎么样？	0	dlc30蓝图岛对话
page3.3	T安卡希雅		嗯，对话权限解锁成功。	0	dlc30蓝图岛对话
page3.4	H主角		再给我多讲些关于蓝图岛的设计思路吧，那个海妖，你绝对偷懒了吧？	0	dlc30蓝图岛对话
page3.5	T安卡希雅		没有哦。本来是想让分析员钓完海里所有的鱼再解锁的，不过那样设计者的恶意就太强了。	0	dlc30蓝图岛对话
page3.6	T安卡希雅		……不对，不能这么快告诉分析员。叮咚，暗示，解锁需要更高权限……	0	dlc30蓝图岛对话
page3.7			……	0	dlc30蓝图岛对话
page3.8	T安卡希雅		叮咚，明示，开发日志全量解锁啦……	0	dlc30蓝图岛对话
page3.9	T安卡希雅		恭喜分析员通关了蓝图岛~	0	dlc30蓝图岛对话
