字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T尖尖耳		分——析——员，请问您——有——什么——吩——咐——	0	dlc30蓝图岛对话
page1.2	H主角		它怎么了？	0	dlc30蓝图岛对话
page1.3	H主角		内存泄漏导致了性能下降？该不会过会儿就崩了吧？	0	dlc30蓝图岛对话
page1.4	T安卡希雅		我看看……	0	dlc30蓝图岛对话
page1.5	T安卡希雅		知道问题在哪了。	0	dlc30蓝图岛对话
page1.6	T安卡希雅		为了让蓝图岛的体验更加真实，当初给尖尖耳设计行为逻辑的时候，制作了符合环境规则的状态机。	0	dlc30蓝图岛对话
page1.7	T安卡希雅		来帮忙开发的芙提雅好像是这么说的。可恶，都怪测试时间太赶了，竟然还有这种漏洞。	0	dlc30蓝图岛对话
page1.8	H主角		总而言之？	0	dlc30蓝图岛对话
page1.9	T安卡希雅		总而言之，尖尖耳大概是潮湿的海风吹太久了，它毕竟是个机器人助手。	0	dlc30蓝图岛对话
page1.10	H主角		于是？	0	dlc30蓝图岛对话
page1.11	T安卡希雅		于是有些零部件被海风腐蚀了，影响了性能运转。	0	dlc30蓝图岛对话
page1.12	H主角		那怎么办？ 我们后面的建造还需要它帮忙呢。	0	dlc30蓝图岛对话
page1.13	T安卡希雅		我改，我改就是了。	0	dlc30蓝图岛对话
page1.14			一段时间后——	0	dlc30蓝图岛对话
page1.15	T尖尖耳		分析员，请问您有什么吩咐，尖尖耳随时可以为您效劳！	0	dlc30蓝图岛对话
page1.16	T安卡希雅		呼，总算搞定了。	0	dlc30蓝图岛对话
page1.17	H主角		这提醒我，防海风的问题。	0	dlc30蓝图岛对话
page1.18	T安卡希雅		？！分析员？	0	dlc30蓝图岛对话
page1.19	H主角		还有防日晒的问题，安卡希雅这么白皙细嫩的皮肤可不能晒黑了。	0	dlc30蓝图岛对话
page1.20	H主角		不如，我们接下来就建一座<orange>室内游乐场</>吧？	0	dlc30蓝图岛对话
