字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T尖尖耳		夏克威弗竟然出手，帮忙解决了一处不思议事件。真是太厉害了！	0	dlc30蓝图岛对话
page1.2	T夏克威弗		我抓起自己的电吉他！三拳两脚将那只恶鬼放倒……	0	dlc30蓝图岛对话
page1.3	H主角		是很厉害，但这已经是夏克威弗第三遍复述给我们听了。	0	dlc30蓝图岛对话
page1.4	H主角		夏克威弗，我们有一事相求。	0	dlc30蓝图岛对话
page1.5	T夏克威弗		但说无妨，无悔当下才能让我们成长，没有其他事就不要将我的自由打扰。	0	dlc30蓝图岛对话
page1.6	T安卡希雅		我们打算雇佣你为我们做点事。	0	dlc30蓝图岛对话
page1.7	T夏克威弗		打架的话办不到，我的电吉他已经损耗，除了一张嘴什么都办不到。	0	dlc30蓝图岛对话
page1.8	H主角		打工可以重新买乐器。去蓝图岛和其他伙伴组个乐队吧。用你的才能给大家缓解疲劳。	0	dlc30蓝图岛对话
page1.9	T夏克威弗		不错的提议。另外如果需要创作浪漫的音乐在某些场合播放，可以找我代劳。譬如说——	0	dlc30蓝图岛对话
page1.10	T夏克威弗		你要和旁边的这位小姐举办恒约仪式……	0	dlc30蓝图岛对话
page1.11	T安卡希雅		噗——你说什么呢？！	0	dlc30蓝图岛对话
