字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	旁白		刚完成岛屿升级，安卡希雅在我的旁边拽了拽我的衣服，示意我看向她。	0	dlc30蓝图岛对话
page1.2	T安卡希雅		看那边。	0	dlc30蓝图岛对话
page1.3	T安卡希雅		这就是，最终形态的蓝图岛呢。	0	dlc30蓝图岛对话
page1.4			安卡希雅的声音还是如往常一般平静，细听之下带着一丝颤抖。说完这句话，她便一直凝视着眼前的景象，沉默不语。	0	dlc30蓝图岛对话
page1.5	H主角		安卡希雅？	0	dlc30蓝图岛对话
page1.6	T安卡希雅		分析员，我是个笨蛋。	0	dlc30蓝图岛对话
page1.7	T安卡希雅		居然现在才明白——这些拉面博物馆、次世代展览馆、复古街机大楼……不只是未来生活的蓝图……	0	dlc30蓝图岛对话
page1.8	T安卡希雅		还有我休眠期间错过的那些美好。	0	dlc30蓝图岛对话
page1.9	H主角		你本该享有这些，无论是过去，现在，还是未来。	0	dlc30蓝图岛对话
page1.10	H主角		我说过的，我喜欢看安卡希雅沉浸在自己所爱好的世界中的样子。	0	dlc30蓝图岛对话
page1.11	T安卡希雅		呐，分析员知道吗？	0	dlc30蓝图岛对话
page1.12			她突然把发热的脸颊埋进我的胸膛，声音闷闷地穿透心跳声。	0	dlc30蓝图岛对话
page1.13	T安卡希雅		收集模型很有趣，通关游戏很有成就感，可就算集齐全世界的最美味的拉面——也比不上有你陪着我做这些傻事。	0	dlc30蓝图岛对话
page1.14	T安卡希雅		我在过去就养成了这么多爱好，这些爱好为我构筑了一个只有我自己也可以很快乐的世界。	0	dlc30蓝图岛对话
page1.15	T安卡希雅		那是因为，我进入休眠前的世界没有遇见你。	0	dlc30蓝图岛对话
page1.16	H主角		我很高兴。	0	dlc30蓝图岛对话
page1.17	T安卡希雅		什么？	0	dlc30蓝图岛对话
page1.18	H主角		其实我也想说，感谢你来到我的世界。	0	dlc30蓝图岛对话
page1.19			少女泛红的脸露出了比以往更灿烂的微笑。	0	dlc30蓝图岛对话
page1.20			这才是完成蓝图岛建造的隐藏嘉奖——	0	dlc30蓝图岛对话
