字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	？？？		“见过流星划破夜，但没见过上司的脸！只要会复读的鹦鹉，不要偏执的弦……”	0	dlc30蓝图岛对话
page1.2	T尖尖耳		（摇头晃脑中）	0	dlc30蓝图岛对话
page1.3	H主角		在听什么呢，尖尖耳？	0	dlc30蓝图岛对话
page1.4	T尖尖耳		是我一个朋友的唱片，它在某个乐队里担任吉他手兼主唱。	0	dlc30蓝图岛对话
page1.5	T尖尖耳		啊，正好，我把它介绍给你们吧，它今天应该就在沙滩上。	0	dlc30蓝图岛对话
page1.6			尖尖耳将一条名为“夏克威弗”的员工简报发到我的终端上。	0	dlc30蓝图岛对话
page1.7	T尖尖耳		要是有什么事，找它也可以~下午我就摸鱼啦。	0	dlc30蓝图岛对话
page1.8	H主角		好吧，尖尖耳准备独自享受音乐时光了？	0	dlc30蓝图岛对话
page1.9	T尖尖耳		可以吗分析员？因为工作都已经完成了。	0	dlc30蓝图岛对话
page1.10	H主角		嗯，你听歌吧。我会叫上安卡希雅一起去拜访这位音乐家的。	0	dlc30蓝图岛对话
