字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		尖尖耳，搜索下提高度假岛知名度的方法。	0	dlc30蓝图岛对话
page1.2	T尖尖耳		好的，分析员！正在搜索中——	0	dlc30蓝图岛对话
page1.3	T尖尖耳		已搜索到9999条内容：品牌打造、活动引流、体验升级……	0	dlc30蓝图岛对话
page1.4	H主角		停停停，够了。	0	dlc30蓝图岛对话
page1.5	H主角		（品牌打造确实是一个很好的方向，那么就以美食为打造方向吧。）	0	dlc30蓝图岛对话
page1.6	H主角		（首先得搞个优秀的厨师过来。）	0	dlc30蓝图岛对话
page1.7	H主角		（按照安卡希雅的风格，应该会预设些奇奇怪怪的东西在这座岛上吧……）	0	dlc30蓝图岛对话
page1.8	H主角		尖尖耳，这座岛上有没有那种“传说级”的设定？	0	dlc30蓝图岛对话
page1.9	T尖尖耳		正在检测关键词“传说”——	0	dlc30蓝图岛对话
page1.10	T尖尖耳		《传说中的厨师》《蓝图岛5大不思议传说》《传说级游戏制作人》——	0	dlc30蓝图岛对话
page1.11	H主角		停。	0	dlc30蓝图岛对话
page1.12	H主角		传说中的厨师……不会是能做出发光料理的那种吧？	0	dlc30蓝图岛对话
page1.13	T尖尖耳		没错，那是一位非常传奇的厨师，听闻那位厨师遍寻蓝图岛终于找到了满意的厨具……	0	dlc30蓝图岛对话
page1.14	T尖尖耳		在山中修炼多年之后，终于成功做出了——发光料理！	0	dlc30蓝图岛对话
page1.15	T尖尖耳		分析员，坐标已传至终端！	0	dlc30蓝图岛对话
page1.16	H主角		看来可以用这个厨师来打出蓝图岛的名号了。	0	dlc30蓝图岛对话
