字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T尖尖耳		恭喜分析员，蓝图岛的第二个区域<orange>明日港</>解锁了。	0	dlc30蓝图岛对话
page1.2	T尖尖耳		尖尖耳已经在期待您二位在那里更多美好的体验。	0	dlc30蓝图岛对话
page1.3	T安卡希雅		分析员，接下来要看看我的努力成果了，我可不止准备了这一点东西。	0	dlc30蓝图岛对话
page1.4	H主角		虽然每次的玩法都有奇怪的漏洞，但我知道安卡希雅不会局限于自己的舒适圈，要给自己找些挑战。	0	dlc30蓝图岛对话
page1.5	T安卡希雅		分析员果然懂我。	0	dlc30蓝图岛对话
page1.6	T安卡希雅		蓝图岛的新区域已经开放了。	0	dlc30蓝图岛对话
page1.7	T安卡希雅		并且为了丰富整个蓝图岛的体验节奏，我在新区域里加了一些能加快建设进度的玩法。	0	dlc30蓝图岛对话
page1.8	H主角		嗯？	0	dlc30蓝图岛对话
page1.9	T安卡希雅		分析员去新区域看看就知道了。	0	dlc30蓝图岛对话
