字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T尖尖耳		分析员，尖尖耳已经在期待蓝图岛完成的样子了！	0	dlc30蓝图岛对话
page1.2	T尖尖耳		可以不可以再让尖尖耳一饱眼福，看看您的英姿~	0	dlc30蓝图岛对话
page1.3	T安卡希雅		说起来，我原本对这个区域有个独特的想法。	0	dlc30蓝图岛对话
page1.4	T安卡希雅		全宇宙不同风格的建筑都将出现在我们的小岛上，每天可以根据心情换一栋想住的房子。听起来是不是很酷？	0	dlc30蓝图岛对话
page1.5	T安卡希雅		分析员，要不要我把之前的测试存档加载出来给你看看？	0	dlc30蓝图岛对话
page1.6	H主角		别了吧，我担心游戏崩了搞丢我们的存档。	0	dlc30蓝图岛对话
page1.7	T安卡希雅		啊！	0	dlc30蓝图岛对话
page1.8	T安卡希雅		真是失职啊安卡希雅制作人，如果发生了那样的悲剧，你还有何颜面继续做制作人？	0	dlc30蓝图岛对话
page1.9	H主角		倒也没有那么严重……	0	dlc30蓝图岛对话
page1.10	H主角		其实我已经有想法了，我希望在这里建造一座<orange>复古街机大楼</>。	0	dlc30蓝图岛对话
page1.11	T安卡希雅		不是已经有一座次世代展览馆了吗？	0	dlc30蓝图岛对话
page1.12	H主角		展览和游玩是不一样的。	0	dlc30蓝图岛对话
page1.13	H主角		展览馆是存放观赏用、保存用和炫耀用物品的地方，复古街机大楼则注重体验。	0	dlc30蓝图岛对话
page1.14	T安卡希雅		居然连这个都清楚……不过为什么是“复古”街机大楼。	0	dlc30蓝图岛对话
page1.15	H主角		带一点安卡希雅的特色？	0	dlc30蓝图岛对话
page1.16	H主角		毕竟你很喜欢搓那些旧式街机，到时候这个大楼所有醒目的地方，都会布置上街机。	0	dlc30蓝图岛对话
page1.17	H主角		我也会把你沉睡时错过的那些街机搜集过来，然后我们一起补完。	0	dlc30蓝图岛对话
page1.18	T安卡希雅		分析员……咳，看来到时候要通宵和分析员争出排行榜的榜首了。	0	dlc30蓝图岛对话
