字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T尖尖耳		恭喜分析员开始新阶段的蓝图岛探索！叮咚，成就达成~	0	dlc30蓝图岛对话
page1.2	H主角		可以让美少女制作人亲自给我颁发奖牌吗？	0	dlc30蓝图岛对话
page1.3	T安卡希雅		当然可以，等游戏结束后，分析员获得的所有的荣誉，都会在我房间里完成颁发。	0	dlc30蓝图岛对话
choice01			好耶	0	dlc30蓝图岛对话
page2.1	T安卡希雅		那么，这回的重点是“蓝图岛五不思议”！请分析员竖起耳朵听好。	0	dlc30蓝图岛对话
page2.2	H主角		“蓝图岛五不思议”是什么？	0	dlc30蓝图岛对话
page2.3	T安卡希雅		咳咳……	0	dlc30蓝图岛对话
page2.4	T安卡希雅		和沙滩融为一体，恶作剧般惊吓游客的硅基生命。	0	dlc30蓝图岛对话
page2.5	T安卡希雅		歌声会让人们精神失常，故意扰民，品味低俗的水鬼音乐家。	0	dlc30蓝图岛对话
page2.6	T安卡希雅		在褪鳞期外不死不灭，几乎不可战胜的强大海妖。	0	dlc30蓝图岛对话
page2.7	T安卡希雅		只在雨夜出没，现身即让整个岛的天气都发生剧变的神明。	0	dlc30蓝图岛对话
page2.8	T安卡希雅		史前文明的造物，随着世界意志而变化的记忆之书。	0	dlc30蓝图岛对话
page2.9			安卡希雅摇头晃脑地念着。念到一半的时候，我就看到她闭上了眼睛，扬起的弧度依然彰显着少女的得意。	0	dlc30蓝图岛对话
page2.10			每个人都有自己热爱的事物，电子游戏，特别是她自己设计的电子游戏，就是安卡希雅的信仰和骄傲。	0	dlc30蓝图岛对话
page2.11			我知道她在等待着一次夸奖，于是我将手轻轻放在了安卡希雅的头上。	0	dlc30蓝图岛对话
page2.12	T安卡希雅		唔……	0	dlc30蓝图岛对话
page2.13	H主角		果然不论是玩游戏还是设计游戏，安卡希雅都是绝对的天才。	0	dlc30蓝图岛对话
page2.14			安卡希雅的嘴角扬起一丝弧度，同时略带得意地挺起了胸膛，随后伸出手和我击掌。	0	dlc30蓝图岛对话
choice02			（和安卡希雅击掌）	0	dlc30蓝图岛对话
page3.1	T安卡希雅		耶。	0	dlc30蓝图岛对话
page3.2	？？？		那是什么！哇啊啊啊啊啊！	0	dlc30蓝图岛对话
page3.3			我们击完掌的瞬间，沙滩那边忽然传来了惊呼声。	0	dlc30蓝图岛对话
page3.4	T尖尖耳		嘀嘀嘀……通讯同步中。	0	dlc30蓝图岛对话
page3.5	T安卡希雅		沙滩上出现了外星生命！赶快过去阻止它吧！	0	dlc30蓝图岛对话
