字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T安卡希雅		不钓了……饿了，分析员，陪我吃饭吧。	0	dlc30蓝图岛对话
page1.2	H主角		又是速食拉面吧？	0	dlc30蓝图岛对话
page1.3	T安卡希雅		没错。	0	dlc30蓝图岛对话
page1.4	H主角		安卡希雅还真是喜欢拉面啊。	0	dlc30蓝图岛对话
page1.5	T安卡希雅		一开始其实是因为嫌麻烦才喜欢吃速食的，现在其实有一点新的理由。	0	dlc30蓝图岛对话
page1.6	H主角		和我说说吧。	0	dlc30蓝图岛对话
page1.7	T安卡希雅		分析员还记不记得我们看过的很多二次元作品里，都有拉面相关的情节。	0	dlc30蓝图岛对话
page1.8	T安卡希雅		有趣的是，很多作品里的拉面店都是以真实店面为原型去刻画的，我还去“圣地巡礼”了。	0	dlc30蓝图岛对话
page1.9	T安卡希雅		可惜，那些店面很多现在都不在了，仅剩了零星几家店味道也和回忆中的不一样。	0	dlc30蓝图岛对话
page1.10	T安卡希雅		现在我也只能从速食拉面中寻得一丝慰藉。	0	dlc30蓝图岛对话
page1.11	H主角		也许你在意的根本就不是味道。	0	dlc30蓝图岛对话
page1.12	T安卡希雅		你说得对，也许我在意的只是那些作品里主角们吃拉面时的温暖和快乐。	0	dlc30蓝图岛对话
page1.13	T安卡希雅		当然，现在的我也拥有这些美好的东西了。	0	dlc30蓝图岛对话
page1.14	H主角		你还会拥有更多——	0	dlc30蓝图岛对话
page1.15	H主角		尖尖耳，新计划有了。	0	dlc30蓝图岛对话
page1.16	H主角		我打算建造一座<orange>拉面博物馆</>，把她喜欢的那些味道一个不差地、永久记录下来。	0	dlc30蓝图岛对话
page1.17	H主角		虽然现在能记录的种类不多，但慢慢就会完善的。	0	dlc30蓝图岛对话
page1.18	T安卡希雅		唔……最好还能有一位拉面领域的专家来帮忙……	0	dlc30蓝图岛对话
page1.19	T尖尖耳		需求收到，现在开始检索——	0	dlc30蓝图岛对话
