字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T安卡希雅		分析员，终于到了激动人心的那一刻了。	0	dlc30蓝图岛对话
page1.2	H主角		已经要到大结局的时刻了吗？	0	dlc30蓝图岛对话
page1.3	T安卡希雅		我们的流程还没有短到这么离谱！不过……算是到了古火龙初见杀的程度了吧。	0	dlc30蓝图岛对话
page1.4	H主角		好诡异的类比……	0	dlc30蓝图岛对话
page1.5	T安卡希雅		看到蓝图岛慢慢变化，我已经迫不及待想住进去和你一起度假了。	0	dlc30蓝图岛对话
page1.6	H主角		看来我之前为了你苦练的那些游戏技术，终于得到了制作人的认可呀！	0	dlc30蓝图岛对话
page1.7	T安卡希雅		既然分析员这么说了，我也得加倍努力，抓紧做出更有挑战性的玩法。	0	dlc30蓝图岛对话
page1.8	H主角		饶了我吧。	0	dlc30蓝图岛对话
page1.9	H主角		现在，我有点理解建造类游戏为什么一直受人欢迎了。	0	dlc30蓝图岛对话
page1.10	H主角		从无到有，不断点缀小岛，看着小岛一点点被填满，感觉我的时间也慢下来了。	0	dlc30蓝图岛对话
page1.11	H主角		也许，我就是在建设属于我们两个的家。	0	dlc30蓝图岛对话
page1.12			安卡希雅的脸上闪过惊讶的表情，很快便恢复正常。	0	dlc30蓝图岛对话
page1.13			但一抹微红，却停留在脸颊上很久没有褪去。	0	dlc30蓝图岛对话
page1.14	T安卡希雅		分析员，待会儿再对我说一遍刚才的话。	0	dlc30蓝图岛对话
page1.15	T安卡希雅		现在，我要开启激动人心的时刻了，恭喜分析员，我们的<orange>蓝图岛升级</>了。	0	dlc30蓝图岛对话
