字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		可惜只找到了这些零件。那个“海妖”，看来不止一个。	0	dlc30蓝图岛对话
page1.2	T安卡希雅		现在放弃还太早了，尖尖耳，启动信息追踪技术！	0	dlc30蓝图岛对话
page1.3	T尖尖耳		追踪虫洞构筑中……	0	dlc30蓝图岛对话
page1.4	H主角		竟然还会那种技能吗！	0	dlc30蓝图岛对话
page1.5	T安卡希雅		不过，讨伐“海妖”这种事，只有我们两个够吗？	0	dlc30蓝图岛对话
choice01			和你在一起就够了。	0	dlc30蓝图岛对话
page2.1	T安卡希雅		呜哇，是直球攻击，我中了直球攻击。	0	dlc30蓝图岛对话
page2.2	H主角		不可以在这种时候退缩吧！要上了！安卡希雅！	0	dlc30蓝图岛对话
page2.3	T安卡希雅		好啦好啦~随便你怎么做都可以啦~	0	dlc30蓝图岛对话
