字符串索引	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	zh_CN	disable	Remark
richmanlove_qaevent_q_01	请问管理新恒提罗的超级计算机的名称是？		
richmanlove_qaevent_q_02	请问在新恒提罗前来接待分析员一行人的莱瓦汀成员是？		
richmanlove_qaevent_q_03	请问里芙在新恒提罗去的疗养基地名称是？		
richmanlove_qaevent_q_04	请问新恒提罗最高的建筑是？		
richmanlove_qaevent_q_05	在新恒提罗，上传意识并以虚拟形象出现的人被统一称为？		
richmanlove_qaevent_q_06	请问瑟瑞斯在汉诺塔中身穿的战术套装名称是什么？		
richmanlove_qaevent_q_07	没有与分析员搭乘同一班空艇来到新恒提罗的人是？		
richmanlove_qaevent_q_08	请问龙舌兰在哪里初次见到分析员？		
richmanlove_qaevent_q_09	请问分析员担任了安卡希雅所开发游戏的哪个职位？		
richmanlove_qaevent_q_10	请问哪一种是凯茜娅最喜欢听的音乐类型？		
richmanlove_qaevent_q_11	请问伊切尔是分析员从哪个地区带回来的？		
richmanlove_qaevent_q_12	请问恩雅喜欢的别人对她的称呼是？		
richmanlove_qaevent_q_13	请问云篆的原型来自辰星哪位家属的设计稿？		
richmanlove_qaevent_q_14	请问妮塔平常深夜出现在基地大厅最有可能是在做什么？		
richmanlove_qaevent_q_15	请问芙提雅是以下哪个系统的开发者？		
richmanlove_qaevent_q_16	请问谁曾是苔丝中学时期的老师？		
richmanlove_qaevent_q_17	请问晴的追求与信仰是受到了哪位亲人的影响？		
richmanlove_qaevent_q_18	请问琴诺的另一个人格的名字是？		
richmanlove_qaevent_q_19	请问肴的生日与哪一天离得最近？		
richmanlove_qaevent_q_20	请问猫汐尔说话的句尾喜欢带哪个字？		
richmanlove_qaevent_q_21	请问恒沙的创造者是？		
richmanlove_qaevent_a_01_a	恒沙		
richmanlove_qaevent_a_02_a	龙舌兰		
richmanlove_qaevent_a_03_a	心流园		
richmanlove_qaevent_a_04_a	汉诺塔		
richmanlove_qaevent_a_05_a	升格体		
richmanlove_qaevent_a_06_a	瞬刻		
richmanlove_qaevent_a_07_a	芬妮		
richmanlove_qaevent_a_08_a	瓦尔基里比赛		
richmanlove_qaevent_a_09_a	测试组组长		
richmanlove_qaevent_a_10_a	摇滚		
richmanlove_qaevent_a_11_a	耶洛沙		
richmanlove_qaevent_a_12_a	姐姐大人		
richmanlove_qaevent_a_13_a	母亲		
richmanlove_qaevent_a_14_a	从零食柜拿吃的		
richmanlove_qaevent_a_15_a	火种		
richmanlove_qaevent_a_16_a	爷		
