字符串索引	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	zh_CN	disable	Remark
chess1	饕享券	0	
chess1.desc	明灯新仪期间限定发放的稀有数字卡券，凭此可以在明灯新仪中享受贵宾服务，换取高价商品，通常只有一些“特殊贵宾”持有。但对于分析员来说，没什么用处。	0	
chess2	泰古通达门禁卡	0	
chess2.desc	伊尔提供的门禁卡，仅从外观看与泰古通达员工的门禁卡别无二致，但被磨去的名字和编号已经说明，这是一张使用非常规手段获得的门禁卡。	0	
chess3	还原装置	0	
chess3.desc	当转运路线规划错误时，可以使用该装置重现货箱最初的分布位置，重新进行转运路线规划。	0	
chess4	信石	0	
chess4.desc	精致打磨的龟背石，龟背花纹的另一面能摸到一些凹凸感，似乎刻了些东西，用肉眼很难看清内容，据说是天楼十分流行的一种礼物。	0	
chess5	送福宝箱-小	0	
chess5.desc	明灯节这一天，仓尧为世界树前来协助安保工作的伙伴们准备了一些基础补给。	0	
chess6	送福宝箱-大	0	
chess6.desc	明灯节这一天，仓尧为世界树前来协助安保工作的伙伴们准备了一些特别的礼物。	0	
chess7	未知事件	0	
chess7.desc	前面似乎发生了事件，作为会场安保负责人，你需要及时处理。	0	
chess8	偶遇事件	0	
chess8.desc	熟悉的身影出现，是海姆达尔的伙伴们。	0	
chess9	纷乱四起	0	
chess10	直面危局	0	
chess11	险象环生	0	
chess11.1	佳节享趣	0	
chess12	天工福灯纪念品	0	
chess12.desc	仿照天工福灯制造的微缩模型，是在一些游玩摊位作为奖品发放的纪念奖励。离开天楼后，似乎就没什么用了。	0	
chess13	开运古币	0	
chess13.desc	据说是能够带来好运的古老钱币、古董收藏者的最爱，却闪烁着廉价的金色光泽，让人怀疑它的真实来历，只是不值钱的小玩具。	0	
chess14	瑟瑞斯的语音记录	0	
chess14.desc	瑟瑞斯留下的录音记录，通过这些记录可以知道瑟瑞斯一路上在干什么，从而推测她所在的方位，也可以根据记录推测瑟瑞斯是否遇到险境。	0	
chess15	泰古通达门禁卡	0	
chess15.desc	伊尔提供的门禁卡，仅从外观看与泰古通达员工的门禁卡别无二致，但被磨去的名字和编号已经说明，这是一张使用非常规手段获得的门禁卡。	0	
chess16	物资箱	0	
chess16.desc	在活动会场上营业的摊贩使用的物资箱，只需协助做简单的规划，移动到他处，不影响人群行走即可。	0	
chess17	货箱	0	
chess17.desc	泰古通达专用货箱，在明灯新仪举办期间因管理问题堆积在各处。帮助仓尧规划这些货箱，将其移动至处理点，交给泰古通达员工处置。	0	
