字符串索引	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	zh_CN	disable	Remark
chesstask1	灯节·初探	0	
chesstask1.desc	通关第一章：“灯节”阶段行动	0	
chesstask2	灯节·伊始	0	
chesstask2.desc	触发并完成“灯节”的所有节点，并获得全部送福宝箱	0	
chesstask3	祈愿·阵痛	0	
chesstask3.desc	通关第二章：“祈愿”阶段行动	0	
chesstask4	祈愿·忧患	0	
chesstask4.desc	触发并完成“祈愿”的所有节点，并获得全部送福宝箱	0	
chesstask5	隐秘·探悉	0	
chesstask5.desc	通关第三章：“隐秘”阶段行动	0	
chesstask6	隐秘·洞察	0	
chesstask6.desc	触发并完成“隐秘”的所有节点，并获得全部送福宝箱	0	
chesstask7	患失·风波	0	
chesstask7.desc	通关第四章：“患失”阶段行动	0	
chesstask8	患失·难关	0	
chesstask8.desc	触发并完成“患失”的所有节点，并获得全部送福宝箱	0	
chesstask9	难关·抵抗	0	
chesstask9.desc	完成第五章：“难关”阶段行动	0	
chesstask10	难关·攻克	0	
chesstask10.desc	触发并完成“难关”的所有节点，并获得全部送福宝箱	0	
chesstask11	福至·欢游	0	
chesstask11.desc	完成第六章：“福至”阶段行动	0	
chesstask12	福至·团圆	0	
chesstask12.desc	触发并完成“福至”的所有节点，并获得全部送福宝箱	0	
chesstask100	头号守护者	0	
chesstask100.desc	触发并完成活动“灯火照途明”的所有节点，并获得全部送福宝箱	0	
		0	
m1a.task01	会场执勤	0	
m1a.task01.des	协助泰古通达庆典活动现场的安保工作。	0	
m1a.task02	仓尧的求助	0	
m1a.task02.des	帮助仓尧整理混乱的物资箱，保持庆典活动会场的秩序。	0	
m1a.task03	未始祸事	0	
m1a.task03.des	追查出现在庆典活动会场中的不明装置。	0	
m2a.task01	失序因子	0	
m2a.task04.des	调查逐光者一方是否在扰乱庆典活动。	0	
m2a.task02	不谐之音	0	
m2a.task02.des	处理在会场上失控的泰古通达安保机器人。	0	
m2a.task03	清扫行动	0	
m2a.task03.des	排查会场的不明装置，防止发生无法预测的事件。	0	
m3a.task01	木隐于林	0	
m3a.task01.des	集中搜索并处理隐藏在人群聚集处的不明装置。	0	
m3a.task02	清扫行动	0	
m3a.task02.des	在金琅的助力下，进一步处理隐藏在会场中的不明装置。	0	
m3a.task03	罪人自白	0	
m3a.task03.des	根据伊尔提供的线索和门禁卡，前往处理不明装置。	0	
m4a.task01	导火索	0	
m4a.task01.des	追查不明装置的来源，查明幕后人的真实目的。	0	
m5a.task01	会合	0	
m5a.task01.des	向燃灯台的方向前进与队员们会合，同时加强安保力度。	0	
m5a.task02	转圜	0	
m5a.task02.des	在零区居民主动协助疏散的情况下，尽快清理会场的泰坦。	0	
m6a.task01	最后的委托	0	
m6a.task01.des	协助安保工作的同时，带着海姆达尔的大家享受庆典活动。	0	
m6a.task02	燃灯祈福	0	
m6a.task02.des	和大家一起留下美好的回忆。	0	
		0	
m1b.task01	奇怪的视线	0	
m1b.task01.des	一如既往的巡逻任务中，却感受到了群众炙热的视线。	0	
m1b.task02	来者匆匆	0	
m1b.task02.des	突然出现的少女，究竟是谁？	0	
m2b.task01	额外注意事项	0	
m2b.task01.des	追踪意外独自行动的瑟瑞斯。	0	
m2b.task02	雇主与跑腿	0	
m2b.task02.des	确认伊尔与金琅之间的关系。	0	
m3b.task01	欲盖弥彰	0	
m3b.task01.des	弄清伊尔慌慌张张的原因。	0	
m4b.task01	未能传达的信	0	
m4b.task01.des	找个机会，了解手中信石的来源。	0	
m4b.task02	未能传达的信2	0	
m4b.task02.des	查清另一块信石上的内容。	0	
		0	
chessbattle1.2	面对未知真实身份的敌人，海姆达尔的队员们已经准备好战斗了。	0	A1·图1
chessbattle1.3	面对未知真实身份的敌人，海姆达尔的队员们已经准备好战斗了。	0	A7·图3
chessbattle1.4	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	A8·图3
chessbattle1.5	突然出现的泰坦给活动会场带来巨大的危机，请迅速将其驱逐，保护零区居民。	0	A10·图4
chessbattle1.6	几名神色紧张的郊狼成员聚在一处，请及时出手防患于未然。	0	A2·图1
chessbattle1.7	几名神色紧张的郊狼成员聚在一处，请及时出手防患于未然。	0	A11·图4
chessbattle1.8	面对未知真实身份的敌人，海姆达尔的队员们已经准备好战斗了。	0	A3·图2复用
chessbattle1.9	几名神色紧张的郊狼成员聚在一处，请及时出手防患于未然。	0	A9·图2
chessbattle1.10	一批眼熟的无人机出现在会场上空，该开始执行安保工作了。	0	A4·图1
chessbattle1.11	面对未知真实身份的敌人，海姆达尔的队员们已经准备好战斗了。	0	A3·图2
chessbattle1.12	面对失控的安保机器人，到了分析员出场的时刻了。	0	A5·图2
