字符串索引	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	zh_CN	disable	Remark
TxtRichManAKXY1	锦囊，无中生有。	0	
TxtRichManAKXY2	就这点钱，打发我？	0	
TxtRichManAKXY3	洒洒水啦。	0	
TxtRichManAKXY4	无懈可击！无懈可击……没这张牌？	0	
TxtRichManAKXY5	抱歉，我就试试看好不好用。	0	
TxtRichManAKXY6	没看到是我？	0	
TxtRichManAKXY7	咳咳，今夜做梦也会笑。	0	
TxtRichManAKXY8	要打背水了。	0	
TxtRichManAKXY9	让我看看你的牌吧。	0	
TxtRichManAKXY10	犹豫，就会破产……	0	
TxtRichManAKXY11	越过去，直接对本体造成暴击吧。	0	
TxtRichManAKXY12	干得漂亮。	0	
TxtRichManAKXY13	我最后的力量就交给你们了！	0	
TxtRichManAKXY14	有眼光。		
TxtRichManAKXY15	不错的判断。		
TxtRichManAKXY16	嗯~你还是知道谁跟你关系最铁的。		
TxtRichManAKXY17	谢了，新赛季我帮你上分吧。		
TxtRichManAKXY18	你确定不用这个？		
			
TxtRichManFTY1	哼哼，归我咯。	0	
TxtRichManFTY2	多多益善！	0	
TxtRichManFTY3	真要拿啊？	0	
TxtRichManFTY4	哼，一会儿我会拿回来的！	0	
TxtRichManFTY5	挑了半天，还是选这个当特别礼物吧。	0	
TxtRichManFTY6	给我等着！	0	
TxtRichManFTY7	不愧是我！	0	
TxtRichManFTY8	防御，防御，快点防御！	0	
TxtRichManFTY9	根据统计学概率来说，芙提雅老师获胜的可能性很高。	0	
TxtRichManFTY10	这，这，不在计算之内啊……	0	
TxtRichManFTY11	芙提雅老师看好你们哦。	0	
TxtRichManFTY12	没错没错，就是这样。	0	
TxtRichManFTY13	可恶，还差一点。	0	
TxtRichManFTY14	不愧是分析员！明智之选！	0	
TxtRichManFTY15	谢谢分析员！	0	
TxtRichManFTY16	哈哈咱们家分析员眼光就是好~	0	
TxtRichManFTY17		0	
TxtRichManFTY18	嘿嘿芙提雅老师有个小建议哦~	0	
			
TxtRichManSRS1	运气好好耶！	0	
TxtRichManSRS2	不错！可以睡个好觉啦。	0	
TxtRichManSRS3	真的要拿走吗呜呜。	0	
TxtRichManSRS4	哇，我的钱包好疼。	0	
TxtRichManSRS5	抱歉抱歉。	0	
TxtRichManSRS6	我没事哦！	0	
TxtRichManSRS7	看到了吗？我刚刚运气超好！	0	
TxtRichManSRS8	不，不会吧……	0	
TxtRichManSRS9	我会好好加油的。	0	
TxtRichManSRS10	不小心输掉了。	0	
TxtRichManSRS11	大家加油，加油，嘿嘿！	0	
TxtRichManSRS12	好耶，鼓起干劲！	0	
TxtRichManSRS13	抱歉，我拖后腿了……	0	
TxtRichManSRS14	谢谢分析员~		
TxtRichManSRS15	我会继续努力的！		
TxtRichManSRS16	诶？！这么多都给我！我要怎么报答你才好啊？		
TxtRichManSRS17	我要赶紧记下来，这个假期里就现在最最开心了！		
TxtRichManSRS18	这是什么啊？我们试试吧~		
			
TxtRichManMXR1	我握住了获胜的砝码。	0	
TxtRichManMXR2	获胜可能性已大幅增加。	0	
TxtRichManMXR3	被偷走了……	0	
TxtRichManMXR4	下个回合就让你还回来。	0	
TxtRichManMXR5	百分百命中。	0	
TxtRichManMXR6	不痛不痒。	0	
TxtRichManMXR7	意料之中。	0	
TxtRichManMXR8	人类会畏惧这个吗？	0	
TxtRichManMXR9	我一定会拿下胜利的结局。	0	
TxtRichManMXR10	这也在概率之中。	0	
TxtRichManMXR11	我们有很大胜率。	0	
TxtRichManMXR12	这样就不会输了。	0	
TxtRichManMXR13	不好意思，在这里就退场了。	0	
TxtRichManMXR14	真的选我喵？		
TxtRichManMXR15	谢谢喵~		
TxtRichManMXR16	嗯，我也还想再和你一起玩游戏喵。		
TxtRichManMXR17	选我的评判标准是什么喵？喜欢和我搭档吗？		
TxtRichManMXR18	要听听我的建议喵？		
		0	
TxtRichManEY1	这是给我的小惊喜吗？	0	
TxtRichManEY2	那我也稍微不客气点，收下了哦。	0	
TxtRichManEY3	要好好收着哦。	0	
TxtRichManEY4	没事没事，你有用就好。	0	
TxtRichManEY5	应该不会痛吧？	0	
TxtRichManEY6	我也是会记仇的，呵呵呵，开个玩笑。	0	
TxtRichManEY7	那我就不客气咯？	0	
TxtRichManEY8	是我？没事没事！	0	
TxtRichManEY9	我还不会放狠话……	0	
TxtRichManEY10	这也是常有的事呢……	0	
TxtRichManEY11	真不错哦。	0	
TxtRichManEY12	好孩子不可以气馁。	0	
TxtRichManEY13	抱歉，给你们造成麻烦了。	0	
TxtRichManEY14	哎呀~分析员终于注意到我了吗？		
TxtRichManEY15	想要我怎么感谢你呢？		
TxtRichManEY16	分析员真是越看越可爱了，特别是为我投票的时候。		
TxtRichManEY17	作为回报，就让我亲一下吧！呵呵呵呵~		
TxtRichManEY18	脑筋动起来，看看手里还有什么筹码吧！		
			
TxtRichManJCX1	谢谢。	0	
TxtRichManJCX2	胜利的预兆。	0	
TxtRichManJCX3	祸福相依。	0	
TxtRichManJCX4	钱乃身外之物。	0	
TxtRichManJCX5	兵不厌诈。	0	
TxtRichManJCX6	居然，是我？	0	
TxtRichManJCX7	切不可因此浮躁。	0	
TxtRichManJCX8	不是什么坏事。	0	
TxtRichManJCX9	这局，我略有胜算。	0	
TxtRichManJCX10	胜败乃兵家常事。	0	
TxtRichManJCX11	就这样，趁着东风！	0	
TxtRichManJCX12	还不到放弃的时候。	0	
TxtRichManJCX13	没想到会在此惜败。	0	
TxtRichManJCX14	非常感谢。		
TxtRichManJCX15	请……不要一直盯着我看。		
TxtRichManJCX16	分析员这么支持我……事后我一定登门拜谢。		
TxtRichManJCX17	谢谢，你又让我多了一份值得回味的美好记忆。		
TxtRichManJCX18	此刻，当出奇袭之术。		
			
TxtRichManFXY1	这把稳了！		
TxtRichManFXY2	抱歉，有钱就是可以为所欲为。		
TxtRichManFXY3	还有机会，不慌。		
TxtRichManFXY4	嘶……大意了。		
TxtRichManFXY5	我可不会轻易放水。	0	3.0复刻捞金派对文案优化
TxtRichManFXY6	谁干的？		
TxtRichManFXY7	还得是我！		
TxtRichManFXY8	有诈！		
TxtRichManFXY9	要不我让着你们点吧。		
TxtRichManFXY10	这种时候，只要微笑就好了。		
TxtRichManFXY11	加油！		
TxtRichManFXY12	干得好！		
TxtRichManFXY13	Good Game……		
TxtRichManFXY14	我还挺擅长玩小游戏的。		
TxtRichManFXY15	嗯，今天还是让着她们了。		
TxtRichManFXY16	善待自己，拒绝内耗。		
TxtRichManFXY17	完美的假日，希望有个美好的收尾。		
TxtRichManFXY18	既然手里有道具，那我不客气了！		
			
TxtRichManBOSS1	嘿……嘭！		
TxtRichManBOSS2	嘭？奇怪的盒子冒出来了~		
TxtRichManBOSS3	嘭~		
TxtRichManBOSS4	中——中止表演——中止表演嘭——		
TxtRichManBOSS5	创死你~创死你嘭~		
TxtRichManBOSS6	嘭~		
TxtRichManBOSS7	回答正确嘭~		
TxtRichManBOSS8	嘭~		
TxtRichManBOSS9	不许移开目光嘭~		
TxtRichManBOSS10	中——中止表演——中止表演嘭——		
TxtRichManBOSS11	睁大眼睛看好了嘭~		
TxtRichManBOSS12	不许移开目光嘭~		
TxtRichManBOSS13	中——中止表演——中止表演嘭——		
TxtRichManBOSS14	嘭~		
TxtRichManBOSS15	嘿……嘭！		
TxtRichManBOSS16	不许移开目光嘭~		
TxtRichManBOSS17	目标达成嘭~		
TxtRichManBOSS18	嘭？奇怪的盒子冒出来了~		
			
TxtRichManLOVE_LIFU1	我们，一起走吧。		
TxtRichManLOVE_LIFU2	嗯，我一直在等你。		
TxtRichManLOVE_LIFU3	我们接下来要去做什么？		
TxtRichManLOVE_LIFU4	我始终相信，今天必定到来。		
TxtRichManLOVE_LIFU5	分析员，你要怎么选呢——		
TxtRichManLOVE_LIFU6	一起去吗？也许会遇到一些趣事。		
TxtRichManLOVE_LIFU7	希望不要错过这次的烟花。		
TxtRichManLOVE_LIFU8	一定可以做得很好。		
TxtRichManLOVE_LIFU9	没问题，非常顺利。		
TxtRichManLOVE_LIFU10	希望我能跟上你的脚步。		
TxtRichManLOVE_LIFU11	这就是一点点累积的成果吧。		
			
TxtRichManLOVE_FENNI1	其实也没有等很久啦！		
TxtRichManLOVE_FENNI2	本小姐有好多话想和你说呢！		
TxtRichManLOVE_FENNI3	你怎么现在才来找我呀~		
TxtRichManLOVE_FENNI4	早就说了，非我不可吧~		
TxtRichManLOVE_FENNI5	分析员，你要怎么选呢——		
TxtRichManLOVE_FENNI6	运动会吗？那本小姐必然是第一！		
TxtRichManLOVE_FENNI7	约好了一起看烟花，别迟到啊~		
TxtRichManLOVE_FENNI8	走啦走啦！		
TxtRichManLOVE_FENNI9	没问题的！		
TxtRichManLOVE_FENNI10	开心的时间过得好快啊。		
TxtRichManLOVE_FENNI11	嗯嗯，本小姐很满意！		
			
TxtRichManLOVE_MOLIAN1	终于能和分析员一起了，呵呵~		
TxtRichManLOVE_MOLIAN2	我正想着分析员，您就来了呢。		
TxtRichManLOVE_MOLIAN3	谢谢你，能来找我。		
TxtRichManLOVE_MOLIAN4	我一直期待这一天的到来。		
TxtRichManLOVE_MOLIAN5	分析员，你要怎么选呢——		
TxtRichManLOVE_MOLIAN6	如果全速跑起来，不知道会不会受伤呢~		
TxtRichManLOVE_MOLIAN7	机会难得，要一起去看看吗？		
TxtRichManLOVE_MOLIAN8	嗯呵~好期待接下来会发生什么~		
TxtRichManLOVE_MOLIAN9	可以，一直看着您吗？		
TxtRichManLOVE_MOLIAN10	一直以来辛苦您了。		
TxtRichManLOVE_MOLIAN11	分析员果然，很厉害呢，嗯呵~		
			
TxtRichManLOVE_FENXIYUAN1	全力以赴的每一天。	0	
TxtRichManLOVE_FENXIYUAN2	这难不倒我。	0	
TxtRichManLOVE_FENXIYUAN3	找她出去逛逛吧~	0	
TxtRichManLOVE_FENXIYUAN4	每一天都值得回忆。	0	
TxtRichManLOVE_FENXIYUAN5	不愧是我。	0	
TxtRichManLOVE_FENXIYUAN6	总觉得有好事要发生。	0	
TxtRichManLOVE_FENXIYUAN7	今晚月色真美~	0	
