ID	//备注	多诺卡初始名称	解锁条件（填写condition表ID）	最大星级	攻击属性初始下限	攻击属性{{品质，最大值(含)},{品质，最大值(含)},......}	防御属性初始下限	防御属性	生命属性初始下限	生命属性	5星获得buff	羁绊标签（显示用填写donoduel_herocard_bondbonus表ID）{主羁绊ID,次羁绊ID}	BuffTag标签（战斗目标选择用donoduel_buff_tag表ID）	技能栏解锁星级{栏1解锁星级,栏2解锁星级,栏3解锁星级}	初始模型	5星模型	初始头像	5星头像	文案简介	多诺卡回收标记(被标记的卡牌，无法进行回收)	限定多诺卡(被标记的多诺卡不会参与掉落，从掉落池中剔除)
ID	Note	Name	Condition	Stars	AttackInitial	Attack	DefenseInitial	Defense	HealthInitial	Health	ExtraBuff	BondID	BuffTag	SkillUnloked	Model	MaxModel	Icon	MaxIcon	Desc	Recycle	Limit
1	沉堤石人_坦克213	donoduel.herocard_name01		5	4500	{{1,5625},{2,8438},{3,11250},{4,14063},{5,16875},{6,22500}}	480	{{1,600},{2,750},{3,900},{4,1050},{5,1200},{6,1500}}	480000	{{1,600000},{2,750000},{3,900000},{4,1050000},{5,1200000},{6,1500000}}	1001	{1,7}	{101,107}	{2,3,4}	{504001213}	{504002213}	1804052	1804238	donoduel.herocard_name01_des		
2	重型武装兽_坦克309	donoduel.herocard_name02		5	4500	{{1,5625},{2,8438},{3,11250},{4,14063},{5,16875},{6,22500}}	480	{{1,600},{2,750},{3,900},{4,1050},{5,1200},{6,1500}}	480000	{{1,600000},{2,750000},{3,900000},{4,1050000},{5,1200000},{6,1500000}}	1001	{1,11}	{101,111}	{2,3,4}	{505001309}	{505002309}	1804104	1804105	donoduel.herocard_name02_des	1	1
3	钢铁猛虎_坦克010	donoduel.herocard_name03		5	4500	{{1,5625},{2,8438},{3,11250},{4,14063},{5,16875},{6,22500}}	480	{{1,600},{2,750},{3,900},{4,1050},{5,1200},{6,1500}}	480000	{{1,600000},{2,750000},{3,900000},{4,1050000},{5,1200000},{6,1500000}}	1001	{1,10}	{101,110}	{2,3,4}	{504001010}	{504002010}	1804009	1804245	donoduel.herocard_name03_des		
4	再生机甲_坦克302	donoduel.herocard_name04		5	4500	{{1,5625},{2,8438},{3,11250},{4,14063},{5,16875},{6,22500}}	480	{{1,600},{2,750},{3,900},{4,1050},{5,1200},{6,1500}}	480000	{{1,600000},{2,750000},{3,900000},{4,1050000},{5,1200000},{6,1500000}}	1001	{1,8}	{101,108}	{2,3,4}	{505001302}	{505002302}	1804086	1804257	donoduel.herocard_name04_des		
5	拉力侠_战士211	donoduel.herocard_name05		5	6000	{{1,7500},{2,11250},{3,15000},{4,18750},{5,22500},{6,30000}}	400	{{1,500},{2,625},{3,750},{4,875},{5,1000},{6,1250}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{2,7}	{102,107}	{2,3,4}	{504001211}	{504002211}	1804028	1804235	donoduel.herocard_name05_des		
6	扫地机器人_战士310	donoduel.herocard_name06		5	6000	{{1,7500},{2,11250},{3,15000},{4,18750},{5,22500},{6,30000}}	400	{{1,500},{2,625},{3,750},{4,875},{5,1000},{6,1250}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{2,8}	{102,108}	{2,3,4}	{504301310}	{504302310}	1804148	1804191	donoduel.herocard_name06_des		
7	黑魔战女孩_战士108	donoduel.herocard_name07		5	6000	{{1,7500},{2,11250},{3,15000},{4,18750},{5,22500},{6,30000}}	400	{{1,500},{2,625},{3,750},{4,875},{5,1000},{6,1250}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{2,9}	{102,109}	{2,3,4}	{504001108}	{504002108}	1804021	1804251	donoduel.herocard_name07_des		
8	漆黑断罪者_战士103	donoduel.herocard_name08		5	6000	{{1,7500},{2,11250},{3,15000},{4,18750},{5,22500},{6,30000}}	400	{{1,500},{2,625},{3,750},{4,875},{5,1000},{6,1250}}	400000	{{1,500000},{2,625000},{3,750000},{4,875000},{5,1000000},{6,1250000}}	1001	{2,9}	{102,109}	{2,3,4}	{504001103}	{504002103}	1804016	1804248	donoduel.herocard_name08_des		
9	烈火炮手_射手013	donoduel.herocard_name09		5	7800	{{1,9750},{2,14625},{3,19500},{4,24375},{5,29250},{6,39000}}	320	{{1,400},{2,500},{3,600},{4,700},{5,800},{6,1000}}	320000	{{1,400000},{2,500000},{3,600000},{4,700000},{5,800000},{6,1000000}}	1001	{3,10}	{103,110}	{2,3,4}	{504001013}	{504002013}	1804010	1804069	donoduel.herocard_name09_des		
