ID	任务计数方法id(程序使用)	是否检查前置	//备注	//任务条件文本	//检查值含义	参数含义	//参数含义的备注
ID	Type	NoCheck	Note1	Note2	Note3	Meaning	Note4
1	3	1	完成擂台XX模式XX关				[关卡ID]
2	4	1	到达抓多诺卡，XX阶段XX层				[阶段，层数]
3	6	1	将XX多诺卡养成到XX星级XX品质				[多诺卡ID，星级，品质]  多诺卡ID不填=任意
4	4	0	提升一次XX多诺卡的品质、星级、属性数值				[多诺卡ID，提升内容]  多诺卡ID不填=任意；提升内容：1=要求提升品质、2=要求提升星级、3=提升攻击属性、4=提升防御属性、5=提升血量属性
5	3	0	穿戴指定的队长级				[队长技ID]  不填=任意技能
6	6	1	历史获得过N只 XX星级 XX品质 的 XX多诺卡				[多诺卡ID，星级，品质] 多诺卡ID不填=任意，只数通过任务计数统计
7	3	1	历史任意多诺卡学习过XX技能				[技能ID] 不填=任意
8	3	1	激活XX科技树节点				[科技树节点ID]  不填=任意
9	4	0	单关卡，使用XX多诺卡，在擂台的XX模式，XX关中，击杀N数量的敌人				[多诺卡ID，关卡ID]  多诺卡ID不填=任意，杀敌数通过任务计数统计
10	3	0	默认自动完成任务（打开多诺基地场景）				{不填}
