ID	前置CD（秒）	//备注	//备注	技能名称	技能图标	技能标签（填写donoduel_herocard_skilltag表ID）	SkillInfoId	效果描述
SkillID	SkillCD	Note1	Note2	Name	Icon	TagID	SkillInfoId	Desc
101	5	战术诱导	对自身2.5米范围内的目标施加【诱敌】效果，自身受到的最终伤害降低10%，效果持续5秒，触发间隔15秒	donoduel.herocard_skill_101	5201007	{1,10}	3832001	donoduel.herocard_skill_101_des
102	0	稳健护甲	受到伤害时，获得【坚韧】效果，使自身防御力提升5%，效果持续5秒，该效果最多叠加3层，【坚韧】叠满层后自身受到的最终伤害降低3%	donoduel.herocard_skill_102	5201008	{1,10}	3832002	donoduel.herocard_skill_102_des
103	0	围城领域	被施加【诱敌】效果的敌方目标攻击力降低20%，受治疗效果降低15%	donoduel.herocard_skill_103	5201009	{1,10}	3832003	donoduel.herocard_skill_103_des
111	5	痛觉反弹	受到敌方伤害的40%将会返还给该敌方，效果持续5秒，触发间隔10秒	donoduel.herocard_skill_111	5201010	{1,11}	3832004	donoduel.herocard_skill_111_des
112	0	生命传承	生命首次低于50%时，自身与距离自身距离最近的友方受到治疗，回复20%自身最大生命的生命	donoduel.herocard_skill_112	5201011	{1,11}	3832005	donoduel.herocard_skill_112_des
113	0	绝命抵挡	生命低于30%后，可以免疫1次受到的致命伤害，随后获得1秒无敌效果，1回合对决内仅生效1次	donoduel.herocard_skill_113	5201012	{1,11}	3832006	donoduel.herocard_skill_113_des
121	0	歼灭协议	对自身2.5米范围内，包含附属单位的全部敌方目标造成伤害时，伤害提升30%	donoduel.herocard_skill_121	5201013	{2,12}	3832007	donoduel.herocard_skill_121_des
122	0	能源回收	造成伤害时，回复造成伤害总量11%的生命	donoduel.herocard_skill_122	5201014	{2,12}	3832008	donoduel.herocard_skill_122_des
123	0	战势浩荡	每击倒1个敌方，将会获得1个【声势】标记，使自身攻击力与防御力提升4%，最多叠加5层	donoduel.herocard_skill_123	5201015	{2,12}	3832009	donoduel.herocard_skill_123_des
131	4	脉冲震荡	对自身2.5米范围内的目标，造成1次攻击力300%的伤害，触发间隔4秒	donoduel.herocard_skill_131	5201016	{2,13}	3832010	donoduel.herocard_skill_131_des
132	0	战意涌动	自身2.5米范围内有2个及以上的敌方时，自身攻击力与防御力均提升15%	donoduel.herocard_skill_132	5201017	{2,13}	3832011	donoduel.herocard_skill_132_des
133	0	终结冰爆	进入修整状态时，对敌方造成自身攻击力1375%的低温类型伤害，并施加持续4秒的冻结效果	donoduel.herocard_skill_133	5201018	{2,13}	3832012	donoduel.herocard_skill_133_des
141	3	炽热连击	连续攻击敌方4次，每次攻击造成自身攻击力120%的高热类型伤害，【远攻手】类连携卡牌触发间隔5秒，其他卡牌触发间隔10秒	donoduel.herocard_skill_141	5201019	{3,14}	3832013	donoduel.herocard_skill_141_des
142	0	远距补贴	对敌方造成伤害时，若敌方距离自身大于5米，则伤害提升36%	donoduel.herocard_skill_142	5201001	{3,14}	3832014	donoduel.herocard_skill_142_des
143	0	锐气高涨	每次对敌方造成伤害，会获得1层【锐气】效果，自身攻击力提升10%，效果持续5秒，【锐气】效果最多可叠加3层	donoduel.herocard_skill_143	5201002	{3,14}	3832015	donoduel.herocard_skill_143_des
