ID	//备注	BUFF类型（1=mod、2=skill、3=非战斗）	ModifierId	SkillInfoId	非战斗buff效果	非战斗buff效果数值类型	战斗类生效目标判定（1=少女，不填=多诺卡）	效果描述
BuffID	Note	BuffType	ModifierId	SkillInfoId	Effect	EffectValue	ToPlayer	BuffDesc
1001	【多诺卡5星】造成的最终伤害提高20%	2		3830010				donoduel.buff_herocard_buff
2002	测试羁绊2层效果	2		3830011				donoduel.buff_bond1_des02
2003	测试羁绊3层效果	2		3830012				donoduel.buff_bond1_des03
2012	羁绊【1】2层效果	2		3830011				donoduel.buff_bond1_des02
2013	羁绊【1】3层效果	2		3830012				donoduel.buff_bond1_des03
2022	羁绊【2】2层效果	2		3830013				donoduel.buff_bond2_des02
2023	羁绊【2】3层效果	2		3830014				donoduel.buff_bond2_des03
2032	羁绊【3】2层效果	2		3830015				donoduel.buff_bond3_des02
2033	羁绊【3】3层效果	2		3830016				donoduel.buff_bond3_des03
2042	羁绊【4】2层效果	2		3830017				donoduel.buff_bond4_des02
2043	羁绊【4】3层效果	2		3830018				donoduel.buff_bond4_des03
2052	羁绊【5】2层效果	2		3830019				donoduel.buff_bond5_des02
2053	羁绊【5】3层效果	2		3830020				donoduel.buff_bond5_des03
2062	羁绊【6】2层效果	2		3830021				donoduel.buff_bond6_des02
2072	羁绊【7】2层效果	2		3830022				donoduel.buff_bond7_des02
2073	羁绊【7】3层效果	2		3830023				donoduel.buff_bond7_des03
2074	羁绊【7】4层效果	2		3830024				donoduel.buff_bond7_des04
2082	羁绊【8】2层效果	2		3830025				donoduel.buff_bond8_des02
2083	羁绊【8】3层效果	2		3830026				donoduel.buff_bond8_des03
2084	羁绊【8】4层效果	2		3830027				donoduel.buff_bond8_des04
2092	羁绊【9】2层效果	2		3830028				donoduel.buff_bond9_des02
2093	羁绊【9】3层效果	2		3830029				donoduel.buff_bond9_des03
2094	羁绊【9】4层效果	2		3830030				donoduel.buff_bond9_des04
2095	羁绊【9】5层效果	2		3830031				donoduel.buff_bond9_des05
2102	羁绊【10】2层效果	2		3830032				donoduel.buff_bond10_des02
2103	羁绊【10】3层效果	2		3830033				donoduel.buff_bond10_des03
2104	羁绊【10】4层效果	2		3830034				donoduel.buff_bond10_des04
2111	羁绊【11】1层效果	2		3830035				donoduel.buff_bond11_des01
3001	（玩家出战的前场少女）在局内的移动速度提升[XX]%	2		3830007			1	donoduel.buff_skill_tree01
3002	（玩家出战的前场少女）造成的射击伤害提升[XX]%	2		3830008			1	donoduel.buff_skill_tree02
3003	（玩家出战的前场少女）造成的技能伤害提升[XX]%	2		3830009			1	donoduel.buff_skill_tree03
3004	解锁XX羁绊概率提升选项	3			3	{6}		donoduel.buff_skill_tree04
3005	多诺卡探索出战栏+1	3			4	{1}		donoduel.buff_skill_tree05
3006	玩家获得的代币数量提高[XX]%	3			1	{1000}		donoduel.buff_skill_tree06
3007	局内多诺卡探索出战栏+1的背包上限增加XX个	3			2	{15}		donoduel.buff_skill_tree07
