ID	//备注	//备注	基础形象ID（填写donoduel_herocard表ID）	外显星级	外显品质	攻击属性数值	防御属性数值	生命属性数值	技能栏1（填写donoduel_herocard_skill表ID）	技能栏2（填写donoduel_herocard_skill表ID）	技能栏3（填写donoduel_herocard_skill表ID）
ID	Note	Note2	HerocardID	Stars	Quality	Attack	Defense	Health	SkillBar1	SkillBar2	SkillBar3
11101	阶段1普通强度	坦克213	1	1	1	900	480	144000			
11102	阶段1普通强度	坦克309	2	1	1	900	480	144000			
11103	阶段1普通强度	坦克010	3	1	1	900	480	144000			
11104	阶段1普通强度	坦克302	4	1	1	900	480	144000			
11201	阶段1普通强度	战士211	5	1	1	1200	400	120000			
11202	阶段1普通强度	战士310	6	1	1	1200	400	120000			
11203	阶段1普通强度	战士108	7	1	1	1200	400	120000			
11204	阶段1普通强度	战士103	8	1	1	1200	400	120000			
11301	阶段1普通强度	射手013	9	1	1	1560	320	96000			
11302	阶段1普通强度	射手102	10	1	1	1560	320	96000			
11303	阶段1普通强度	射手301	11	1	1	1560	320	96000			
11304	阶段1普通强度	射手105	12	1	1	1560	320	96000			
11401	阶段1普通强度	法师212	13	1	1	1320	360	120000			
11402	阶段1普通强度	法师606	14	1	1	1200	320	108000			
11403	阶段1普通强度	法师305	15	1	1	1320	360	120000			
11404	阶段1普通强度	法师106	16	1	1	1320	360	120000			
11501	阶段1普通强度	游侠214 改 战士103	8	1	1	1200	400	120000			
11502	阶段1普通强度	游侠501	18	1	1	1320	360	120000			
11503	阶段1普通强度	游侠017	19	1	1	1320	360	120000			
11504	阶段1普通强度	游侠215	20	1	1	1320	360	120000			
											
12101	阶段1精英强度	坦克213	1	1	2	1125	600	180000			
12102	阶段1精英强度	坦克309	2	1	2	1125	600	180000			
12103	阶段1精英强度	坦克010	3	1	2	1125	600	180000			
12104	阶段1精英强度	坦克302	4	1	2	1125	600	180000			
12201	阶段1精英强度	战士211	5	1	2	1500	500	150000			
12202	阶段1精英强度	战士310	6	1	2	1500	500	150000			
12203	阶段1精英强度	战士108	7	1	2	1500	500	150000			
12204	阶段1精英强度	战士103	8	1	2	1500	500	150000			
12301	阶段1精英强度	射手013	9	1	2	1950	400	120000			
12302	阶段1精英强度	射手102	10	1	2	1950	400	120000			
12303	阶段1精英强度	射手301	11	1	2	1950	400	120000			
