ID	//备注	交互物类型（1=功能物体、2=任务npc）	地图图标（选中）	地图图标（未选中）	地图界面上对应的控件名	功能物体打开的界面（填function表ID）	默认交互图标	Npc名称	默认交换文本	交互物hud效果	npc接取hud	npc提交hud
NpcID	Note	NpcType	IconNo	IconOff	Control	FunctionID	InteractionIcon	Name	InteractionText	StaticHud	AcceptHud	SubmitHud
1	擂台	1	1701471	1701479	Duel_location1	102	1701471		donoduel.location_duel_location1	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location1_p.e_duel_location1_p		
2	队长技	1	1701468	1701476	Duel_location2	108	1701468		donoduel.location_duel_location2	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location2_p.e_duel_location2_p		
3	科技树	1	1701469	1701477	Duel_location3	107	1701469		donoduel.location_duel_location3	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location3_p.e_duel_location3_p		
4	多诺卡培养	1	1701470	1701478	Duel_location4	106	1701470		donoduel.location_duel_location4	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location4_p.e_duel_location4_p		
5	肉鸽	1	1701467	1701475	Duel_location5	101	1701467		donoduel.location_duel_location5	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location5_p.e_duel_location5_p		
6	技能图鉴	1	1701465	1701473	Duel_location6	110	1701465		donoduel.location_duel_location6	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location6_p.e_duel_location6_p		
7	羁绊图鉴	1	1701464	1701472	Duel_location7	111	1701464		donoduel.location_duel_location7	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location7_p.e_duel_location7_p		
8	多诺卡图鉴	1	1701466	1701474	Duel_location8	109	1701466		donoduel.location_duel_location8	/Game/Effects/Environments/DLC35/upgrouding/e_duel_location8_p.e_duel_location8_p		
101	安卡	2		1210009	NpcRole1			donoduel.duel_npc_name101			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
102	茉莉安	2		1210010	NpcRole2			donoduel.duel_npc_name102			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
103	瑟瑞斯	2		1210019	NpcRole3			donoduel.duel_npc_name103			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
104	米娅	2		1210049	NpcRole4			donoduel.duel_npc_name104			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
105	肴	2		1210012	NpcRole5			donoduel.duel_npc_name105			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
201	支线1	2		1210009	NpcRole7			donoduel.duel_npc_name101			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
202	支线2	2		1210009	NpcRole9			donoduel.duel_npc_name101			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
204	支线4	2		1210009	NpcRole6			donoduel.duel_npc_name101			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
205	支线5	2		1210009	NpcRole8			donoduel.duel_npc_name101			/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_accept_p.e_duel_npc_accept_p	/Game/Effects/Environments/DLC35/upgrouding/e_duel_npc_submit_p.e_duel_npc_submit_p
