Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	正常	sequence	girl018_01_house_stand01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_stand01.girl018_01_house_stand01'	
2	微笑	sequence	girl018_01_house_dialogue_smile01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_smile01.girl018_01_house_dialogue_smile01'	
3	开心	sequence	girl018_01_house_dialogue_happy01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_happy01.girl018_01_house_dialogue_happy01'	
4	疑问	sequence	girl018_01_house_dialogue_doubt01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_doubt01.girl018_01_house_dialogue_doubt01'	
5	严肃	sequence	girl018_01_house_dialogue_serious01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_serious01.girl018_01_house_dialogue_serious01'	
6	生气	sequence	girl018_01_house_dialogue_angry01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_angry01.girl018_01_house_dialogue_angry01'	
7	委屈	sequence	girl018_01_house_dialogue_complain01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_complain01.girl018_01_house_dialogue_complain01'	
8	闭眼睡觉	sequence	girl018_01_house_dialogue_rest_idle01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_note.girl018_01_house_dialogue_note'	
9	惊讶	sequence	girl018_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_amaze.girl018_01_house_dialogue_amaze'	
10	积极（动作套）	sequence	girl018_01_house_dialogue_satisfy	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_satisfy.girl018_01_house_dialogue_satisfy'	
11	打招呼（动作套）	sequence	girl018_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_greet.girl018_01_house_dialogue_greet'	
12	幻想（动作套）	sequence	girl018_01_house_dialogue_dream	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_dream.girl018_01_house_dialogue_dream'	
13	幻想破灭（动作套）	sequence	girl018_01_house_dialogue_dream_end02	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_dream_end02.girl018_01_house_dialogue_dream_end02'	
14	扶眼镜（动作套）	sequence	girl018_01_house_dialogue_glass	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_glass.girl018_01_house_dialogue_glass'	
15	做记录（动作套）	sequence	girl018_01_house_dialogue_note	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_note.girl018_01_house_dialogue_note'	
					
					
					
					
					
100	说话	sequence	girl018_01_house_dialogue_talk01	AnimSequence'/Game/Characters/Girl/girl018_01/AnimPart00/girl018_01_house_dialogue_talk01.girl018_01_house_dialogue_talk01'	
