Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	正常	sequence	girl020_01_house_stand	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_stand.girl020_01_house_stand'	
2	微笑	sequence	girl020_01_house_dialogue_smile01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_smile01.girl020_01_house_dialogue_smile01'	
3	严肃	sequence	girl020_01_house_dialogue_serious01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_serious01.girl020_01_house_dialogue_serious01'	
4	开心	sequence	girl020_01_house_dialogue_happy01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_happy01.girl020_01_house_dialogue_happy01'	
5	打招呼	sequence	girl020_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_greet.girl020_01_house_dialogue_greet'	
6	疑问	sequence	girl020_01_house_dialogue_doubt01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_doubt01.girl020_01_house_dialogue_doubt01'	
7	委屈	sequence	girl020_01_house_dialogue_complain01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_complain01.girl020_01_house_dialogue_complain01'	
8	生气	sequence	girl020_01_house_dialogue_angry01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_complain01.girl020_01_house_dialogue_complain01'	
9	满足1	sequence	girl020_01_house_dialogue_satisfy	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_satisfy.girl020_01_house_dialogue_satisfy'	
10	满足2	sequence	girl020_01_house_dialogue_satisfy02	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_satisfy02.girl020_01_house_dialogue_satisfy02'	
11	比心	sequence	girl020_01_house_dialogue_heart	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_heart.girl020_01_house_dialogue_heart'	
12	惊讶	sequence	girl020_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_amaze.girl020_01_house_dialogue_amaze'	
13	算命	sequence	girl020_01_house_dialogue_divination	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_divination.girl020_01_house_dialogue_divination'	
14	闭眼	sequence	girl020_01_house_dialogue_rest_idle01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_rest_idle01.girl020_01_house_dialogue_rest_idle01'	
					
					
					
100	说话	sequence	girl020_01_house_dialogue_talk01	AnimSequence'/Game/Characters/Girl/girl020_01/AnimPart00/girl020_01_house_dialogue_talk01.girl020_01_house_dialogue_talk01'	
