Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	正常	sequence	girl021_01_house_stand	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_stand.girl021_01_house_stand'	
2	微笑	sequence	girl021_01_house_dialogue_smile01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_smile01.girl021_01_house_dialogue_smile01'	
3	严肃	sequence	girl021_01_house_dialogue_serious01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_serious01.girl021_01_house_dialogue_serious01'	
4	开心	sequence	girl021_01_house_dialogue_happy01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_happy01.girl021_01_house_dialogue_happy01'	
5	打招呼	sequence	girl021_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_greet.girl021_01_house_dialogue_greet'	
6	疑问	sequence	girl021_01_house_dialogue_doubt01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_doubt01.girl021_01_house_dialogue_doubt01'	
7	委屈	sequence	girl021_01_house_dialogue_complain01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_complain01.girl021_01_house_dialogue_complain01'	
8	生气	sequence	girl021_01_house_dialogue_angry01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_angry01.girl021_01_house_dialogue_angry01'	
9	满足	sequence	girl021_01_house_dialogue_satify01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_satify01.girl021_01_house_dialogue_satify01'	
10	心不在焉	sequence	girl021_01_house_lamp_idle01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_lamp_idle01.girl021_01_house_lamp_idle01'	
11	抚发	sequence	girl021_01_house_dialogue_fufa	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_fufa.girl021_01_house_dialogue_fufa'	
12	惊讶	sequence	girl021_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_amaze.girl021_01_house_dialogue_amaze'	
13	消极愤怒	sequence	girl021_01_house_dialogue_depressed01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_depressed01.girl021_01_house_dialogue_depressed01'	
14	闭眼	sequence	girl021_01_house_dialogue_rest_idle01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_rest_idle01.girl021_01_house_dialogue_rest_idle01'	
					
					
					
100	说话	sequence	girl021_01_house_dialogue_talk01	AnimSequence'/Game/Characters/Girl/girl021_01/AnimPart00/girl021_01_house_dialogue_talk01.girl021_01_house_dialogue_talk01'	
