Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	正常	sequence	girl015_01_house_dialogue_stand01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_stand01.girl015_01_house_dialogue_stand01'	
2	微笑	sequence	girl015_01_house_dialogue_smile01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_smile01.girl015_01_house_dialogue_smile01'	
3	开心	sequence	girl015_01_house_dialogue_happy01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_happy01.girl015_01_house_dialogue_happy01'	
4	疑问	sequence	girl015_01_house_dialogue_doubt01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_doubt01.girl015_01_house_dialogue_doubt01'	
5	严肃	sequence	girl015_01_house_dialogue_serious01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_serious01.girl015_01_house_dialogue_serious01'	
6	生气	sequence	girl015_01_house_dialogue_angry01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_angry01.girl015_01_house_dialogue_angry01'	
7	委屈	sequence	girl015_01_house_dialogue_complain01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_complain01.girl015_01_house_dialogue_complain01'	
8	闭眼睡觉	sequence	girl015_01_house_dialogue_rest_idle01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_rest_idle01.girl015_01_house_dialogue_rest_idle01'	
9	惊讶（动作套）	sequence	girl015_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_amaze.girl015_01_house_dialogue_amaze'	
10	消极（动作套）	sequence	girl015_01_house_dialogue_depressed	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_depressed.girl015_01_house_dialogue_depressed'	
11	打招呼（动作套）	sequence	girl015_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_greet.girl015_01_house_dialogue_greet'	
12	积极（动作套）	sequence	girl015_01_house_dialogue_satisfy	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_satisfy.girl015_01_house_dialogue_satisfy'	
					
					
100	说话	sequence	girl015_01_house_dialogue_talk01	AnimSequence'/Game/Characters/Girl/girl015_01/AnimPart00/girl015_01_house_dialogue_talk01.girl015_01_house_dialogue_talk01'	
