Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	微笑	sequence	girl021a_02_face_tel_talk_face01	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
2	迷糊（眼神涣散、脸红）	sequence	girl021a_02_face_tel_talk_face02	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face02.girl021a_02_face_tel_talk_face02'	
3	害羞(需要脸红片、汗珠)	sequence	girl021a_02_face_tel_talk_face03	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face03.girl021a_02_face_tel_talk_face03'	
4	疑惑	sequence	girl021a_02_face_tel_talk_face04	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face04.girl021a_02_face_tel_talk_face04'	
5	浮想联翩	sequence	girl021a_02_face_tel_talk_face05	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face05.girl021a_02_face_tel_talk_face05'	
6	困或者身体敏感	sequence	girl021a_02_face_tel_talk_face06	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face06.girl021a_02_face_tel_talk_face06'	
7	诱惑、媚（脸红，但是笑容不明显，半眯眼	sequence	girl021a_02_face_tel_talk_face07	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face07.girl021a_02_face_tel_talk_face07'	
8	惊讶，嘴唇微张，瞪大眼睛	sequence	girl021a_02_face_tel_talk_face08	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face08.girl021a_02_face_tel_talk_face08'	
9	眯眼笑，很开心的样子（脸红）	sequence	girl021a_02_face_tel_talk_face09	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face09.girl021a_02_face_tel_talk_face09'	
10	尴尬（轻微八字眉）	sequence	girl021a_02_face_tel_talk_face10	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face10.girl021a_02_face_tel_talk_face10'	
11	微微不高兴、严肃	sequence	girl021a_02_face_tel_talk_face11	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face11.girl021a_02_face_tel_talk_face11'	
					
20	入场表情	sequence	girl021a_02_face_tel_start	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
21	loopAstand	sequence	girl021a_02_face_tel_loopA_stand	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
22	loopA01摇晃酒杯	sequence	girl021a_02_face_tel_loopA_01	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face02.girl021a_02_face_tel_talk_face02'	
23	loopA02单点	sequence	girl021a_02_face_tel_loopA_02	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face02.girl021a_02_face_tel_talk_face02'	
24	loopB	sequence	girl021a_02_face_tel_loopB	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face02.girl021a_02_face_tel_talk_face02'	
25	切换到talk	sequence	girl021a_02_face_tel_loop_totalk	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
26	talkstand	sequence	girl021a_02_face_tel_talk_stand	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
27	摇晃	sequence	girl021a_02_face_tel_talk_yao	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
28	抬腿	sequence	girl021a_02_face_tel_talk_taitui	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
29	摔倒	sequence	girl021a_02_face_tel_talk_shuaidao	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
30	撩发	sequence	girl021a_02_face_tel_talk_liaofa	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
31	点头	sequence	girl021a_02_face_tel_talk_diantou	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
32	疑惑	sequence	girl021a_02_face_tel_talk_yihuo	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
33	害羞	sequence	girl021a_02_face_tel_talk_haixiu	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
34	思考	sequence	girl021a_02_face_tel_talk_sikao	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
35	切换到loop	sequence	girl021a_02_face_tel_talk_toloop	AnimSequence'/Game/Characters/CommonFace/girl021_com01/callme/girl021a_02_face_tel_talk_face01.girl021a_02_face_tel_talk_face01'	
